fullname,CHELSA_bio1_1981.2010_V.2.1,CHELSA_bio12_1981.2010_V.2.1,nitrogen_0.5cm_mean,phh2o_0.5cm_mean,fullname,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
Machaonia subinermis subsp. subinermis,25.85,1271.7,771.0,65.0,Machaonia subinermis subsp. subinermis,Machaonia subinermis subsp. subinermis,Machaonia subinermis,148667-2,77168552-1,Subspecies
Machaonia urbaniana,25.85,1271.7,771.0,65.0,Machaonia urbaniana,Machaonia urbaniana,Machaonia urbaniana,148672-2,148672-2,Species
Maclaudia felixii,24.05,1770.1,221.0,48.0,Maclaudia felixii,Maclaudia felixii,Maclaudia felixii,978017-1,978017-1,Species
Macoubea mesoamericana,24.95,3020.6,555.0,54.0,Macoubea mesoamericana,Macoubea mesoamericana,Macoubea mesoamericana,317570-2,317570-2,Species
Macrocnemum grandiflorum,26.45,3301.5,359.0,49.0,Macrocnemum grandiflorum,Macrocnemum grandiflorum,Macrocnemum grandiflorum,755496-1,755496-1,Species
Macrocnemum roseum,24.55,2844.2,428.0,52.0,Macrocnemum roseum,Macrocnemum roseum,Macrocnemum roseum,755513-1,755513-1,Species
Macrocnemum tortuosum,23.1,1477.25,294.5,55.0,Macrocnemum tortuosum,Macrocnemum tortuosum,Macrocnemum tortuosum,148883-2,148883-2,Species
Macropharynx abnorma,16.25,1741.25,533.0,54.5,Macropharynx abnorma,Macropharynx abnorma,Macropharynx abnorma,77165022-1,77165022-1,Species
Macropharynx colombiana,23.75,2332.5,371.0,55.5,Macropharynx colombiana,Macropharynx colombiana,Macropharynx colombiana,77165023-1,77165023-1,Species
Macropharynx gigantea,16.55,1956.0,417.0,54.0,Macropharynx gigantea,Macropharynx gigantea,Macropharynx gigantea,77165025-1,77165025-1,Species
Macropharynx meyeri,15.95,1493.5,268.0,59.0,Macropharynx meyeri,Macropharynx meyeri,Macropharynx meyeri,280254-2,280254-2,Species
Macropharynx peruviana,22.05,2834.4,447.0,53.0,Macropharynx peruviana,Macropharynx peruviana,Macropharynx peruviana,77165029-1,77165029-1,Species
Macropharynx renteriae,23.75,3338.6,649.0,54.0,Macropharynx renteriae,Macropharynx renteriae,Macropharynx renteriae,149049-2,149049-2,Species
Macropharynx venusta,19.25,6163.5,654.0,49.0,Macropharynx venusta,Macropharynx venusta,Macropharynx venusta,77165031-1,77165031-1,Species
Macroscepis cornejoi,24.65,612.15,189.0,68.0,Macroscepis cornejoi,Macroscepis cornejoi,Macroscepis cornejoi,77129395-1,77129395-1,Species
Macroscepis hirsuta,24.65,2129.9,412.0,55.0,Macroscepis hirsuta,Macroscepis hirsuta,Macroscepis hirsuta,149100-2,149100-2,Species
Macroscepis uniflora,23.95,1475.3,265.0,58.0,Macroscepis uniflora,Macroscepis uniflora,Macroscepis uniflora,306047-2,306047-2,Species
Macroscepis yucatanensis,25.65,1185.9,711.0,73.0,Macroscepis yucatanensis,Macroscepis yucatanensis,Macroscepis yucatanensis,77129399-1,77129399-1,Species
Macrosphyra brachystylis,23.95,1659.85,239.5,52.0,Macrosphyra brachystylis,Macrosphyra brachystylis,Macrosphyra brachystylis,755533-1,755533-1,Species
Maguireothamnus speciosus,16.35,3424.45,452.5,51.0,Maguireothamnus speciosus,Maguireothamnus speciosus,Maguireothamnus speciosus,149347-2,149347-2,Species
Maguireothamnus speciosus subsp. jauaensis,18.75,4724.2,341.0,46.0,Maguireothamnus speciosus subsp. jauaensis,Maguireothamnus speciosus subsp. jauaensis,Maguireothamnus speciosus,149347-2,149348-2,Subspecies
Maguireothamnus speciosus subsp. speciosus,16.95,3821.3,408.0,52.5,Maguireothamnus speciosus subsp. speciosus,Maguireothamnus speciosus subsp. speciosus,Maguireothamnus speciosus,149347-2,77169069-1,Subspecies
Malanea auyantepuiensis,26.05,2394.6,307.0,50.0,Malanea auyantepuiensis,Malanea auyantepuiensis,Malanea auyantepuiensis,149719-2,149719-2,Species
Malanea campylocarpa,24.25,3783.5,444.0,49.5,Malanea campylocarpa,Malanea campylocarpa,Malanea campylocarpa,327522-2,327522-2,Species
Malanea chocoana,25.25,5925.95,662.5,50.5,Malanea chocoana,Malanea chocoana,Malanea chocoana,149724-2,149724-2,Species
Malanea cruzii,25.2,2551.3,290.0,49.0,Malanea cruzii,Malanea cruzii,Malanea cruzii,149727-2,149727-2,Species
Malanea duckei,24.85,3476.75,437.5,45.5,Malanea duckei,Malanea duckei,Malanea duckei,149728-2,149728-2,Species
Malanea erecta,23.85,6529.9,531.0,50.0,Malanea erecta,Malanea erecta,Malanea erecta,755557-1,755557-1,Species
Malanea fendleri,19.85,1529.6,375.0,56.0,Malanea fendleri,Malanea fendleri,Malanea fendleri,149730-2,149730-2,Species
Malanea gabrielensis,25.55,2779.9,316.0,49.0,Malanea gabrielensis,Malanea gabrielensis,Malanea gabrielensis,755561-1,755561-1,Species
Malanea harleyi,24.45,1869.5,328.5,50.0,Malanea harleyi,Malanea harleyi,Malanea harleyi,314116-2,314116-2,Species
Malanea hypoleuca,23.65,2612.7,370.0,47.0,Malanea hypoleuca,Malanea hypoleuca,Malanea hypoleuca,149735-2,149735-2,Species
Malanea martiana,24.55,1835.7,282.5,50.5,Malanea martiana,Malanea martiana,Malanea martiana,755573-1,755573-1,Species
Malanea panurensis,25.25,3243.9,380.0,45.0,Malanea panurensis,Malanea panurensis,Malanea panurensis,755578-1,755578-1,Species
Malanea ptariensis,14.15,3554.1,388.0,55.0,Malanea ptariensis,Malanea ptariensis,Malanea ptariensis,149742-2,149742-2,Species
Malanea sanluisensis,24.55,1316.0,262.0,57.0,Malanea sanluisensis,Malanea sanluisensis,Malanea sanluisensis,149747-2,149747-2,Species
Malanea sipapoensis,17.75,4870.65,495.5,48.5,Malanea sipapoensis,Malanea sipapoensis,Malanea sipapoensis,149752-2,149752-2,Species
Malanea ueiensis,26.55,1949.6,205.0,56.0,Malanea ueiensis,Malanea ueiensis,Malanea ueiensis,149755-2,149755-2,Species
Malouetia amplexicaulis,25.5,2226.1,303.0,47.0,Malouetia amplexicaulis,Malouetia amplexicaulis,Malouetia amplexicaulis,79886-1,79886-1,Species
Malouetia barbata,25.65,2880.8,305.5,46.0,Malouetia barbata,Malouetia barbata,Malouetia barbata,904640-1,904640-1,Species
Malouetia bubalina,24.45,3308.2,296.0,49.0,Malouetia bubalina,Malouetia bubalina,Malouetia bubalina,280306-2,280306-2,Species
Malouetia duckei,25.65,2381.7,318.0,44.0,Malouetia duckei,Malouetia duckei,Malouetia duckei,149963-2,149963-2,Species
Malouetia gentryi,25.55,3068.8,437.0,46.0,Malouetia gentryi,Malouetia gentryi,Malouetia gentryi,60436796-2,60436796-2,Species
Malouetia gracilis,25.8,2125.5,224.0,49.0,Malouetia gracilis,Malouetia gracilis,Malouetia gracilis,79899-1,79899-1,Species
Malouetia guatemalensis,25.65,3074.9,578.5,54.5,Malouetia guatemalensis,Malouetia guatemalensis,Malouetia guatemalensis,149967-2,149967-2,Species
Malouetia killipii,25.65,3250.1,346.0,45.0,Malouetia killipii,Malouetia killipii,Malouetia killipii,149969-2,149969-2,Species
Malouetia mildbraedii,21.95,2542.7,346.0,50.0,Malouetia mildbraedii,Malouetia mildbraedii,Malouetia mildbraedii,914205-1,914205-1,Species
Malouetia nitida,26.299999999999997,2411.0,287.5,47.0,Malouetia nitida,Malouetia nitida,Malouetia nitida,79913-1,79913-1,Species
Malouetia pubescens,26.15,2468.6000000000004,249.5,51.5,Malouetia pubescens,Malouetia pubescens,Malouetia pubescens,149974-2,149974-2,Species
Malouetia pubescens var. glabra,26.35,2455.95,225.5,52.0,Malouetia pubescens var. glabra,Malouetia pubescens var. glabra,Malouetia pubescens,149974-2,280309-2,Variety
Malouetia pubescens var. pubescens,26.25,2817.75,258.5,53.0,Malouetia pubescens var. pubescens,Malouetia pubescens var. pubescens,Malouetia pubescens,149974-2,77170674-1,Variety
Malouetia quadricasarum,25.35,3722.9,452.0,50.0,Malouetia quadricasarum,Malouetia quadricasarum,Malouetia quadricasarum,149975-2,149975-2,Species
Mandevilla abortiva,25.35,1504.55,145.0,56.0,Mandevilla abortiva,Mandevilla abortiva,Mandevilla abortiva,60441555-2,60441555-2,Species
Mandevilla aequatorialis,15.75,2905.6499999999996,556.5,54.5,Mandevilla aequatorialis,Mandevilla aequatorialis,Mandevilla aequatorialis,60448488-2,60448488-2,Species
Mandevilla alboviridis,25.65,1830.4,264.0,47.0,Mandevilla alboviridis,Mandevilla alboviridis,Mandevilla alboviridis,151918-2,151918-2,Species
Mandevilla anceps,25.05,3067.4,289.0,45.0,Mandevilla anceps,Mandevilla anceps,Mandevilla anceps,151920-2,151920-2,Species
Mandevilla angustata,19.75,2663.4,314.0,54.0,Mandevilla angustata,Mandevilla angustata,Mandevilla angustata,60444373-2,60444373-2,Species
Mandevilla angustata var. angustata,17.45,3623.9,365.0,56.0,Mandevilla angustata var. angustata,Mandevilla angustata,Mandevilla angustata,60444373-2,60444373-2,Species
Mandevilla annulariifolia,24.65,3332.65,380.5,45.0,Mandevilla annulariifolia,Mandevilla annulariifolia,Mandevilla annulariifolia,151923-2,151923-2,Species
Mandevilla arcuata,24.35,2651.5,390.0,47.0,Mandevilla arcuata,Mandevilla arcuata,Mandevilla arcuata,280384-2,280384-2,Species
Mandevilla aridana,22.35,1817.2,399.0,54.0,Mandevilla aridana,Mandevilla aridana,Mandevilla aridana,77067027-1,77067027-1,Species
Mandevilla benthamii,22.95,2557.2,295.0,50.0,Mandevilla benthamii,Mandevilla benthamii,Mandevilla benthamii,151932-2,151932-2,Species
Mandevilla boliviensis,20.85,1821.8,465.5,54.0,Mandevilla boliviensis,Mandevilla boliviensis,Mandevilla boliviensis,151935-2,151935-2,Species
Mandevilla brachysiphon,17.25,487.20000000000005,133.5,68.0,Mandevilla brachysiphon,Mandevilla brachysiphon,Mandevilla brachysiphon,151937-2,151937-2,Species
Mandevilla callista,21.6,3271.4,465.5,51.0,Mandevilla callista,Mandevilla callista,Mandevilla callista,151943-2,151943-2,Species
Mandevilla catimbauensis,22.8,752.8,247.0,63.0,Mandevilla catimbauensis,Mandevilla catimbauensis,Mandevilla catimbauensis,77104030-1,77104030-1,Species
Mandevilla cercophylla,16.65,1937.9,464.0,54.0,Mandevilla cercophylla,Mandevilla cercophylla,Mandevilla cercophylla,151947-2,151947-2,Species
Mandevilla columbiana,24.65,3378.35,357.0,42.0,Mandevilla columbiana,Mandevilla columbiana,Mandevilla columbiana,60439626-2,60439626-2,Species
Mandevilla crassinoda,22.65,1216.6999999999998,308.0,53.5,Mandevilla crassinoda,Mandevilla crassinoda,Mandevilla crassinoda,151953-2,151953-2,Species
Mandevilla dardanoi,22.95,856.7,276.0,58.0,Mandevilla dardanoi,Mandevilla dardanoi,Mandevilla dardanoi,60442721-2,60442721-2,Species
Mandevilla equatorialis,18.05,4310.1,634.0,49.0,Mandevilla equatorialis,Mandevilla equatorialis,Mandevilla equatorialis,151964-2,151964-2,Species
Mandevilla eximia,21.25,1004.7,223.0,57.0,Mandevilla eximia,Mandevilla eximia,Mandevilla eximia,151967-2,151967-2,Species
Mandevilla fistulosa,22.75,1218.9,346.0,55.5,Mandevilla fistulosa,Mandevilla fistulosa,Mandevilla fistulosa,60442726-2,60442726-2,Species
Mandevilla fragrans,22.75,1431.1999999999998,405.0,53.0,Mandevilla fragrans,Mandevilla fragrans,Mandevilla fragrans,151972-2,151972-2,Species
Mandevilla glandulosa,14.85,2154.6,463.0,55.0,Mandevilla glandulosa,Mandevilla glandulosa,Mandevilla glandulosa,151977-2,151977-2,Species
Mandevilla grazielae,23.15,1166.5,337.0,56.0,Mandevilla grazielae,Mandevilla grazielae,Mandevilla grazielae,60442727-2,60442727-2,Species
Mandevilla hatschbachii,21.8,819.3499999999999,157.5,60.0,Mandevilla hatschbachii,Mandevilla hatschbachii,Mandevilla hatschbachii,60442750-2,60442750-2,Species
Mandevilla hirsuta,24.45,2635.2,418.0,53.0,Mandevilla hirsuta,Mandevilla hirsuta,Mandevilla hirsuta,151979-2,151979-2,Species
Mandevilla hirsuta var. claussenii,23.65,1378.9,161.0,55.0,Mandevilla hirsuta var. claussenii,Mandevilla hirsuta,Mandevilla hirsuta,151979-2,151979-2,Species
Mandevilla hirsuta var. laticordatus,25.65,2236.8,370.0,55.0,Mandevilla hirsuta var. laticordatus,Mandevilla hirsuta,Mandevilla hirsuta,151979-2,151979-2,Species
Mandevilla holstii,19.75,4192.75,354.0,49.0,Mandevilla holstii,Mandevilla holstii,Mandevilla holstii,280385-2,280385-2,Species
Mandevilla hypoleuca,17.65,781.7,251.0,63.0,Mandevilla hypoleuca,Mandevilla hypoleuca,Mandevilla hypoleuca,151980-2,151980-2,Species
Mandevilla immaculata,16.95,2084.6,516.0,50.0,Mandevilla immaculata,Mandevilla immaculata,Mandevilla immaculata,151984-2,151984-2,Species
Mandevilla jasminiflora,15.15,1865.6,542.0,53.0,Mandevilla jasminiflora,Mandevilla jasminiflora,Mandevilla jasminiflora,151986-2,151986-2,Species
Mandevilla lancibracteata,16.8,1661.0,453.5,55.5,Mandevilla lancibracteata,Mandevilla lancibracteata,Mandevilla lancibracteata,151989-2,151989-2,Species
Mandevilla lanuginosa,21.65,590.9,205.0,77.0,Mandevilla lanuginosa,Mandevilla lanuginosa,Mandevilla lanuginosa,151992-2,151992-2,Species
Mandevilla leptophylla,25.65,748.3,157.0,61.0,Mandevilla leptophylla,Mandevilla leptophylla,Mandevilla leptophylla,151996-2,151996-2,Species
Mandevilla longiflora,21.55,1553.6,249.0,54.0,Mandevilla longiflora,Mandevilla longiflora,Mandevilla longiflora,152002-2,152002-2,Species
Mandevilla lucida,18.65,1476.6,407.5,50.0,Mandevilla lucida,Mandevilla lucida,Mandevilla lucida,152004-2,152004-2,Species
Mandevilla macrosiphon,19.15,457.9,193.0,78.0,Mandevilla macrosiphon,Mandevilla macrosiphon,Mandevilla macrosiphon,152007-2,152007-2,Species
Mandevilla macrosiphon var. macrosiphon,19.65,349.6,162.5,80.0,Mandevilla macrosiphon var. macrosiphon,Mandevilla macrosiphon,Mandevilla macrosiphon,152007-2,152007-2,Species
Mandevilla matogrossana,26.15,1815.4,182.5,51.0,Mandevilla matogrossana,Mandevilla matogrossana,Mandevilla matogrossana,60439628-2,60439628-2,Species
Mandevilla microphylla,23.65,1018.3,243.0,58.0,Mandevilla microphylla,Mandevilla microphylla,Mandevilla microphylla,60452650-2,60452650-2,Species
Mandevilla montana,17.65,2641.9,527.5,52.0,Mandevilla montana,Mandevilla montana,Mandevilla montana,152017-2,152017-2,Species
Mandevilla nacapulensis,23.35,303.3,158.0,77.0,Mandevilla nacapulensis,Mandevilla nacapulensis,Mandevilla nacapulensis,60445916-2,60445916-2,Species
Mandevilla nevadana,16.75,3840.1,501.0,54.0,Mandevilla nevadana,Mandevilla nevadana,Mandevilla nevadana,77075346-1,77075346-1,Species
Mandevilla oaxacana,17.55,1013.7,327.0,60.0,Mandevilla oaxacana,Mandevilla oaxacana,Mandevilla oaxacana,80038-1,80038-1,Species
Mandevilla pachyphylla,17.65,3479.95,450.5,51.0,Mandevilla pachyphylla,Mandevilla pachyphylla,Mandevilla pachyphylla,152029-2,152029-2,Species
Mandevilla pavonii,25.25,2891.4,350.5,46.5,Mandevilla pavonii,Mandevilla pavonii,Mandevilla pavonii,152031-2,152031-2,Species
Mandevilla pentlandiana,16.55,1143.65,263.0,62.0,Mandevilla pentlandiana,Mandevilla pentlandiana,Mandevilla pentlandiana,152033-2,152033-2,Species
Mandevilla polyantha,22.95,2686.6,446.0,51.0,Mandevilla polyantha,Mandevilla polyantha,Mandevilla polyantha,80052-1,80052-1,Species
Mandevilla pubescens,11.55,3235.0,506.0,52.0,Mandevilla pubescens,Mandevilla pubescens,Mandevilla pubescens,77119142-1,77119142-1,Species
Mandevilla riparia,15.0,1130.0500000000002,348.5,60.5,Mandevilla riparia,Mandevilla riparia,Mandevilla riparia,152041-2,152041-2,Species
Mandevilla riparia var. peruviana,13.85,937.8,396.0,62.0,Mandevilla riparia var. peruviana,Mandevilla riparia,Mandevilla riparia,152041-2,152041-2,Species
Mandevilla rugosa,23.15,1503.25,194.0,54.0,Mandevilla rugosa,Mandevilla rugosa,Mandevilla rugosa,152043-2,152043-2,Species
Mandevilla sancta-martae,17.2,3734.7,491.0,55.0,Mandevilla sancta-martae,Mandevilla sancta-martae,Mandevilla sancta-martae,77106483-1,77106483-1,Species
Mandevilla sandemanii,11.95,1013.2,531.0,51.0,Mandevilla sandemanii,Mandevilla sandemanii,Mandevilla sandemanii,152048-2,152048-2,Species
Mandevilla scabra,25.25,1660.8000000000002,245.0,52.0,Mandevilla scabra,Mandevilla scabra,Mandevilla scabra,152052-2,152052-2,Species
Mandevilla scutifolia,19.15,1284.7,360.5,59.5,Mandevilla scutifolia,Mandevilla scutifolia,Mandevilla scutifolia,152056-2,152056-2,Species
Mandevilla semirii,21.4,1227.65,203.0,57.0,Mandevilla semirii,Mandevilla semirii,Mandevilla semirii,60442752-2,60442752-2,Species
Mandevilla spigeliiflora,23.7,1537.95,201.0,55.0,Mandevilla spigeliiflora,Mandevilla spigeliiflora,Mandevilla spigeliiflora,152059-2,152059-2,Species
Mandevilla steyermarkii,25.45,3172.8,299.0,47.0,Mandevilla steyermarkii,Mandevilla steyermarkii,Mandevilla steyermarkii,152063-2,152063-2,Species
Mandevilla subcordata,18.9,1378.1,385.0,55.0,Mandevilla subcordata,Mandevilla subcordata,Mandevilla subcordata,152065-2,152065-2,Species
Mandevilla subumbelliflora,22.75,1399.0,290.0,54.5,Mandevilla subumbelliflora,Mandevilla subumbelliflora,Mandevilla subumbelliflora,60436203-2,60436203-2,Species
Mandevilla tenuifolia,22.05,1137.1,215.0,56.0,Mandevilla tenuifolia,Mandevilla tenuifolia,Mandevilla tenuifolia,152076-2,152076-2,Species
Mandevilla tenuifolia var. volubilis,21.65,729.0,159.0,62.0,Mandevilla tenuifolia var. volubilis,Mandevilla tenuifolia,Mandevilla tenuifolia,152076-2,152076-2,Species
Mandevilla torosa,22.35,1032.85,394.0,71.0,Mandevilla torosa,Mandevilla torosa,Mandevilla torosa,152083-2,152083-2,Species
Mandevilla torosa var. coulteri,15.95,650.6,218.0,71.0,Mandevilla torosa var. coulteri,Mandevilla torosa,Mandevilla torosa,152083-2,152083-2,Species
Mandevilla tristis,20.85,2075.2,,,Mandevilla tristis,Mandevilla tristis,Mandevilla tristis,60444374-2,60444374-2,Species
Mandevilla turgida,20.55,4704.6,316.0,48.0,Mandevilla turgida,Mandevilla turgida,Mandevilla turgida,152087-2,152087-2,Species
Mandevilla undulata,21.9,1645.8000000000002,295.5,53.5,Mandevilla undulata,Mandevilla undulata,Mandevilla undulata,60445920-2,60445920-2,Species
Mandevilla vanheurckii,23.35,2674.6,348.0,48.0,Mandevilla vanheurckii,Mandevilla vanheurckii,Mandevilla vanheurckii,80106-1,80106-1,Species
Mandevilla velame,21.45,1568.75,185.0,52.0,Mandevilla velame,Mandevilla velame,Mandevilla velame,152092-2,152092-2,Species
Mandevilla veraguasensis,19.1,3003.35,526.0,54.0,Mandevilla veraguasensis,Mandevilla veraguasensis,Mandevilla veraguasensis,80112-1,80112-1,Species
Mandevilla virescens,21.9,1547.8000000000002,224.5,53.0,Mandevilla virescens,Mandevilla virescens,Mandevilla virescens,152101-2,152101-2,Species
Mandevilla xerophytica,19.75,2563.5,423.0,53.0,Mandevilla xerophytica,Mandevilla xerophytica,Mandevilla xerophytica,77067029-1,77067029-1,Species
Manettia alba,24.45,2521.8,318.0,47.0,Manettia alba,Manettia alba,Manettia alba,755614-1,755614-1,Species
Manettia alba var. alba,25.35,2551.6,403.0,45.0,Manettia alba var. alba,Manettia alba,Manettia alba,755614-1,755614-1,Species
Manettia arboricola,20.65,4332.8,553.0,52.0,Manettia arboricola,Manettia arboricola,Manettia arboricola,302469-2,302469-2,Species
Manettia asperifolia,23.35,1746.4,338.0,54.0,Manettia asperifolia,Manettia asperifolia,Manettia asperifolia,152113-2,152113-2,Species
Manettia bangii,13.600000000000001,1879.35,480.0,55.5,Manettia bangii,Manettia bangii,Manettia bangii,152118-2,152118-2,Species
Manettia breteleri,19.8,2026.05,430.0,53.0,Manettia breteleri,Manettia breteleri,Manettia breteleri,152126-2,152126-2,Species
Manettia calycosa,21.25,2454.6,421.0,54.0,Manettia calycosa,Manettia calycosa,Manettia calycosa,755637-1,755637-1,Species
Manettia calycosa var. karsteniana,21.450000000000003,2179.35,413.5,53.5,Manettia calycosa var. karsteniana,Manettia calycosa,Manettia calycosa,755637-1,755637-1,Species
Manettia canescens,12.5,1205.9,491.0,59.0,Manettia canescens,Manettia canescens,Manettia canescens,152134-2,152134-2,Species
Manettia cinchonarum,21.75,2879.6,370.0,50.5,Manettia cinchonarum,Manettia cinchonarum,Manettia cinchonarum,152140-2,152140-2,Species
Manettia coccocypseloides,17.45,2535.5,505.0,52.0,Manettia coccocypseloides,Manettia coccocypseloides,Manettia coccocypseloides,152142-2,152142-2,Species
Manettia congesta,18.950000000000003,2141.95,466.0,49.0,Manettia congesta,Manettia congesta,Manettia congesta,152147-2,152147-2,Species
Manettia corticifer,13.55,2563.5,541.5,53.0,Manettia corticifer,Manettia corticifer,Manettia corticifer,152156-2,152156-2,Species
Manettia discolor,12.55,2105.4,637.5,54.0,Manettia discolor,Manettia discolor,Manettia discolor,152160-2,152160-2,Species
Manettia domingensis,14.75,1959.6,669.0,57.0,Manettia domingensis,Manettia domingensis,Manettia domingensis,152162-2,152162-2,Species
Manettia echitidea,21.950000000000003,3436.8,442.5,50.0,Manettia echitidea,Manettia echitidea,Manettia echitidea,152165-2,152165-2,Species
Manettia fiebrigii,13.25,1472.3,415.0,59.0,Manettia fiebrigii,Manettia fiebrigii,Manettia fiebrigii,152168-2,152168-2,Species
Manettia flexilis,18.75,3708.6,636.0,54.0,Manettia flexilis,Manettia flexilis,Manettia flexilis,152169-2,152169-2,Species
Manettia glaziovii,17.65,2308.4,481.0,49.0,Manettia glaziovii,Manettia glaziovii,Manettia glaziovii,755678-1,755678-1,Species
Manettia hispida,22.25,1788.85,335.0,52.0,Manettia hispida,Manettia hispida,Manettia hispida,755687-1,755687-1,Species
Manettia jorgensenii,14.95,1609.5,310.0,62.0,Manettia jorgensenii,Manettia jorgensenii,Manettia jorgensenii,152195-2,152195-2,Species
Manettia lindenii,15.45,1948.4,445.5,55.0,Manettia lindenii,Manettia lindenii,Manettia lindenii,152200-2,152200-2,Species
Manettia locuples,18.65,2446.85,461.0,51.0,Manettia locuples,Manettia locuples,Manettia locuples,152204-2,152204-2,Species
Manettia longipedicellata,24.65,3526.8,628.0,54.0,Manettia longipedicellata,Manettia longipedicellata,Manettia longipedicellata,302303-2,302303-2,Species
Manettia marginata,26.55,1949.6,205.0,56.0,Manettia marginata,Manettia marginata,Manettia marginata,152213-2,152213-2,Species
Manettia microphylla,21.0,4815.65,510.5,52.0,Manettia microphylla,Manettia microphylla,Manettia microphylla,306620-2,306620-2,Species
Manettia mitis,20.35,1606.9,396.5,50.0,Manettia mitis,Manettia mitis,Manettia mitis,152219-2,152219-2,Species
Manettia moritziana,14.399999999999999,2307.0,454.5,55.0,Manettia moritziana,Manettia moritziana,Manettia moritziana,152226-2,152226-2,Species
Manettia paraguariensis,19.9,1849.6999999999998,392.0,52.0,Manettia paraguariensis,Manettia paraguariensis,Manettia paraguariensis,152231-2,152231-2,Species
Manettia paraguariensis var. paraguariensis,21.3,1839.4,337.0,52.0,Manettia paraguariensis var. paraguariensis,Manettia paraguariensis,Manettia paraguariensis,152231-2,152231-2,Species
Manettia paranensis,17.55,2472.4,521.0,50.0,Manettia paranensis,Manettia paranensis,Manettia paranensis,152234-2,152234-2,Species
Manettia paranensis var. paranensis,18.55,1693.5,,,Manettia paranensis var. paranensis,Manettia paranensis,Manettia paranensis,152234-2,152234-2,Species
Manettia pearcei,20.1,1836.25,372.0,55.0,Manettia pearcei,Manettia pearcei,Manettia pearcei,755741-1,755741-1,Species
Manettia pedunculata,23.85,1717.6,272.5,52.5,Manettia pedunculata,Manettia pedunculata,Manettia pedunculata,152240-2,152240-2,Species
Manettia pichinchensis,9.95,1904.8,601.0,57.0,Manettia pichinchensis,Manettia pichinchensis,Manettia pichinchensis,755745-1,755745-1,Species
Manettia pubescens,19.25,1753.15,358.5,52.0,Manettia pubescens,Manettia pubescens,Manettia pubescens,755751-1,755751-1,Species
Manettia reclinata,24.15,2668.4,473.0,55.0,Manettia reclinata,Manettia reclinata,Manettia reclinata,755756-1,755756-1,Species
Manettia riedelii,23.0,1773.3,262.5,50.0,Manettia riedelii,Manettia riedelii,Manettia riedelii,755758-1,755758-1,Species
Manettia sabiceoides,24.05,2563.5,393.0,51.0,Manettia sabiceoides,Manettia sabiceoides,Manettia sabiceoides,152259-2,152259-2,Species
Manettia schumanniana,16.85,1480.0,406.0,56.0,Manettia schumanniana,Manettia schumanniana,Manettia schumanniana,152266-2,152266-2,Species
Manettia skutchii,18.05,4310.1,634.0,49.0,Manettia skutchii,Manettia skutchii,Manettia skutchii,152269-2,152269-2,Species
Manettia sublanata,23.95,1384.0,266.0,60.0,Manettia sublanata,Manettia sublanata,Manettia sublanata,755783-1,755783-1,Species
Manettia tachirensis,15.55,2155.2,557.0,53.0,Manettia tachirensis,Manettia tachirensis,Manettia tachirensis,152279-2,152279-2,Species
Manettia tenuis,16.75,2554.5,468.0,52.0,Manettia tenuis,Manettia tenuis,Manettia tenuis,152284-2,152284-2,Species
Manettia tomantha,25.25,2163.7,245.0,47.0,Manettia tomantha,Manettia tomantha,Manettia tomantha,152288-2,152288-2,Species
Manettia tomentulosa,21.65,1424.55,392.0,52.5,Manettia tomentulosa,Manettia tomentulosa,Manettia tomentulosa,152290-2,152290-2,Species
Manettia trianae,12.05,2013.0,605.0,53.0,Manettia trianae,Manettia trianae,Manettia trianae,152292-2,152292-2,Species
Manettia utopia,14.3,3170.25,548.5,52.5,Manettia utopia,Manettia utopia,Manettia utopia,152295-2,152295-2,Species
Manettia veronicoides,14.5,1931.6,502.0,55.0,Manettia veronicoides,Manettia veronicoides,Manettia veronicoides,152297-2,152297-2,Species
Manettia weberbaueri,12.95,975.0,355.0,61.0,Manettia weberbaueri,Manettia weberbaueri,Manettia weberbaueri,152299-2,152299-2,Species
Manostachya staelioides,20.55,1310.1,137.5,56.0,Manostachya staelioides,Manostachya staelioides,Manostachya staelioides,755812-1,755812-1,Species
Mantalania capuronii,21.200000000000003,2790.75,311.0,52.0,Mantalania capuronii,Mantalania capuronii,Mantalania capuronii,755813-1,755813-1,Species
Mantalania sambiranensis,24.35,2355.5,299.0,56.0,Mantalania sambiranensis,Mantalania sambiranensis,Mantalania sambiranensis,755814-1,755814-1,Species
Marsdenia ambuntiensis,25.85,3178.2,308.0,50.0,Marsdenia ambuntiensis,Marsdenia ambuntiensis,Marsdenia ambuntiensis,985212-1,985212-1,Species
Marsdenia arachnoidea,25.75,2713.3,406.0,53.0,Marsdenia arachnoidea,Marsdenia arachnoidea,Marsdenia arachnoidea,99077-1,99077-1,Species
Marsdenia archboldiana,11.95,3364.7,531.5,53.0,Marsdenia archboldiana,Marsdenia archboldiana,Marsdenia archboldiana,985201-1,985201-1,Species
Marsdenia argillicola,26.95,2789.3,611.0,51.0,Marsdenia argillicola,Marsdenia argillicola,Marsdenia argillicola,985191-1,985191-1,Species
Marsdenia astephanoides,25.15,890.0,241.5,67.0,Marsdenia astephanoides,Marsdenia astephanoides,Marsdenia astephanoides,153536-2,153536-2,Species
Marsdenia bilobata,20.65,3190.1,607.5,55.0,Marsdenia bilobata,Marsdenia bilobata,Marsdenia bilobata,985184-1,985184-1,Species
