"X","Symbol","Synonym.Symbol","Scientific.Name.with.Author","Common.Name","Family","Accepted_ID","Accepted_Name","Accepted_Rank","Accepted_Species","Accepted_Species_ID"
13234,"CACA73",NA,"Calycophyllum candidissimum (Vahl) DC.","degame","Rubiaceae","745241-1","Calycophyllum candidissimum","Species","Calycophyllum candidissimum","745241-1"
13236,"CACA74",NA,"Carissa carandas L. [excluded]","karanda","Apocynaceae","77691-1","Carissa carandas","Species","Carissa carandas","77691-1"
13408,"CACL3",NA,"Casasia clusiifolia (Jacq.) Urb.","sevenyear apple","Rubiaceae","47910-2","Casasia clusiifolia","Species","Casasia clusiifolia","47910-2"
13787,"CAED8",NA,"Carissa edulis (Forssk.) Vahl [excluded]","Egyptian carissa","Apocynaceae","77756-1","Carissa spinarum","Species","Carissa spinarum","77756-1"
14819,"CALYC9",NA,"Calycophyllum DC.","calycophyllum","Rubiaceae","34281-1","Calycophyllum","Genus",NA,NA
14856,"CAMA37",NA,"Carissa macrocarpa (Eckl.) A. DC.","amatungulu","Apocynaceae","77727-1","Carissa macrocarpa","Species","Carissa macrocarpa","77727-1"
14938,"CAME19",NA,"Catesbaea melanocarpa Krug & Urb.","tropical lilythorn","Rubiaceae","50018-2","Catesbaea melanocarpa","Species","Catesbaea melanocarpa","50018-2"
15440,"CAPA43",NA,"Catesbaea parviflora Sw.","smallflower lilythorn","Rubiaceae","745893-1","Catesbaea parviflora","Species","Catesbaea parviflora","745893-1"
15907,"CARIS",NA,"Carissa L.","carissa","Apocynaceae","2243-1","Carissa","Genus",NA,NA
15919,"CARO14",NA,"Catharanthus roseus (L.) G. Don","Madagascar periwinkle","Apocynaceae","77880-1","Catharanthus roseus","Species","Catharanthus roseus","77880-1"
16065,"CASAS",NA,"Casasia A. Rich.","casasia","Rubiaceae","34304-1","Casasia","Genus",NA,NA
16559,"CATES",NA,"Catesbaea L.","lilythorn","Rubiaceae","30059171-2","Catesbaea","Genus",NA,NA
16571,"CATHA",NA,"Catharanthus G. Don","periwinkle","Apocynaceae","2251-1","Catharanthus","Genus",NA,NA
17189,"CEFL2",NA,"Cerbera floribunda K. Schum.","kameduangel","Apocynaceae","77893-1","Cerbera floribunda","Species","Cerbera floribunda","77893-1"
17284,"CEIP",NA,"Cephaelis ipecacuanha (Brot.) Tussac","ipecac","Rubiaceae",NA,NA,NA,NA,NA
17351,"CEMA20",NA,"Cerbera manghas L.","sea-mango","Apocynaceae","77906-1","Cerbera manghas","Species","Cerbera manghas","77906-1"
17460,"CEOC2",NA,"Cephalanthus occidentalis L.","common buttonbush","Rubiaceae","319140-2","Cephalanthus occidentalis","Species","Cephalanthus occidentalis","319140-2"
17523,"CEPHA",NA,"Cephalanthus L.","buttonbush","Rubiaceae","34312-1","Cephalanthus","Genus",NA,NA
17531,"CEPHA9",NA,"Cephaelis Sw.","cephaelis","Rubiaceae","326020-2","Psychotria","Genus",NA,NA
17636,"CESA3",NA,"Cephalanthus salicifolius Humb. & Bonpl.","Mexican buttonbush","Rubiaceae","746233-1","Cephalanthus salicifolius","Species","Cephalanthus salicifolius","746233-1"
17803,"CHAL8",NA,"Chiococca alba (L.) Hitchc.","West Indian milkberry","Rubiaceae","56535-2","Chiococca alba","Species","Chiococca alba","56535-2"
18586,"CHIOC",NA,"Chiococca P. Br.","milkberry","Rubiaceae",NA,NA,NA,NA,NA
18590,"CHION3",NA,"Chione DC.","chione","Rubiaceae","329733-2","Chione","Genus",NA,NA
18912,"CHPA17",NA,"Chiococca parvifolia Wullschl. ex Griseb.","pineland milkberry","Rubiaceae","56535-2","Chiococca alba","Species","Chiococca alba","56535-2"
19154,"CHSE5",NA,"Chione seminervis Urb. & Ekman","puntaj jayuya","Rubiaceae","77148159-1","Wandersong seminervis","Species","Wandersong seminervis","77148159-1"
19365,"CHVE4",NA,"Chione venosa (Sw.) Urb.","fatpork","Rubiaceae","56650-2","Chione venosa","Species","Chione venosa","56650-2"
19521,"CICA17",NA,"Cinchona calisaya Wedd.","quinine","Rubiaceae","746718-1","Cinchona calisaya","Species","Cinchona calisaya","746718-1"
19733,"CINCH",NA,"Cinchona L.","cinchona","Rubiaceae","329816-2","Cinchona","Genus",NA,NA
19769,"CIOF",NA,"Cinchona officinalis L.","quinine","Rubiaceae","58723-2","Cinchona officinalis","Species","Cinchona officinalis","58723-2"
19799,"CIPU",NA,"Cinchona pubescens Vahl","quinine","Rubiaceae","746872-1","Cinchona pubescens","Species","Cinchona pubescens","746872-1"
21141,"COAR2",NA,"Coffea arabica L.","Arabian coffee","Rubiaceae","747038-1","Coffea arabica","Species","Coffea arabica","747038-1"
21205,"COBE6",NA,"Coffea benghalensis Heyne ex Schult.","bengal coffee","Rubiaceae","747048-1","Coffea benghalensis","Species","Coffea benghalensis","747048-1"
21253,"COCA39",NA,"Coffea canephora Pierre ex Froehner","robusta coffee","Rubiaceae","747068-1","Coffea canephora","Species","Coffea canephora","747068-1"
21313,"COCCO3",NA,"Coccocypselum P. Br.","coccocypselum","Rubiaceae",NA,NA,NA,NA,NA
21344,"COCO27",NA,"Coffea congensis Froehner","congo coffee","Rubiaceae","747081-1","Coffea congensis","Species","Coffea congensis","747081-1"
21416,"COCY3",NA,"Coprosma cymosa Hillebr.","Hawai'i mirrorplant","Rubiaceae","747399-1","Coprosma cymosa","Species","Coprosma cymosa","747399-1"
21484,"COEL3",NA,"Coprosma elliptica W.R.B. Oliv.","bog mirrorplant","Rubiaceae","747406-1","Coprosma elliptica","Species","Coprosma elliptica","747406-1"
21496,"COER3",NA,"Coprosma ernodeoides A. Gray","'aiakanene","Rubiaceae","747407-1","Coprosma ernodeoides","Species","Coprosma ernodeoides","747407-1"
21539,"COFFE",NA,"Coffea L.","coffee","Rubiaceae","325985-2","Coffea","Genus",NA,NA
21595,"COFO2",NA,"Coprosma foliosa A. Gray","forest mirrorplant","Rubiaceae","747413-1","Coprosma foliosa","Species","Coprosma foliosa","747413-1"
21671,"COGR23",NA,"Coprosma granadensis (L. f.) Heads","makole","Rubiaceae","757486-1","Nertera granadensis","Species","Nertera granadensis","757486-1"
21726,"COHE6",NA,"Coccocypselum herbaceum Aubl.","yerba de guava","Rubiaceae","746962-1","Coccocypselum herbaceum","Species","Coccocypselum herbaceum","746962-1"
21738,"COHI9",NA,"Coccocypselum hirsutum Bartl. ex DC.","yerba de guava","Rubiaceae","746963-1","Coccocypselum hirsutum","Species","Coccocypselum hirsutum","746963-1"
21781,"COKA",NA,"Coprosma kauensis (A. Gray) A. Heller","koi","Rubiaceae","747426-1","Coprosma kauensis","Species","Coprosma kauensis","747426-1"
21848,"COLI8",NA,"Coffea liberica W. Bull ex Hiern.","Liberian coffee","Rubiaceae",NA,NA,NA,NA,NA
21856,"COLO4",NA,"Coprosma longifolia A. Gray","Oahu mirrorplant","Rubiaceae","747437-1","Coprosma longifolia","Species","Coprosma longifolia","747437-1"
21937,"COME6",NA,"Coprosma menziesii A. Gray","hupilo","Rubiaceae","747442-1","Coprosma menziesii","Species","Coprosma menziesii","747442-1"
21978,"COMO2",NA,"Coprosma molokaiensis H. St. John (pro sp.)","mirrorplant","Rubiaceae","747445-1","Coprosma × molokaiensis","Species","Coprosma × molokaiensis","747445-1"
21979,"COMO3",NA,"Coprosma montana Hillebr.","alpine mirrorplant","Rubiaceae","747446-1","Coprosma montana","Species","Coprosma montana","747446-1"
22081,"COOC3",NA,"Coprosma ochracea W.R.B. Oliv.","Maui mirrorplant","Rubiaceae","747461-1","Coprosma ochracea","Species","Coprosma ochracea","747461-1"
22203,"COPRO",NA,"Coprosma J.R. Forst. & G. Forst.","mirrorplant","Rubiaceae","34398-1","Coprosma","Genus",NA,NA
22215,"COPU8",NA,"Coprosma pubens A. Gray","pubescent mirrorplant","Rubiaceae","747481-1","Coprosma pubens","Species","Coprosma pubens","747481-1"
22263,"CORE4",NA,"Coprosma repens A. Rich.","creeping mirrorplant","Rubiaceae","747491-1","Coprosma repens","Species","Coprosma repens","747491-1"
22268,"CORH",NA,"Coprosma rhynchocarpa A. Gray","woodland mirrorplant","Rubiaceae","747497-1","Coprosma rhynchocarpa","Species","Coprosma rhynchocarpa","747497-1"
22461,"COST17",NA,"Coffea stenophylla G. Don","coffea","Rubiaceae","747266-1","Coffea stenophylla","Species","Coffea stenophylla","747266-1"
22521,"COTE8",NA,"Coprosma ternata W.R.B. Oliv.","Molokai mirrorplant","Rubiaceae","747522-1","Coprosma ternata","Species","Coprosma ternata","747522-1"
22653,"COWA4",NA,"Coprosma waimeae Wawra","'olena","Rubiaceae","747531-1","Coprosma waimeae","Species","Coprosma waimeae","747531-1"
22716,"CRAN11",NA,"Crucianella angustifolia L.","narrowleaf crucianella","Rubiaceae","747863-1","Crucianella angustifolia","Species","Crucianella angustifolia","747863-1"
23082,"CRDI12",NA,"Crusea diversifolia (Kunth) W.A. Anderson","mountain saucerflower","Rubiaceae","77211013-1","Crusea simplex","Species","Crusea simplex","77211013-1"
23386,"CRLA13",NA,"Cruciata laevipes Opiz","smooth bedstraw","Rubiaceae","747959-1","Cruciata laevipes","Species","Cruciata laevipes","747959-1"
23667,"CRPE10",NA,"Cruciata pedemontana (Bellardi) Ehrend.","piedmont bedstraw","Rubiaceae","60453492-2","Cruciata pedemontana","Species","Cruciata pedemontana","60453492-2"
24100,"CRUCI",NA,"Crucianella L.","crucianella","Rubiaceae","30040449-2","Crucianella","Genus",NA,NA
24101,"CRUCI2",NA,"Cruciata Mill.","bedstraw","Rubiaceae","34433-1","Cruciata","Genus",NA,NA
24110,"CRUSE",NA,"Crusea Cham. & Schltdl.","mountain saucerflower","Rubiaceae","329735-2","Crusea","Genus",NA,NA
24670,"CYCLA",NA,"Cycladenia Benth.","waxydogbane","Apocynaceae","2285-1","Cycladenia","Genus",NA,NA
25034,"CYHU",NA,"Cycladenia humilis Benth.","Sacramento waxydogbane","Apocynaceae","78190-1","Cycladenia humilis","Species","Cycladenia humilis","78190-1"
25038,"CYHUH",NA,"Cycladenia humilis Benth. var. humilis","Sacramento waxydogbane","Apocynaceae","77168054-1","Cycladenia humilis var. humilis","Variety","Cycladenia humilis","78190-1"
25040,"CYHUJ",NA,"Cycladenia humilis Benth. var. jonesii (Eastw.) S.L. Welsh & N.D. Atwood","Jones' waxydogbane","Apocynaceae","73592-2","Cycladenia humilis var. jonesii","Variety","Cycladenia humilis","78190-1"
25042,"CYHUV",NA,"Cycladenia humilis Benth. var. venusta (Eastw.) Woodson ex Munz","Sacramento waxydogbane","Apocynaceae","73595-2","Cycladenia humilis var. venusta","Variety","Cycladenia humilis","78190-1"
27327,"DIAP",NA,"Diodia apiculata (Willd. ex Roem. & Schult.) K. Schum.","stiff buttonweed","Rubiaceae","77154337-1","Hexasepalum apiculatum","Species","Hexasepalum apiculatum","77154337-1"
27593,"DIDA",NA,"Diodia dasycephala Cham. & Schltdl.","carretilla","Rubiaceae","60442647-2","Spermacoce dasycephala","Species","Spermacoce dasycephala","60442647-2"
28085,"DIOC4",NA,"Diodia ocymifolia (Willd. ex Roem. & Schult.) Bremek.","slender buttonweed","Rubiaceae","766862-1","Spermacoce ocymifolia","Species","Spermacoce ocymifolia","766862-1"
28092,"DIODI",NA,"Diodia L.","buttonweed","Rubiaceae","60014714-3","Diodia","Genus",NA,NA
28260,"DIRA6",NA,"Diodia radula Cham. & Schltdl.","rough buttonweed","Rubiaceae","77154341-1","Hexasepalum radulum","Species","Hexasepalum radulum","77154341-1"
28352,"DISA8",NA,"Diodia sarmentosa Sw.","tropical buttonweed","Rubiaceae","77154343-1","Hexasepalum sarmentosum","Species","Hexasepalum sarmentosum","77154343-1"
28413,"DISE10",NA,"Diodia serrulata (P. Beauv.) G. Taylor","seaside buttonweed","Rubiaceae","77154345-1","Hexasepalum serrulatum","Species","Hexasepalum serrulatum","77154345-1"
28546,"DITE2",NA,"Diodia teres Walter","poorjoe","Rubiaceae","77148179-1","Hexasepalum teres","Species","Hexasepalum teres","77148179-1"
28550,"DITEA",NA,"Diodia teres Walter var. angustata A. Gray","poorjoe","Rubiaceae","77148179-1","Hexasepalum teres","Species","Hexasepalum teres","77148179-1"
28551,"DITEH",NA,"Diodia teres Walter var. hystricina Fernald & Grisc.","poorjoe","Rubiaceae","77148179-1","Hexasepalum teres","Species","Hexasepalum teres","77148179-1"
28552,"DITEH2",NA,"Diodia teres Walter var. hirsutior Fernald & Grisc.","poorjoe","Rubiaceae","77148179-1","Hexasepalum teres","Species","Hexasepalum teres","77148179-1"
28553,"DITEO",NA,"Diodia teres Walter var. oblongifolia Fernald","poorjoe","Rubiaceae","77148179-1","Hexasepalum teres","Species","Hexasepalum teres","77148179-1"
28554,"DITET",NA,"Diodia teres Walter var. teres","poorjoe","Rubiaceae",NA,NA,NA,NA,NA
28606,"DIVI3",NA,"Diodia virginiana L.","Virginia buttonweed","Rubiaceae","319047-2","Diodia virginiana","Species","Diodia virginiana","319047-2"
28620,"DIVIA",NA,"Diodia virginiana L. var. attenuata Fernald","Virginia buttonweed","Rubiaceae","319047-2","Diodia virginiana","Species","Diodia virginiana","319047-2"
28627,"DIVIL",NA,"Diodia virginiana L. var. latifolia Torr. & A. Gray","Virginia buttonweed","Rubiaceae","319047-2","Diodia virginiana","Species","Diodia virginiana","319047-2"
28653,"DIVIV2",NA,"Diodia virginiana L. var. virginiana","Virginia buttonweed","Rubiaceae",NA,NA,NA,NA,NA
29817,"DYCO3",NA,"Dyera costulata (Miq.) Hook. f.","jelutong","Apocynaceae","78323-1","Dyera costulata","Species","Dyera costulata","78323-1"
29822,"DYERA",NA,"Dyera Hook. f.","dyera","Apocynaceae","2308-1","Dyera","Genus",NA,NA
30044,"ECHIT",NA,"Echites P. Br.","echites","Apocynaceae",NA,NA,NA,NA,NA
30239,"ECUM2",NA,"Echites umbellatus Jacq.","devil's potato","Apocynaceae","78821-1","Echites umbellatus","Species","Echites umbellatus","78821-1"
32319,"ERCO44",NA,"Ernodea cokeri Britton ex Coker","one-nerved ernodea","Rubiaceae","96189-2","Ernodea cokeri","Species","Ernodea cokeri","96189-2"
32630,"ERFR4",NA,"Erithalis fruticosa L.","blacktorch","Rubiaceae","315444-2","Erithalis fruticosa","Species","Erithalis fruticosa","315444-2"
32891,"ERITH",NA,"Erithalis P. Br.","blacktorch","Rubiaceae",NA,NA,NA,NA,NA
33006,"ERLI5",NA,"Ernodea littoralis Sw.","coughbush","Rubiaceae","748814-1","Ernodea littoralis","Species","Ernodea littoralis","748814-1"
33308,"ERNOD",NA,"Ernodea Sw.","ernodea","Rubiaceae","327128-2","Ernodea","Genus",NA,NA
33369,"EROD",NA,"Erithalis odorifer Jacq.","scented blacktorch","Rubiaceae",NA,NA,NA,NA,NA
35678,"EXAU",NA,"Exallage auricularia (L.) Bremek.","eared starviolet","Rubiaceae","748862-1","Exallage auricularia","Species","Exallage auricularia","748862-1"
