,taxa,AntiMal_Metabolites,AntiBac_Metabolites,antimal_snippet,antibac_snippet,Source
10054,Dolichopentas decora,,,"""[]""","""[]""",KNApSAcK
10055,Dolichopentas decora var. decora,,,"""[]""","""[]""",KNApSAcK
10056,Dolichopentas decora var. lasiocarpa,,,"""[]""","""[]""",KNApSAcK
10057,Dolichopentas decora var. triangularis,,,"""[]""","""[]""",KNApSAcK
10058,Dolichopentas liebrechtsiana,,,"""[]""","""[]""",KNApSAcK
10059,Dolichopentas lindenioides,,,"""[]""","""[]""",KNApSAcK
10060,Dolichopentas longiflora,,,"""[]""","""[]""",KNApSAcK
10061,Donnellyanthus deamii,,,"""[]""","""[]""",KNApSAcK
10062,Duidania montana,,,"""[]""","""[]""",KNApSAcK
10063,Dunnia sinensis,,,"""[]""","""[]""",KNApSAcK
10064,Duperrea pavettifolia,,,"""[]""","""[]""",KNApSAcK
10065,Duroia amapana,,,"""[]""","""[]""",KNApSAcK
10066,Duroia aquatica,,,"""[]""","""[]""",KNApSAcK
10067,Duroia bolivarensis,,,"""[]""","""[]""",KNApSAcK
10068,Duroia costaricensis,,,"""[]""","""[]""",KNApSAcK
10069,Duroia duckei,,,"""[]""","""[]""",KNApSAcK
10070,Duroia eriopila,,,"""[]""","""[]""",KNApSAcK
10071,Duroia eriopila var. brevidentata,,,"""[]""","""[]""",KNApSAcK
10072,Duroia eriopila var. eriopila,,,"""[]""","""[]""",KNApSAcK
10073,Duroia eriopila var. tafelbergensis,,,"""[]""","""[]""",KNApSAcK
10074,Duroia fusifera,,,"""[]""","""[]""",KNApSAcK
10075,Duroia genipoides,,,"""[]""","""[]""",KNApSAcK
10076,Duroia gransabanensis,,,"""[]""","""[]""",KNApSAcK
10077,Duroia hirsuta,,,"""[]""","""[]""",KNApSAcK
10078,Duroia hirsutissima,,,"""[]""","""[]""",KNApSAcK
10079,Duroia kotchubioides,,,"""[]""","""[]""",KNApSAcK
10080,Duroia laevis,,,"""[]""","""[]""",KNApSAcK
10081,Duroia longiflora,,,"""[]""","""[]""",KNApSAcK
10082,Duroia longifolia,,,"""[]""","""[]""",KNApSAcK
10083,Duroia macrophylla,,,"""[]""","""[]""",KNApSAcK
10084,Duroia maguirei,,,"""[]""","""[]""",KNApSAcK
10085,Duroia maguirei var. maguirei,,,"""[]""","""[]""",KNApSAcK
10086,Duroia maguirei var. patentinervia,,,"""[]""","""[]""",KNApSAcK
10087,Duroia martiniana,,,"""[]""","""[]""",KNApSAcK
10088,Duroia melinonii,,,"""[]""","""[]""",KNApSAcK
10089,Duroia merumensis,,,"""[]""","""[]""",KNApSAcK
10090,Duroia micrantha,,,"""[]""","""[]""",KNApSAcK
10091,Duroia nitida,,,"""[]""","""[]""",KNApSAcK
10092,Duroia palustris,,,"""[]""","""[]""",KNApSAcK
10093,Duroia paraensis,,,"""[]""","""[]""",KNApSAcK
10094,Duroia paruensis,,,"""[]""","""[]""",KNApSAcK
10095,Duroia petiolaris,,,"""[]""","""[]""",KNApSAcK
10096,Duroia plicata,,,"""[]""","""[]""",KNApSAcK
10097,Duroia prancei,,,"""[]""","""[]""",KNApSAcK
10098,Duroia retrorsipila,,,"""[]""","""[]""",KNApSAcK
10099,Duroia saccifera,,,"""[]""","""[]""",KNApSAcK
10100,Duroia sancti-ciprianii,,,"""[]""","""[]""",KNApSAcK
10101,Duroia soejartoi,,,"""[]""","""[]""",KNApSAcK
10102,Duroia strigosa,,,"""[]""","""[]""",KNApSAcK
10103,Duroia trichocarpa,,,"""[]""","""[]""",KNApSAcK
10104,Duroia triflora,,,"""[]""","""[]""",KNApSAcK
10105,Duroia valesca,,,"""[]""","""[]""",KNApSAcK
10106,Duroia velutina,,,"""[]""","""[]""",KNApSAcK
10107,Durringtonia paludosa,,,"""[]""","""[]""",KNApSAcK
10108,Edrastima angolensis,,,"""[]""","""[]""",KNApSAcK
10109,Edrastima cephalotes,,,"""[]""","""[]""",KNApSAcK
10110,Edrastima goreensis,,,"""[]""","""[]""",KNApSAcK
10111,Edrastima trinervia,,,"""[]""","""[]""",KNApSAcK
10112,Edrastima uniflora,,,"""[]""","""[]""",KNApSAcK
10113,Eizia mexicana,,,"""[]""","""[]""",KNApSAcK
10114,Elaeagia alterniramosa,,,"""[]""","""[]""",KNApSAcK
10115,Elaeagia arborea,,,"""[]""","""[]""",KNApSAcK
10116,Elaeagia asperula,,,"""[]""","""[]""",KNApSAcK
10117,Elaeagia auriculata,,,"""[]""","""[]""",KNApSAcK
10118,Elaeagia barbata,,,"""[]""","""[]""",KNApSAcK
10119,Elaeagia chiriquina,,,"""[]""","""[]""",KNApSAcK
10120,Elaeagia coriacea,,,"""[]""","""[]""",KNApSAcK
10121,Elaeagia cuatrecasasii,,,"""[]""","""[]""",KNApSAcK
10122,Elaeagia cubensis,,,"""[]""","""[]""",KNApSAcK
10123,Elaeagia ecuadorensis,,,"""[]""","""[]""",KNApSAcK
10124,Elaeagia glossostipula,,,"""[]""","""[]""",KNApSAcK
10125,Elaeagia grandis,,,"""[]""","""[]""",KNApSAcK
10126,Elaeagia karstenii,,,"""[]""","""[]""",KNApSAcK
10127,Elaeagia laxiflora,,,"""[]""","""[]""",KNApSAcK
10128,Elaeagia magniflora,,,"""[]""","""[]""",KNApSAcK
10129,Elaeagia maguirei,,,"""[]""","""[]""",KNApSAcK
10130,Elaeagia maguirei var. maguirei,,,"""[]""","""[]""",KNApSAcK
10131,Elaeagia maguirei var. pubens,,,"""[]""","""[]""",KNApSAcK
10132,Elaeagia mariae,,,"""[]""","""[]""",KNApSAcK
10133,Elaeagia microcarpa,,,"""[]""","""[]""",KNApSAcK
10134,Elaeagia multinervia,,,"""[]""","""[]""",KNApSAcK
10135,Elaeagia myriantha,,,"""[]""","""[]""",KNApSAcK
10136,Elaeagia nitidifolia,,,"""[]""","""[]""",KNApSAcK
10137,Elaeagia pacisnascis,,,"""[]""","""[]""",KNApSAcK
10138,Elaeagia pastoensis,,,"""[]""","""[]""",KNApSAcK
10139,Elaeagia ruizteranii,,,"""[]""","""[]""",KNApSAcK
10140,Elaeagia utilis,,,"""[]""","""[]""",KNApSAcK
10141,Eleuthranthes liberiflora,,,"""[]""","""[]""",KNApSAcK
10142,Emmenopterys henryi,,,"""[]""","""[]""",KNApSAcK
10143,Emmeorhiza umbellata,,,"""[]""","""[]""",KNApSAcK
10144,Empogona acidophylla,,,"""[]""","""[]""",KNApSAcK
10145,Empogona aequatoria,,,"""[]""","""[]""",KNApSAcK
10146,Empogona africana,,,"""[]""","""[]""",KNApSAcK
10147,Empogona aulacosperma,,,"""[]""","""[]""",KNApSAcK
10148,Empogona bequaertii,,,"""[]""","""[]""",KNApSAcK
10149,Empogona bracteata,,,"""[]""","""[]""",KNApSAcK
10150,Empogona breteleri,,,"""[]""","""[]""",KNApSAcK
10151,Empogona buxifolia,,,"""[]""","""[]""",KNApSAcK
10152,Empogona buxifolia subsp. australis,,,"""[]""","""[]""",KNApSAcK
10153,Empogona buxifolia subsp. buxifolia,,,"""[]""","""[]""",KNApSAcK
10154,Empogona cacondensis,,,"""[]""","""[]""",KNApSAcK
10155,Empogona concolor,,,"""[]""","""[]""",KNApSAcK
10156,Empogona congesta,,,"""[]""","""[]""",KNApSAcK
10157,Empogona congesta subsp. chasei,,,"""[]""","""[]""",KNApSAcK
10158,Empogona congesta subsp. congesta,,,"""[]""","""[]""",KNApSAcK
10159,Empogona coriacea,,,"""[]""","""[]""",KNApSAcK
10160,Empogona crepiniana,,,"""[]""","""[]""",KNApSAcK
10161,Empogona deightonii,,,"""[]""","""[]""",KNApSAcK
10162,Empogona discolor,,,"""[]""","""[]""",KNApSAcK
10163,Empogona filiformistipulata,,,"""[]""","""[]""",KNApSAcK
10164,Empogona filiformistipulata subsp. epipsila,,,"""[]""","""[]""",KNApSAcK
10165,Empogona filiformistipulata subsp. filiformistipulata,,,"""[]""","""[]""",KNApSAcK
10166,Empogona glabra,,,"""[]""","""[]""",KNApSAcK
10167,Empogona gossweileri,,,"""[]""","""[]""",KNApSAcK
10168,Empogona jenniferae,,,"""[]""","""[]""",KNApSAcK
10169,Empogona kirkii,,,"""[]""","""[]""",KNApSAcK
10170,Empogona kirkii subsp. junodii,,,"""[]""","""[]""",KNApSAcK
10171,Empogona kirkii subsp. kirkii,,,"""[]""","""[]""",KNApSAcK
10172,Empogona lanceolata,,,"""[]""","""[]""",KNApSAcK
10173,Empogona macrophylla,,,"""[]""","""[]""",KNApSAcK
10174,Empogona maputensis,,,"""[]""","""[]""",KNApSAcK
10175,Empogona ngalaensis,,,"""[]""","""[]""",KNApSAcK
10176,Empogona nogueirae,,,"""[]""","""[]""",KNApSAcK
10177,Empogona ovalifolia,,,"""[]""","""[]""",KNApSAcK
10178,Empogona ovalifolia var. glabrata,,,"""[]""","""[]""",KNApSAcK
10179,Empogona ovalifolia var. ovalifolia,,,"""[]""","""[]""",KNApSAcK
10180,Empogona ovalifolia var. taylorii,,,"""[]""","""[]""",KNApSAcK
10181,Empogona reflexa,,,"""[]""","""[]""",KNApSAcK
10182,Empogona reflexa var. ivorensis,,,"""[]""","""[]""",KNApSAcK
10183,Empogona reflexa var. reflexa,,,"""[]""","""[]""",KNApSAcK
10184,Empogona somaliensis,,,"""[]""","""[]""",KNApSAcK
10185,Empogona talbotii,,,"""[]""","""[]""",KNApSAcK
10186,Empogona welwitschii,,,"""[]""","""[]""",KNApSAcK
10187,Eosanthe cubensis,,,"""[]""","""[]""",KNApSAcK
10188,Eriosemopsis subanisophylla,,,"""[]""","""[]""",KNApSAcK
10189,Erithalis angustifolia,,,"""[]""","""[]""",KNApSAcK
10190,Erithalis diffusa,,,"""[]""","""[]""",KNApSAcK
10191,Erithalis fruticosa,,,"""[]""","""[]""",KNApSAcK
10192,Erithalis harrisii,,,"""[]""","""[]""",KNApSAcK
10193,Erithalis odorifera,,,"""[]""","""[]""",KNApSAcK
10194,Erithalis orbiculata,,,"""[]""","""[]""",KNApSAcK
10195,Erithalis quadrangularis,,,"""[]""","""[]""",KNApSAcK
10196,Erithalis salmeoides,,,"""[]""","""[]""",KNApSAcK
10197,Erithalis vacciniifolia,,,"""[]""","""[]""",KNApSAcK
10198,Ernodea angusta,,,"""[]""","""[]""",KNApSAcK
10199,Ernodea cokeri,,,"""[]""","""[]""",KNApSAcK
10200,Ernodea gigantea,,,"""[]""","""[]""",KNApSAcK
10201,Ernodea littoralis,,,"""[]""","""[]""",KNApSAcK
10202,Ernodea millspaughii,,,"""[]""","""[]""",KNApSAcK
10203,Ernodea nashii,,,"""[]""","""[]""",KNApSAcK
10204,Ernodea serratifolia,,,"""[]""","""[]""",KNApSAcK
10205,Ernodea taylorii,,,"""[]""","""[]""",KNApSAcK
10206,Etericius parasiticus,,,"""[]""","""[]""",KNApSAcK
10207,Euclinia longiflora,,,"""[]""","""[]""",KNApSAcK
10208,Euclinia squamifera,,,"""[]""","""[]""",KNApSAcK
10209,Eumachia abrupta,,,"""[]""","""[]""",KNApSAcK
10210,Eumachia abrupta var. abrupta,,,"""[]""","""[]""",KNApSAcK
10211,Eumachia abrupta var. parvifolia,,,"""[]""","""[]""",KNApSAcK
10212,Eumachia acuifolia,,,"""[]""","""[]""",KNApSAcK
10213,Eumachia agustinae,,,"""[]""","""[]""",KNApSAcK
10214,Eumachia albert-smithii,,,"""[]""","""[]""",KNApSAcK
10215,Eumachia amoena,,,"""[]""","""[]""",KNApSAcK
10216,Eumachia aneityensis,,,"""[]""","""[]""",KNApSAcK
10217,Eumachia archboldiana,,,"""[]""","""[]""",KNApSAcK
10218,Eumachia astrellantha,,,"""[]""","""[]""",KNApSAcK
10219,Eumachia balabacensis,,,"""[]""","""[]""",KNApSAcK
10220,Eumachia boliviana,,,"""[]""","""[]""",KNApSAcK
10221,Eumachia carnea,,,"""[]""","""[]""",KNApSAcK
10222,Eumachia cephalantha,,,"""[]""","""[]""",KNApSAcK
10223,Eumachia chaenotricha,,,"""[]""","""[]""",KNApSAcK
10224,Eumachia chlorocalyx,,,"""[]""","""[]""",KNApSAcK
10225,Eumachia coffeosperma,,,"""[]""","""[]""",KNApSAcK
10226,Eumachia coffeosperma subsp. coffeosperma,,,"""[]""","""[]""",KNApSAcK
10227,Eumachia coffeosperma subsp. longipedicellata,,,"""[]""","""[]""",KNApSAcK
10228,Eumachia collina,,,"""[]""","""[]""",KNApSAcK
10229,Eumachia cupulicalyx,,,"""[]""","""[]""",KNApSAcK
10230,Eumachia cymuligera,,,"""[]""","""[]""",KNApSAcK
10231,Eumachia damasiana,,,"""[]""","""[]""",KNApSAcK
10232,Eumachia deinocalyx,,,"""[]""","""[]""",KNApSAcK
10233,Eumachia depauperata,,,"""[]""","""[]""",KNApSAcK
10234,Eumachia domatiicola,,,"""[]""","""[]""",KNApSAcK
10235,Eumachia evansensis,,,"""[]""","""[]""",KNApSAcK
10236,Eumachia extensa,,,"""[]""","""[]""",KNApSAcK
10237,Eumachia forsteriana,,,"""[]""","""[]""",KNApSAcK
10238,Eumachia frutescens,,,"""[]""","""[]""",KNApSAcK
10239,Eumachia galorei,,,"""[]""","""[]""",KNApSAcK
10240,Eumachia geminodens,,,"""[]""","""[]""",KNApSAcK
10241,Eumachia goodenoughiensis,,,"""[]""","""[]""",KNApSAcK
10242,Eumachia gossweileri,,,"""[]""","""[]""",KNApSAcK
10243,Eumachia guianensis,,,"""[]""","""[]""",KNApSAcK
10244,Eumachia haematocarpa,,,"""[]""","""[]""",KNApSAcK
10245,Eumachia hassleriana,,,"""[]""","""[]""",KNApSAcK
10246,Eumachia horsfieldiana,,,"""[]""","""[]""",KNApSAcK
10247,Eumachia huallagae,,,"""[]""","""[]""",KNApSAcK
10248,Eumachia impatiens,,,"""[]""","""[]""",KNApSAcK
10249,Eumachia inaequifolia,,,"""[]""","""[]""",KNApSAcK
10250,Eumachia incompta,,,"""[]""","""[]""",KNApSAcK
10251,Eumachia inconspicua,,,"""[]""","""[]""",KNApSAcK
10252,Eumachia insidens,,,"""[]""","""[]""",KNApSAcK
10253,Eumachia insidens subsp. insidens,,,"""[]""","""[]""",KNApSAcK
10254,Eumachia insidens subsp. liberica,,,"""[]""","""[]""",KNApSAcK
10255,Eumachia kappleri,,,"""[]""","""[]""",KNApSAcK
10256,Eumachia lanceifolia,,,"""[]""","""[]""",KNApSAcK
10257,Eumachia lepiniana,,,"""[]""","""[]""",KNApSAcK
10258,Eumachia leptothyrsa,,,"""[]""","""[]""",KNApSAcK
10259,Eumachia leptothyrsa var. friabilis,,,"""[]""","""[]""",KNApSAcK
10260,Eumachia leptothyrsa var. leptothyrsa,,,"""[]""","""[]""",KNApSAcK
10261,Eumachia leptothyrsa var. leptothyrsoides,,,"""[]""","""[]""",KNApSAcK
10262,Eumachia leptothyrsa var. longicarpa,,,"""[]""","""[]""",KNApSAcK
10263,Eumachia leptothyrsa var. multifurca,,,"""[]""","""[]""",KNApSAcK
10264,Eumachia leptothyrsa var. yapensis,,,"""[]""","""[]""",KNApSAcK
10265,Eumachia letouzeyi,,,"""[]""","""[]""",KNApSAcK
10266,Eumachia longistylis,,,"""[]""","""[]""",KNApSAcK
10267,Eumachia lophoclada,,,"""[]""","""[]""",KNApSAcK
10268,Eumachia lyciiflora,,,"""[]""","""[]""",KNApSAcK
10269,Eumachia macrocarpa,,,"""[]""","""[]""",KNApSAcK
10270,Eumachia membranacea,,,"""[]""","""[]""",KNApSAcK
10271,Eumachia membranifolia,,,"""[]""","""[]""",KNApSAcK
10272,Eumachia merrilliana,,,"""[]""","""[]""",KNApSAcK
10273,Eumachia microdon,,,"""[]""","""[]""",KNApSAcK
10274,Eumachia monopedicellata,,,"""[]""","""[]""",KNApSAcK
10275,Eumachia montana,,,"""[]""","""[]""",KNApSAcK
10276,Eumachia nana,,,"""[]""","""[]""",KNApSAcK
10277,Eumachia novohiberiensis,,,"""[]""","""[]""",KNApSAcK
10278,Eumachia nutans,,,"""[]""","""[]""",KNApSAcK
10279,Eumachia obanensis,,,"""[]""","""[]""",KNApSAcK
10280,Eumachia obovoidea,,,"""[]""","""[]""",KNApSAcK
10281,Eumachia obovoidea subsp. longipedunculata,,,"""[]""","""[]""",KNApSAcK
10282,Eumachia obovoidea subsp. obovoidea,,,"""[]""","""[]""",KNApSAcK
10283,Eumachia obovoidea subsp. rhytidophloea,,,"""[]""","""[]""",KNApSAcK
10284,Eumachia obovoidea subsp. villosistipula,,,"""[]""","""[]""",KNApSAcK
10285,Eumachia oddonii,,,"""[]""","""[]""",KNApSAcK
10286,Eumachia oddonii var. cameroonensis,,,"""[]""","""[]""",KNApSAcK
10287,Eumachia oddonii var. grandifolia,,,"""[]""","""[]""",KNApSAcK
10288,Eumachia oddonii var. oddonii,,,"""[]""","""[]""",KNApSAcK
10289,Eumachia oleoides,,,"""[]""","""[]""",KNApSAcK
10290,Eumachia oncocarpa,,,"""[]""","""[]""",KNApSAcK
10291,Eumachia ovoidea,,,"""[]""","""[]""",KNApSAcK
10292,Eumachia pallidinervia,,,"""[]""","""[]""",KNApSAcK
10293,Eumachia parviflora,,,"""[]""","""[]""",KNApSAcK
10294,Eumachia paupertina,,,"""[]""","""[]""",KNApSAcK
10295,Eumachia podocephala,,,"""[]""","""[]""",KNApSAcK
10296,Eumachia poggei,,,"""[]""","""[]""",KNApSAcK
10297,Eumachia purariensis,,,"""[]""","""[]""",KNApSAcK
10298,Eumachia ramisulca,,,"""[]""","""[]""",KNApSAcK
10299,Eumachia rostrata,,,"""[]""","""[]""",KNApSAcK
10300,Eumachia rotundifolia,,,"""[]""","""[]""",KNApSAcK
10301,Eumachia saidoriensis,,,"""[]""","""[]""",KNApSAcK
10302,Eumachia samoana,,,"""[]""","""[]""",KNApSAcK
10303,Eumachia savaiiensis,,,"""[]""","""[]""",KNApSAcK
10304,Eumachia schmielei,,,"""[]""","""[]""",KNApSAcK
10305,Eumachia sciadephora,,,"""[]""","""[]""",KNApSAcK
10306,Eumachia sciadephora var. condensata,,,"""[]""","""[]""",KNApSAcK
10307,Eumachia sciadephora var. sciadephora,,,"""[]""","""[]""",KNApSAcK
10308,Eumachia sclerocarpa,,,"""[]""","""[]""",KNApSAcK
10309,Eumachia straminea,,,"""[]""","""[]""",KNApSAcK
10310,Eumachia trichostoma,,,"""[]""","""[]""",KNApSAcK
10311,Eumachia triflora,,,"""[]""","""[]""",KNApSAcK
10312,Eumachia vaupelii,,,"""[]""","""[]""",KNApSAcK
10313,Eumachia viridicalyx,,,"""[]""","""[]""",KNApSAcK
10314,Eumachia wildemaniana,,,"""[]""","""[]""",KNApSAcK
10315,Eumachia wilhelminensis,,,"""[]""","""[]""",KNApSAcK
10316,Everistia vacciniifolia,,,"""[]""","""[]""",KNApSAcK
10317,Everistia vacciniifolia var. nervosa,,,"""[]""","""[]""",KNApSAcK
10318,Everistia vacciniifolia var. vacciniifolia,,,"""[]""","""[]""",KNApSAcK
10319,Exallage angustifolia,,,"""[]""","""[]""",KNApSAcK
10320,Exallage auricularia,,,"""[]""","""[]""",KNApSAcK
10321,Exallage auricularia subsp. auricularia,,,"""[]""","""[]""",KNApSAcK
10322,Exallage auricularia subsp. venosa,,,"""[]""","""[]""",KNApSAcK
10323,Exallage barbata,,,"""[]""","""[]""",KNApSAcK
10324,Exallage buruensis,,,"""[]""","""[]""",KNApSAcK
10325,Exallage chrysotricha,,,"""[]""","""[]""",KNApSAcK
10326,Exallage ciliicaulis,,,"""[]""","""[]""",KNApSAcK
10327,Exallage cristata,,,"""[]""","""[]""",KNApSAcK
10328,Exallage fulva,,,"""[]""","""[]""",KNApSAcK
10329,Exallage havilandii,,,"""[]""","""[]""",KNApSAcK
10330,Exallage insularis,,,"""[]""","""[]""",KNApSAcK
10331,Exallage kunstleri,,,"""[]""","""[]""",KNApSAcK
10332,Exallage lapeyrousei,,,"""[]""","""[]""",KNApSAcK
10333,Exallage latifolia,,,"""[]""","""[]""",KNApSAcK
10334,Exallage macrophylla,,,"""[]""","""[]""",KNApSAcK
10335,Exallage microcephala,,,"""[]""","""[]""",KNApSAcK
10336,Exallage pachycarpa,,,"""[]""","""[]""",KNApSAcK
10337,Exallage paradoxa,,,"""[]""","""[]""",KNApSAcK
10338,Exallage parietarioides,,,"""[]""","""[]""",KNApSAcK
10339,Exallage perhispida,,,"""[]""","""[]""",KNApSAcK
10340,Exallage pressa,,,"""[]""","""[]""",KNApSAcK
10341,Exallage radicans,,,"""[]""","""[]""",KNApSAcK
10342,Exallage ulmifolia,,,"""[]""","""[]""",KNApSAcK
10343,Exallosperma longiflora,,,"""[]""","""[]""",KNApSAcK
10344,Exostema acuminatum,,,"""[]""","""[]""",KNApSAcK
10345,Exostema bicolor,,,"""[]""","""[]""",KNApSAcK
10346,Exostema caribaeum,,,"""[]""","""[]""",KNApSAcK
10347,Exostema coriaceum,,,"""[]""","""[]""",KNApSAcK
10348,Exostema glaberrimum,,,"""[]""","""[]""",KNApSAcK
10349,Exostema lancifolium,,,"""[]""","""[]""",KNApSAcK
10350,Exostema lancifolium var. lancifolium,,,"""[]""","""[]""",KNApSAcK
10351,Exostema lancifolium var. lucidum,,,"""[]""","""[]""",KNApSAcK
10352,Exostema nitens,,,"""[]""","""[]""",KNApSAcK
10353,Exostema purpureum,,,"""[]""","""[]""",KNApSAcK
10354,Exostema revolutum,,,"""[]""","""[]""",KNApSAcK
10355,Exostema salicifolium,,,"""[]""","""[]""",KNApSAcK
10356,Exostema spinosum,,,"""[]""","""[]""",KNApSAcK
10357,Exostema spinosum subsp. spinosum,,,"""[]""","""[]""",KNApSAcK
10358,Exostema spinosum subsp. tortuense,,,"""[]""","""[]""",KNApSAcK
10359,Fadogia ancylantha,,,"""[]""","""[]""",KNApSAcK
10360,Fadogia andersonii,,,"""[]""","""[]""",KNApSAcK
10361,Fadogia arenicola,,,"""[]""","""[]""",KNApSAcK
10362,Fadogia audruana,,,"""[]""","""[]""",KNApSAcK
10363,Fadogia butayei,,,"""[]""","""[]""",KNApSAcK
10364,Fadogia caespitosa,,,"""[]""","""[]""",KNApSAcK
10365,Fadogia chlorantha,,,"""[]""","""[]""",KNApSAcK
10366,Fadogia chlorantha var. chlorantha,,,"""[]""","""[]""",KNApSAcK
10367,Fadogia chlorantha var. thamnus,,,"""[]""","""[]""",KNApSAcK
10368,Fadogia chrysantha,,,"""[]""","""[]""",KNApSAcK
10369,Fadogia cienkowskii,,,"""[]""","""[]""",KNApSAcK
10370,Fadogia cienkowskii var. cienkowskii,,,"""[]""","""[]""",KNApSAcK
10371,Fadogia cienkowskii var. lanceolata,,,"""[]""","""[]""",KNApSAcK
10372,Fadogia cinerascens,,,"""[]""","""[]""",KNApSAcK
10373,Fadogia elskensii,,,"""[]""","""[]""",KNApSAcK
10374,Fadogia elskensii var. elskensii,,,"""[]""","""[]""",KNApSAcK
10375,Fadogia elskensii var. ufipaensis,,,"""[]""","""[]""",KNApSAcK
10376,Fadogia erythrophloea,,,"""[]""","""[]""",KNApSAcK
10377,Fadogia fragrans,,,"""[]""","""[]""",KNApSAcK
10378,Fadogia fuchsioides,,,"""[]""","""[]""",KNApSAcK
10379,Fadogia glaberrima,,,"""[]""","""[]""",KNApSAcK
10380,Fadogia gossweileri,,,"""[]""","""[]""",KNApSAcK
10381,Fadogia graminea,,,"""[]""","""[]""",KNApSAcK
10382,Fadogia homblei,,,"""[]""","""[]""",KNApSAcK
10383,Fadogia lactiflora,,,"""[]""","""[]""",KNApSAcK
10384,Fadogia latifolia,,,"""[]""","""[]""",KNApSAcK
10385,Fadogia leucophloea,,,"""[]""","""[]""",KNApSAcK
10386,Fadogia luangwae,,,"""[]""","""[]""",KNApSAcK
10387,Fadogia oblongolanceolata,,,"""[]""","""[]""",KNApSAcK
10388,Fadogia obscura,,,"""[]""","""[]""",KNApSAcK
10389,Fadogia olivacea,,,"""[]""","""[]""",KNApSAcK
10390,Fadogia parvifolia,,,"""[]""","""[]""",KNApSAcK
10391,Fadogia pobeguinii,,,"""[]""","""[]""",KNApSAcK
10392,Fadogia punctulata,,,"""[]""","""[]""",KNApSAcK
10393,Fadogia rostrata,,,"""[]""","""[]""",KNApSAcK
10394,Fadogia salictaria,,,"""[]""","""[]""",KNApSAcK
10395,Fadogia schmitzii,,,"""[]""","""[]""",KNApSAcK
10396,Fadogia spectabilis,,,"""[]""","""[]""",KNApSAcK
10397,Fadogia stenophylla,,,"""[]""","""[]""",KNApSAcK
10398,Fadogia stenophylla subsp. odorata,,,"""[]""","""[]""",KNApSAcK
10399,Fadogia stenophylla subsp. stenophylla,,,"""[]""","""[]""",KNApSAcK
10400,Fadogia tetraquetra,,,"""[]""","""[]""",KNApSAcK
10401,Fadogia tetraquetra var. grandiflora,,,"""[]""","""[]""",KNApSAcK
10402,Fadogia tetraquetra var. tetraquetra,,,"""[]""","""[]""",KNApSAcK
10403,Fadogia tomentosa,,,"""[]""","""[]""",KNApSAcK
10404,Fadogia tomentosa var. calvescens,,,"""[]""","""[]""",KNApSAcK
10405,Fadogia tomentosa var. flaviflora,,,"""[]""","""[]""",KNApSAcK
10406,Fadogia tomentosa var. tomentosa,,,"""[]""","""[]""",KNApSAcK
10407,Fadogia triphylla,,,"""[]""","""[]""",KNApSAcK
10408,Fadogia triphylla var. giorgii,,,"""[]""","""[]""",KNApSAcK
10409,Fadogia triphylla var. gracilifolia,,,"""[]""","""[]""",KNApSAcK
10410,Fadogia triphylla var. peteri,,,"""[]""","""[]""",KNApSAcK
10411,Fadogia triphylla var. pubicaulis,,,"""[]""","""[]""",KNApSAcK
10412,Fadogia triphylla var. triphylla,,,"""[]""","""[]""",KNApSAcK
10413,Fadogia variifolia,,,"""[]""","""[]""",KNApSAcK
10414,Fadogia verdcourtii,,,"""[]""","""[]""",KNApSAcK
10415,Fadogia verdcourtii var. pubescens,,,"""[]""","""[]""",KNApSAcK
10416,Fadogia verdcourtii var. verdcourtii,,,"""[]""","""[]""",KNApSAcK
10417,Fadogia verdickii,,,"""[]""","""[]""",KNApSAcK
10418,Fadogia vollesenii,,,"""[]""","""[]""",KNApSAcK
10419,Fadogiella cana,,,"""[]""","""[]""",KNApSAcK
10420,Fadogiella rogersii,,,"""[]""","""[]""",KNApSAcK
10421,Fadogiella stigmatoloba,,,"""[]""","""[]""",KNApSAcK
10422,Faramea accumulans,,,"""[]""","""[]""",KNApSAcK
10423,Faramea acuminatissima,,,"""[]""","""[]""",KNApSAcK
10424,Faramea affinis,,,"""[]""","""[]""",KNApSAcK
10425,Faramea ampla,,,"""[]""","""[]""",KNApSAcK
10426,Faramea amplifolia,,,"""[]""","""[]""",KNApSAcK
10427,Faramea angusta,,,"""[]""","""[]""",KNApSAcK
10428,Faramea anisocalyx,,,"""[]""","""[]""",KNApSAcK
10429,Faramea anisocalyx var. anisocalyx,,,"""[]""","""[]""",KNApSAcK
10430,Faramea anisocalyx var. schwackei,,,"""[]""","""[]""",KNApSAcK
10431,Faramea anisodonta,,,"""[]""","""[]""",KNApSAcK
10432,Faramea apodantha,,,"""[]""","""[]""",KNApSAcK
10433,Faramea areolata,,,"""[]""","""[]""",KNApSAcK
10434,Faramea aristata,,,"""[]""","""[]""",KNApSAcK
10435,Faramea atlantica,,,"""[]""","""[]""",KNApSAcK
10436,Faramea australis,,,"""[]""","""[]""",KNApSAcK
10437,Faramea axillaris,,,"""[]""","""[]""",KNApSAcK
10438,Faramea axilliflora,,,"""[]""","""[]""",KNApSAcK
10439,Faramea bahiensis,,,"""[]""","""[]""",KNApSAcK
10440,Faramea bangii,,,"""[]""","""[]""",KNApSAcK
10441,Faramea belizensis,,,"""[]""","""[]""",KNApSAcK
10442,Faramea berryi,,,"""[]""","""[]""",KNApSAcK
10443,Faramea bicolor,,,"""[]""","""[]""",KNApSAcK
