,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,try_Snippet,Sources
411,759724-1,Pavetta greenwayi,Pavetta greenwayi,759724-1,Species," <b>Inflorescence</b>: , tomentose-<em>pubescent</em>; secondary branches usually present; pedicels 5",,POWO pages(/taxon/urn:lsid:ipni.org:names:759724-1):
412,760246-1,Pentas arvensis,Pentas arvensis,760246-1,Species," <b>Leaf</b>:  at the apex, cuneate at the base, with adpressed crisped <em>hairs</em> on both",,POWO pages(/taxon/urn:lsid:ipni.org:names:760246-1):
413,760246-1,Pentas arvensis,Pentas arvensis,760246-1,Species," <b>Appearance</b>: , ± <em>hairy</em> in 2 lines, often showing signs of burning.",,POWO pages(/taxon/urn:lsid:ipni.org:names:760246-1):
414,766615-1,Spermacoce azurea,Spermacoce azurea,766615-1,Species," <b>Leaf</b>:  to the base, ± scabrid with forwardly directed <em>hairs</em> on both surfaces",,POWO pages(/taxon/urn:lsid:ipni.org:names:766615-1):
415,766615-1,Spermacoce azurea,Spermacoce azurea,766615-1,Species, <b>Appearance</b>:  with spreading white <em>hairs</em> which are thickened at the base.,,POWO pages(/taxon/urn:lsid:ipni.org:names:766615-1):
416,766615-1,Spermacoce azurea,Spermacoce azurea,766615-1,Species," <b>Leaf</b>: ; free petiole absent; stipule-sheath 4–5 mm. long, <em>hairy</em>, with 3",,POWO pages(/taxon/urn:lsid:ipni.org:names:766615-1):
417,766615-1,Spermacoce azurea,Spermacoce azurea,766615-1,Species," <b>Appearance</b>: ; stems 15–30 cm. tall, <em>pubescent</em> or ± densely covered",,POWO pages(/taxon/urn:lsid:ipni.org:names:766615-1):
418,936870-1,Spermacoce bisepala,Spermacoce bisepala,936870-1,Species," <b>Leaf</b>:  on both sides, with longer <em>hairs</em> on mid-rib beneath and short ones",,POWO pages(/taxon/urn:lsid:ipni.org:names:936870-1):
419,936870-1,Spermacoce bisepala,Spermacoce bisepala,936870-1,Species," <b>Appearance</b>:  or ascending, densely pubescent with spreading <em>hairs</em>.",,POWO pages(/taxon/urn:lsid:ipni.org:names:936870-1):
420,936870-1,Spermacoce bisepala,Spermacoce bisepala,936870-1,Species," <b>Leaf</b>: -lanceolate, acute at the apex, narrowed to sessile base, <em>pubescent</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:936870-1):
421,936870-1,Spermacoce bisepala,Spermacoce bisepala,936870-1,Species," <b>Appearance</b>:  or ascending, densely <em>pubescent</em> with spreading hairs.",,POWO pages(/taxon/urn:lsid:ipni.org:names:936870-1):
422,35231-1,Pyrostria,nan,nan,Genus, <b>Leaf</b>:  <em>hairs</em> and colleters inside.,,POWO pages(/taxon/urn:lsid:ipni.org:names:35231-1):
423,35231-1,Pyrostria,nan,nan,Genus, <b>Leaf</b>:  <em>pubescent</em>; tertiary nerves obscure (or rarely apparent); domatia,,POWO pages(/taxon/urn:lsid:ipni.org:names:35231-1):
424,753014-1,Hedythyrsus thamnoideus,Hedythyrsus thamnoideus,753014-1,Species, <b>Leaf</b>:  or with a few <em>hairs</em> on the margins and main nerve beneath; petiole short,,POWO pages(/taxon/urn:lsid:ipni.org:names:753014-1):
425,753014-1,Hedythyrsus thamnoideus,Hedythyrsus thamnoideus,753014-1,Species, <b>Appearance</b>:  or with only a few lines of <em>hairs</em> on young parts; internodes short.,,POWO pages(/taxon/urn:lsid:ipni.org:names:753014-1):
426,753014-1,Hedythyrsus thamnoideus,Hedythyrsus thamnoideus,753014-1,Species," <b>Leaf</b>: , scarcely 1(–1.5) mm. long; stipule-sheath <em>hairy</em>, 1–3 mm. long",,POWO pages(/taxon/urn:lsid:ipni.org:names:753014-1):
427,753014-1,Hedythyrsus thamnoideus,Hedythyrsus thamnoideus,753014-1,Species," <b>Inflorescence</b>: . long, sometimes bifariously <em>hairy</em>; pedicels 0–1 mm. long.",,POWO pages(/taxon/urn:lsid:ipni.org:names:753014-1):
428,756228-1,Mitracarpus hirtus,Mitracarpus hirtus,756228-1,Species," <b>Leaf</b>:  above, glabrescent or glabrous beneath save for <em>hairs</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:756228-1):
429,756228-1,Mitracarpus hirtus,Mitracarpus hirtus,756228-1,Species, <b>Appearance</b>:  with short curled ± appressed <em>hairs</em> and often with spreading ones,,POWO pages(/taxon/urn:lsid:ipni.org:names:756228-1):
430,756228-1,Mitracarpus hirtus,Mitracarpus hirtus,756228-1,Species," <b>Leaf</b>:  at the apex, cuneate at the base, glabrescent to scabrid-<em>pubescent</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:756228-1):
431,756228-1,Mitracarpus hirtus,Mitracarpus hirtus,756228-1,Species," <b>Appearance</b>: , with unbranched or sparsely to much-branched stems; branchlets <em>pubescent</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:756228-1):
432,757800-1,Oldenlandia cryptocarpa,Oldenlandia cryptocarpa,757800-1,Species," <b>Leaf</b>: , often with revolute margins, pubescent with spreading <em>hairs</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:757800-1):
433,757800-1,Oldenlandia cryptocarpa,Oldenlandia cryptocarpa,757800-1,Species, <b>Appearance</b>:  densely pubescent with spreading <em>hairs</em>,,POWO pages(/taxon/urn:lsid:ipni.org:names:757800-1):
434,757800-1,Oldenlandia cryptocarpa,Oldenlandia cryptocarpa,757800-1,Species," <b>Leaf</b>:  combined, forming a <em>hairy</em> cup up to ± 2 mm. tall, 6 mm. wide",,POWO pages(/taxon/urn:lsid:ipni.org:names:757800-1):
435,757800-1,Oldenlandia cryptocarpa,Oldenlandia cryptocarpa,757800-1,Species," <b>Leaf</b>: , often with revolute margins, <em>pubescent</em> with spreading hairs",,POWO pages(/taxon/urn:lsid:ipni.org:names:757800-1):
436,757800-1,Oldenlandia cryptocarpa,Oldenlandia cryptocarpa,757800-1,Species, <b>Appearance</b>:  densely <em>pubescent</em> with spreading hairs,,POWO pages(/taxon/urn:lsid:ipni.org:names:757800-1):
437,759841-1,Pavetta macrosepala,Pavetta macrosepala,759841-1,Species, <b>Leaf</b>:  <em>hairs</em> inside.,,POWO pages(/taxon/urn:lsid:ipni.org:names:759841-1):
438,759841-1,Pavetta macrosepala,Pavetta macrosepala,759841-1,Species," <b>Leaf</b>:  mucronulate, base acute to obtuse, entirely glabrous or <em>pubescent</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:759841-1):
439,759841-1,Pavetta macrosepala,Pavetta macrosepala,759841-1,Species, <b>Inflorescence</b>:  or <em>pubescent</em>; secondary branches absent or present; pedicels 0.4–1.8 cm,,POWO pages(/taxon/urn:lsid:ipni.org:names:759841-1):
440,759841-1,Pavetta macrosepala,Pavetta macrosepala,759841-1,Species," <b>Appearance</b>:  <em>pubescent</em> or glabrous, older branches covered with thin peeling",,POWO pages(/taxon/urn:lsid:ipni.org:names:759841-1):
441,761934-1,Psychotria ealaensis,Psychotria ealaensis,761934-1,Species," <b>Leaf</b>:  or glabrous, deciduous; nodes with long <em>hairs</em> within the stipules.",,POWO pages(/taxon/urn:lsid:ipni.org:names:761934-1):
442,761934-1,Psychotria ealaensis,Psychotria ealaensis,761934-1,Species," <b>Leaf</b>: . long, <em>pubescent</em>; stipules ovate-triangular, 4–6.5 mm. long",,POWO pages(/taxon/urn:lsid:ipni.org:names:761934-1):
443,932413-1,Pyrostria lobulata,Pyrostria lobulata,932413-1,Species, <b>Leaf</b>:  nerves obscure; domatia present as inconspicuous tufts of <em>hair</em>,,POWO pages(/taxon/urn:lsid:ipni.org:names:932413-1):
444,765712-1,Rytigynia bugoyensis,Rytigynia bugoyensis,765712-1,Species," <b>Leaf</b>:  thin, rather sparsely pilose with adpressed ± rough <em>hairs</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:765712-1):
445,765712-1,Rytigynia bugoyensis,Rytigynia bugoyensis,765712-1,Species," <b>Leaf</b>: ; petiole 0.3–1 cm. long, bristly <em>pubescent</em>; stipules connate",,POWO pages(/taxon/urn:lsid:ipni.org:names:765712-1):
446,765712-1,Rytigynia bugoyensis,Rytigynia bugoyensis,765712-1,Species, <b>Inflorescence</b>:  ± densely <em>pubescent</em>.,,POWO pages(/taxon/urn:lsid:ipni.org:names:765712-1):
447,765712-1,Rytigynia bugoyensis,Rytigynia bugoyensis,765712-1,Species," <b>Appearance</b>:  ± opposite paired spines, 0.6–2.5 cm. long; young shoots <em>pubescent</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:765712-1):
448,766314-1,Sericanthe suffruticosa,Sericanthe suffruticosa,766314-1,Species," <b>Leaf</b>: , both surfaces ± glabrous or with a few scattered <em>hairs</em> becoming",,POWO pages(/taxon/urn:lsid:ipni.org:names:766314-1):
449,766314-1,Sericanthe suffruticosa,Sericanthe suffruticosa,766314-1,Species, <b>Appearance</b>:  pubescent with upwardly appressed <em>hairs</em>; older stems covered,,POWO pages(/taxon/urn:lsid:ipni.org:names:766314-1):
450,766314-1,Sericanthe suffruticosa,Sericanthe suffruticosa,766314-1,Species," <b>Leaf</b>: ; midrib <em>hairy</em> on both sides, usually drying somewhat cream",,POWO pages(/taxon/urn:lsid:ipni.org:names:766314-1):
451,766314-1,Sericanthe suffruticosa,Sericanthe suffruticosa,766314-1,Species," <b>Leaf</b>:  long, <em>pubescent</em>; stipules with limbs forming a sheath, rather",,POWO pages(/taxon/urn:lsid:ipni.org:names:766314-1):
452,766314-1,Sericanthe suffruticosa,Sericanthe suffruticosa,766314-1,Species, <b>Appearance</b>:  <em>pubescent</em> with upwardly appressed hairs; older stems covered,,POWO pages(/taxon/urn:lsid:ipni.org:names:766314-1):
453,77107919-1,Coffea neoleroyi,Coffea neoleroyi,77107919-1,Species, <b>Leaf</b>:  <em>hairs</em> present in the nerve-axils; petiole 3–5 mm. long; stipules,,POWO pages(/taxon/urn:lsid:ipni.org:names:77107919-1):
454,753013-1,Hedythyrsus spermacocinus,Hedythyrsus spermacocinus,753013-1,Species, <b>Leaf</b>:  or with few scattered <em>hairs</em> on midrib beneath; petiole about 1 mm,,POWO pages(/taxon/urn:lsid:ipni.org:names:753013-1):
455,753013-1,Hedythyrsus spermacocinus,Hedythyrsus spermacocinus,753013-1,Species," <b>Leaf</b>: . long or ± obsolete; stipule sheath <em>pubescent</em>, 1 mm. long with 3",,POWO pages(/taxon/urn:lsid:ipni.org:names:753013-1):
456,753013-1,Hedythyrsus spermacocinus,Hedythyrsus spermacocinus,753013-1,Species, <b>Inflorescence</b>:  spreading <em>pubescent</em>.,,POWO pages(/taxon/urn:lsid:ipni.org:names:753013-1):
457,754977-1,Lasianthus glomeruliflorus,Lasianthus glomeruliflorus,754977-1,Species," <b>Leaf</b>: , pubescent beneath with brownish <em>hairs</em> when very young, later",,POWO pages(/taxon/urn:lsid:ipni.org:names:754977-1):
458,754977-1,Lasianthus glomeruliflorus,Lasianthus glomeruliflorus,754977-1,Species," <b>Leaf</b>:  0.6–2.5 cm. long; stipules ovate, 3 mm. long, apiculate, <em>hairy</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:754977-1):
459,754977-1,Lasianthus glomeruliflorus,Lasianthus glomeruliflorus,754977-1,Species," <b>Leaf</b>: , <em>pubescent</em> beneath with brownish hairs when very young, later",,POWO pages(/taxon/urn:lsid:ipni.org:names:754977-1):
460,758708-1,Otiophora pauciflora,Otiophora pauciflora,758708-1,Species," <b>Leaf</b>:  at the base, often discolorous, glabrescent or with short <em>hairs</em> above",,POWO pages(/taxon/urn:lsid:ipni.org:names:758708-1):
461,758708-1,Otiophora pauciflora,Otiophora pauciflora,758708-1,Species," <b>Appearance</b>:  rootstock; stems hairy when young, the <em>hairs</em> mostly in 2 lines",,POWO pages(/taxon/urn:lsid:ipni.org:names:758708-1):
462,758708-1,Otiophora pauciflora,Otiophora pauciflora,758708-1,Species," <b>Appearance</b>:  rootstock; stems <em>hairy</em> when young, the hairs mostly in 2 lines",,POWO pages(/taxon/urn:lsid:ipni.org:names:758708-1):
463,759416-1,Paraknoxia parviflora,Paraknoxia parviflora,759416-1,Species," <b>Leaf</b>:  at the apex, cuneate at the base, covered with short <em>hairs</em>; petioles",,POWO pages(/taxon/urn:lsid:ipni.org:names:759416-1):
464,759416-1,Paraknoxia parviflora,Paraknoxia parviflora,759416-1,Species," <b>Appearance</b>: , <em>hairy</em>.",,POWO pages(/taxon/urn:lsid:ipni.org:names:759416-1):
465,759582-1,Pavetta burttii,Pavetta burttii,759582-1,Species," <b>Leaf</b>: , with few silky <em>hairs</em> at axils inside.",,POWO pages(/taxon/urn:lsid:ipni.org:names:759582-1):
466,759582-1,Pavetta burttii,Pavetta burttii,759582-1,Species," <b>Leaf</b>:  cuneate, <em>pubescent</em> above, tomentose beneath; bacterial nodules dot",,POWO pages(/taxon/urn:lsid:ipni.org:names:759582-1):
467,759582-1,Pavetta burttii,Pavetta burttii,759582-1,Species," <b>Inflorescence</b>: , densely <em>pubescent</em>; secondary branches present; pedicels 0.15–1 cm",,POWO pages(/taxon/urn:lsid:ipni.org:names:759582-1):
468,759582-1,Pavetta burttii,Pavetta burttii,759582-1,Species, <b>Appearance</b>: Shrub; young branches <em>pubescent</em>; older branches covered,,POWO pages(/taxon/urn:lsid:ipni.org:names:759582-1):
469,763003-1,Psychotria petitii,Psychotria petitii,763003-1,Species," <b>Leaf</b>:  with short <em>hairs</em>, soon deciduous.",,POWO pages(/taxon/urn:lsid:ipni.org:names:763003-1):
470,763003-1,Psychotria petitii,Psychotria petitii,763003-1,Species, <b>Appearance</b>:  save for tufts of ferruginous <em>hairs</em> within the stipules,,POWO pages(/taxon/urn:lsid:ipni.org:names:763003-1):
471,77062258-1,Afrocanthium pseudoverticillatum,Afrocanthium pseudoverticillatum,77062258-1,Species," <b>Leaf</b>:  above, glabrous to pubescent with rather prickle-like <em>hairs</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:77062258-1):
472,77062258-1,Afrocanthium pseudoverticillatum,Afrocanthium pseudoverticillatum,77062258-1,Species," <b>Leaf</b>: , or pubescent at least beneath; young stipules with subulate tip, <em>hairy</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:77062258-1):
473,77062258-1,Afrocanthium pseudoverticillatum,Afrocanthium pseudoverticillatum,77062258-1,Species," <b>Leaf</b>: , or <em>pubescent</em> at least beneath; young stipules with subulate tip, hairy",,POWO pages(/taxon/urn:lsid:ipni.org:names:77062258-1):
474,77062258-1,Afrocanthium pseudoverticillatum,Afrocanthium pseudoverticillatum,77062258-1,Species, <b>Appearance</b>:  branches sparsely <em>pubescent</em> to <em>pubescent</em>; bark reddish or pale grey,,POWO pages(/taxon/urn:lsid:ipni.org:names:77062258-1):
475,77092367-1,Psychotria kupensis,Psychotria kupensis,77092367-1,Species," <b>Leaf</b>: , raised, densely pubescent, <em>hairs</em> patent, hollow, broad-based",,POWO pages(/taxon/urn:lsid:ipni.org:names:77092367-1):
476,77092367-1,Psychotria kupensis,Psychotria kupensis,77092367-1,Species," <b>Inflorescence</b>:  pubescent with patent <em>hairs</em>, as the lower surface of the midrib",,POWO pages(/taxon/urn:lsid:ipni.org:names:77092367-1):
477,77092367-1,Psychotria kupensis,Psychotria kupensis,77092367-1,Species," <b>Leaf</b>:  densely minutely papillate and sparsely patent <em>hairy</em>, the hairs",,POWO pages(/taxon/urn:lsid:ipni.org:names:77092367-1):
478,77092367-1,Psychotria kupensis,Psychotria kupensis,77092367-1,Species," <b>Leaf</b>: , raised, densely <em>pubescent</em>, hairs patent, hollow, broad-based",,POWO pages(/taxon/urn:lsid:ipni.org:names:77092367-1):
479,77092367-1,Psychotria kupensis,Psychotria kupensis,77092367-1,Species," <b>Inflorescence</b>:  <em>pubescent</em> with patent hairs, as the lower surface of the midrib",,POWO pages(/taxon/urn:lsid:ipni.org:names:77092367-1):
480,744272-1,Aulacocalyx laxiflora,Aulacocalyx laxiflora,744272-1,Species, <b>Leaf</b>:  sparse <em>hairs</em> on nerves and midrib and with hairy domatia; costa,,POWO pages(/taxon/urn:lsid:ipni.org:names:744272-1):
481,744272-1,Aulacocalyx laxiflora,Aulacocalyx laxiflora,744272-1,Species, <b>Leaf</b>:  sparse hairs on nerves and midrib and with <em>hairy</em> domatia; costa,,POWO pages(/taxon/urn:lsid:ipni.org:names:744272-1):
482,744272-1,Aulacocalyx laxiflora,Aulacocalyx laxiflora,744272-1,Species, <b>Inflorescence</b>:  mm long; all axes pubescent to densely <em>hairy</em>; bracts,,POWO pages(/taxon/urn:lsid:ipni.org:names:744272-1):
483,744272-1,Aulacocalyx laxiflora,Aulacocalyx laxiflora,744272-1,Species, <b>Inflorescence</b>:  mm long; all axes <em>pubescent</em> to densely hairy; bracts,,POWO pages(/taxon/urn:lsid:ipni.org:names:744272-1):
484,744272-1,Aulacocalyx laxiflora,Aulacocalyx laxiflora,744272-1,Species," <b>Appearance</b>:  or ± <em>pubescent</em> stems, the bark ± flaky.",,POWO pages(/taxon/urn:lsid:ipni.org:names:744272-1):
485,758741-1,Otomeria volubilis,Otomeria volubilis,758741-1,Species," <b>Leaf</b>:  pubescent near the midrib above, with minute adpressed <em>hairs</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:758741-1):
486,758741-1,Otomeria volubilis,Otomeria volubilis,758741-1,Species," <b>Appearance</b>: ; stems with 2 lines of short adpressed <em>hairs</em> above, glabrous",,POWO pages(/taxon/urn:lsid:ipni.org:names:758741-1):
487,758741-1,Otomeria volubilis,Otomeria volubilis,758741-1,Species," <b>Leaf</b>:  <em>pubescent</em> near the midrib above, with minute adpressed hairs",,POWO pages(/taxon/urn:lsid:ipni.org:names:758741-1):
488,931704-1,Rytigynia mrimaensis,Rytigynia mrimaensis,931704-1,Species," <b>Leaf</b>:  at the base, drying blackish, glabrous save for some bristly <em>hairs</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:931704-1):
489,931704-1,Rytigynia mrimaensis,Rytigynia mrimaensis,931704-1,Species, <b>Leaf</b>:  on the midrib beneath and sparsely <em>hairy</em> domatia; petiole ± 3 mm. long,,POWO pages(/taxon/urn:lsid:ipni.org:names:931704-1):
490,931709-1,Rytigynia pseudolongicaudata,Rytigynia pseudolongicaudata,931709-1,Species, <b>Leaf</b>:  almost velvety hairy on both surfaces with pale brownish <em>hairs</em>,,POWO pages(/taxon/urn:lsid:ipni.org:names:931709-1):
491,931709-1,Rytigynia pseudolongicaudata,Rytigynia pseudolongicaudata,931709-1,Species, <b>Leaf</b>:  almost velvety <em>hairy</em> on both surfaces with pale brownish hairs,,POWO pages(/taxon/urn:lsid:ipni.org:names:931709-1):
492,931709-1,Rytigynia pseudolongicaudata,Rytigynia pseudolongicaudata,931709-1,Species," <b>Appearance</b>:  ferruginous <em>hairy</em> when young, later glabrous, the older parts grey",,POWO pages(/taxon/urn:lsid:ipni.org:names:931709-1):
493,931709-1,Rytigynia pseudolongicaudata,Rytigynia pseudolongicaudata,931709-1,Species," <b>Inflorescence</b>: Inflorescences 1-flowered; pedicels 3–5 mm. long, <em>pubescent</em>.",,POWO pages(/taxon/urn:lsid:ipni.org:names:931709-1):
494,766800-1,Spermacoce latifolia,Spermacoce latifolia,766800-1,Species," <b>Leaf</b>: , pubescent or ± scabrid above with tubercle-based <em>hairs</em>, pubescent",,POWO pages(/taxon/urn:lsid:ipni.org:names:766800-1):
495,766800-1,Spermacoce latifolia,Spermacoce latifolia,766800-1,Species," <b>Appearance</b>: , glabrous or with sparse to fairly dense short <em>hairs</em> on the angles",,POWO pages(/taxon/urn:lsid:ipni.org:names:766800-1):
496,766800-1,Spermacoce latifolia,Spermacoce latifolia,766800-1,Species, <b>Appearance</b>:  or stems <em>hairy</em> all over.,,POWO pages(/taxon/urn:lsid:ipni.org:names:766800-1):
497,766800-1,Spermacoce latifolia,Spermacoce latifolia,766800-1,Species," <b>Leaf</b>: , <em>pubescent</em> or ± scabrid above with tubercle-based hairs, <em>pubescent</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:766800-1):
498,35218-1,Psydrax,nan,nan,Genus," <b>Leaf</b>: , never with silky white <em>hairs</em> inside",,POWO pages(/taxon/urn:lsid:ipni.org:names:35218-1):
499,35218-1,Psydrax,nan,nan,Genus," <b>Leaf</b>:  chartaceous, glabrous or sometimes <em>pubescent</em>; domatia glabrous",,POWO pages(/taxon/urn:lsid:ipni.org:names:35218-1):
500,20009941-1,Coptosperma littorale,Coptosperma littorale,20009941-1,Species, <b>Leaf</b>:  as conspicuous depressions lined with <em>hairs</em> often prominent on upper,,POWO pages(/taxon/urn:lsid:ipni.org:names:20009941-1):
501,77147280-1,Edrastima angolensis,Edrastima angolensis,77147280-1,Species," <b>Leaf</b>: , usually with a few <em>hairs</em>, rarely densely hairy, produced into a 2",,POWO pages(/taxon/urn:lsid:ipni.org:names:77147280-1):
502,77147280-1,Edrastima angolensis,Edrastima angolensis,77147280-1,Species, <b>Leaf</b>:  but margins very slightly scabridulous or rarely <em>hairy</em> all over,,POWO pages(/taxon/urn:lsid:ipni.org:names:77147280-1):
503,77147280-1,Edrastima angolensis,Edrastima angolensis,77147280-1,Species," <b>Appearance</b>: , slender, glabrous (save at the nodes) or rarely <em>hairy</em>.",,POWO pages(/taxon/urn:lsid:ipni.org:names:77147280-1):
504,748979-1,Fadogia homblei,Fadogia homblei,748979-1,Species," <b>Leaf</b>:  to a very dense covering of minute papilla-like <em>hairs</em>, pale green",,POWO pages(/taxon/urn:lsid:ipni.org:names:748979-1):
505,748979-1,Fadogia homblei,Fadogia homblei,748979-1,Species," <b>Appearance</b>: , glabrous or rarely very sparsely <em>pubescent</em>.",,POWO pages(/taxon/urn:lsid:ipni.org:names:748979-1):
506,755253-1,Leptactina benguelensis,Leptactina benguelensis,755253-1,Species," <b>Leaf</b>: , ± shiny above, glabrous except for a few <em>hairs</em> on the venation",,POWO pages(/taxon/urn:lsid:ipni.org:names:755253-1):
507,755253-1,Leptactina benguelensis,Leptactina benguelensis,755253-1,Species, <b>Appearance</b>: Stems glabrous or with small scattered <em>hairs</em>,,POWO pages(/taxon/urn:lsid:ipni.org:names:755253-1):
508,755253-1,Leptactina benguelensis,Leptactina benguelensis,755253-1,Species," <b>Leaf</b>:  beneath, or puberulous to <em>pubescent</em> on both surfaces; free part",,POWO pages(/taxon/urn:lsid:ipni.org:names:755253-1):
509,755253-1,Leptactina benguelensis,Leptactina benguelensis,755253-1,Species," <b>Appearance</b>:  on the youngest parts or densely <em>pubescent</em>, the bark peeling on the older",,POWO pages(/taxon/urn:lsid:ipni.org:names:755253-1):
510,759461-1,Pauridiantha paucinervis,Pauridiantha paucinervis,759461-1,Species," <b>Leaf</b>:  at the apex, cuneate at the base, glabrous above save for short <em>hairs</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:759461-1):
511,759461-1,Pauridiantha paucinervis,Pauridiantha paucinervis,759461-1,Species," <b>Inflorescence</b>: , pubescent or <em>hairy</em>; tube 0.6–1.1 mm. long; limb tube 0.3–0.9 mm",,POWO pages(/taxon/urn:lsid:ipni.org:names:759461-1):
512,759461-1,Pauridiantha paucinervis,Pauridiantha paucinervis,759461-1,Species," <b>Appearance</b>:  to distinctly <em>hairy</em> twigs, older stems glabrescent.",,POWO pages(/taxon/urn:lsid:ipni.org:names:759461-1):
513,759461-1,Pauridiantha paucinervis,Pauridiantha paucinervis,759461-1,Species," <b>Leaf</b>:  short, 2.5–10 mm. long, usually <em>pubescent</em>; stipules lanceolate",,POWO pages(/taxon/urn:lsid:ipni.org:names:759461-1):
514,759461-1,Pauridiantha paucinervis,Pauridiantha paucinervis,759461-1,Species," <b>Inflorescence</b>: , 1.5–2.5 mm. long; all parts <em>pubescent</em>.",,POWO pages(/taxon/urn:lsid:ipni.org:names:759461-1):
515,759461-1,Pauridiantha paucinervis,Pauridiantha paucinervis,759461-1,Species," <b>Appearance</b>:  scandent, 1.5–9(–12) m. tall, with finely adpressed <em>pubescent</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:759461-1):
516,759797-1,Pavetta lasiobractea,Pavetta lasiobractea,759797-1,Species," <b>Leaf</b>:  outside, densely covered with silky <em>hairs</em> inside.",,POWO pages(/taxon/urn:lsid:ipni.org:names:759797-1):
517,759797-1,Pavetta lasiobractea,Pavetta lasiobractea,759797-1,Species," <b>Inflorescence</b>: , with dense silky <em>hairs</em> inside; bracteoles conspicuous.",,POWO pages(/taxon/urn:lsid:ipni.org:names:759797-1):
518,759797-1,Pavetta lasiobractea,Pavetta lasiobractea,759797-1,Species," <b>Inflorescence</b>: ; bracts brown, papery, 5–9 mm long, sparsely <em>hairy</em> outside",,POWO pages(/taxon/urn:lsid:ipni.org:names:759797-1):
519,763900-1,Pyrostria bibracteata,Pyrostria bibracteata,763900-1,Species, <b>Leaf</b>: ; domatia sometimes present as tufts of <em>hair</em>; petiole 2–7 mm. long,,POWO pages(/taxon/urn:lsid:ipni.org:names:763900-1):
520,765842-1,Sabicea dinklagei,Sabicea dinklagei,765842-1,Species," <b>Leaf</b>:  adpressed subscabrid <em>hairs</em> above, adpressed hairy on the main",,POWO pages(/taxon/urn:lsid:ipni.org:names:765842-1):
521,765842-1,Sabicea dinklagei,Sabicea dinklagei,765842-1,Species," <b>Appearance</b>:  <em>hairs</em>, often purplish in life, and short denser adpressed",,POWO pages(/taxon/urn:lsid:ipni.org:names:765842-1):
522,765842-1,Sabicea dinklagei,Sabicea dinklagei,765842-1,Species," <b>Leaf</b>:  adpressed subscabrid hairs above, adpressed <em>hairy</em> on the main",,POWO pages(/taxon/urn:lsid:ipni.org:names:765842-1):
523,766665-1,Spermacoce congensis,Spermacoce congensis,766665-1,Species," <b>Leaf</b>:  with short stiff <em>hairs</em>; stipule sheath united with petioles, 5–6 mm",,POWO pages(/taxon/urn:lsid:ipni.org:names:766665-1):
524,766665-1,Spermacoce congensis,Spermacoce congensis,766665-1,Species," <b>Leaf</b>: . long, ridged, <em>hairy</em> or shortly pubescent with 5–6 ciliolate",,POWO pages(/taxon/urn:lsid:ipni.org:names:766665-1):
525,766665-1,Spermacoce congensis,Spermacoce congensis,766665-1,Species," <b>Leaf</b>: . long, ridged, hairy or shortly <em>pubescent</em> with 5–6 ciliolate",,POWO pages(/taxon/urn:lsid:ipni.org:names:766665-1):
526,766665-1,Spermacoce congensis,Spermacoce congensis,766665-1,Species," <b>Appearance</b>:  or sparingly branched, 4-angled, bifariously shortly <em>pubescent</em>",,POWO pages(/taxon/urn:lsid:ipni.org:names:766665-1):
527,766687-1,Spermacoce dibrachiata,Spermacoce dibrachiata,766687-1,Species," <b>Leaf</b>: -sheath, with long <em>hairs</em> on both surfaces or only on the midrib",,POWO pages(/taxon/urn:lsid:ipni.org:names:766687-1):
528,766687-1,Spermacoce dibrachiata,Spermacoce dibrachiata,766687-1,Species, <b>Appearance</b>:  spreading often asperous <em>hairs</em> and shorter <em>hairs</em> within,,POWO pages(/taxon/urn:lsid:ipni.org:names:766687-1):
529,766687-1,Spermacoce dibrachiata,Spermacoce dibrachiata,766687-1,Species," <b>Leaf</b>:  or glabrous except for the ± scabrid margins; stipules <em>hairy</em>, base 7–9",,POWO pages(/taxon/urn:lsid:ipni.org:names:766687-1):
530,77067595-1,Vangueria discolor,Vangueria discolor,77067595-1,Species, <b>Leaf</b>:  on both surfaces with pale ferruginous <em>hairs</em> but said,,POWO pages(/taxon/urn:lsid:ipni.org:names:77067595-1):
531,77067595-1,Vangueria discolor,Vangueria discolor,77067595-1,Species," <b>Appearance</b>:  velvety, becoming <em>pubescent</em> or even glabrescent and purplish brown",,POWO pages(/taxon/urn:lsid:ipni.org:names:77067595-1):
