,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,MPNS_Snippet,USDA_Snippet,POWO_Snippet,Wiki_Snippet,PPA_Snippet,SPP_Snippet,WEP_snippet,Sources
19653,30187778-2,Canavalia rosea,Canavalia rosea,30187778-2,Species,,,,,,,"bay-bean:beach-bean:bay-bean:beach-bean:coastal jack-bean:fire-bean:Mackenzie-bean:seaside jack-bean:canavalia, coastal canavalia:coastal canavalia:coastal jack-bean:fire-bean:coastal jack-bean:seaside jack-bean:Mackenzie-bean:seaside jack-bean:ナガミハマナタマメ (nagami-hama-nata-mame)",:WEP (Wiersema 2013)
19654,134233-3,Callitris rhomboidea,Callitris rhomboidea,134233-3,Species,,,,,,,"Bay cypress-pine, Oyster Bay cypress-pine:Oyster Bay-pine:dune cypress-pine:Oyster Bay cypress-pine:Port Jackson cypress-pine:Illawarra mountain-pine:Jackson cypress-pine, Port Jackson cypress-pine:Jackson-pine, Port Jackson-pine:Illawarra mountain-pine:Oyster Bay cypress-pine:Oyster Bay-pine:dune cypress-pine:Illawarra mountain-pine:Oyster Bay cypress-pine:Oyster Bay-pine:Port Jackson cypress-pine:Port Jackson-pine:Port Jackson cypress-pine:Port Jackson-pine",:WEP (Wiersema 2013)
19655,134233-3,Callitris rhomboidea,Callitris rhomboidea,134233-3,Species,,,,,,,dune cypress-pine,:WEP (Wiersema 2013)
19656,77189504-1,Larix gmelinii var. olgensis,Larix gmelinii,77092562-1,Variety,,,,,,,"Bay larch, Olga Bay larch:korea lærk:korea lærk:Olga Bay larch:Olga Bay larch:ussurilärk",:WEP (Wiersema 2013)
19657,495775-1,Gastrolobium oxylobioides,Gastrolobium oxylobioides,495775-1,Species,,,,,,,"Bay poison, Champion Bay poison:Bay poisonbush, Champion Bay poisonbush:Champion Bay poison:Champion Bay poisonbush:Champion Bay poison:Champion Bay poisonbush",:WEP (Wiersema 2013)
19658,229251-2,Schisandra glabra,Schisandra glabra,229251-2,Species,,,,,,,bay-starvine,:WEP (Wiersema 2013)
19659,229251-2,Schisandra glabra,Schisandra glabra,229251-2,Species,,,,,,,"starvine, bay-starvine",:WEP (Wiersema 2013)
19660,772233-1,Correa alba,Correa alba,772233-1,Species,,,,,,,"Bay teatree, Botany Bay teatree:Botany Bay teatree:weiße Correa:white correa:hvid korrea:korrea, hvid korrea:Botany Bay teatree:weiße Correa:white correa",:WEP (Wiersema 2013)
19661,783341-1,Harpullia pendula,Harpullia pendula,783341-1,Species,,,,,,,"Bay tulipwood, Moreton Bay tulipwood:black-tulip:black tulipwood:tulip lancewood:Moreton Bay tulipwood:Queensland tulipwood:black-tulip:tulip lancewood:black tulipwood:Moreton Bay tulipwood:Queensland tulipwood",:WEP (Wiersema 2013)
19662,783341-1,Harpullia pendula,Harpullia pendula,783341-1,Species,,,,,,,mogun-mogun,:WEP (Wiersema 2013)
19663,312506-2,Salix pentandra,Salix pentandra,312506-2,Species,,,,,,,bay willow:femhannet pil:jolster:laurel willow:femhannet pil:bay willow:laurel willow,:WEP (Wiersema 2013)
19664,312506-2,Salix pentandra,Salix pentandra,312506-2,Species,,,,,,,Lorbeerweide,:WEP (Wiersema 2013)
19665,266976-2,Viola sororia,Viola sororia,266976-2,Species,,,,,,,"bayou violet:blue praire violet:common blue violet:downy blue violet:woolly blue violet:common blue violet:dooryard violet:downy blue violet:fjärilsviol:pinseviol:praire violet, blue praire violet:sister violet:bayou violet:blue praire violet:common blue violet:dooryard violet:downy blue violet:sister violet:violet:woolly blue violet:violette septentrionale:woolly blue violet:アメリカスミレサイシン (amerika-sumire-saishin):アメリカフキスミレ (amerika-fuki-sumire)",:WEP (Wiersema 2013)
19666,1013670-1,Colubrina asiatica,Colubrina asiatica,1013670-1,Species,,,,,,,"beach berrybush:berrybush, beach berrybush:Indian snakewood:Indian snakewood",:WEP (Wiersema 2013)
19667,1013670-1,Colubrina asiatica,Colubrina asiatica,1013670-1,Species,,,,,,,wild coffee:wild coffee,:WEP (Wiersema 2013)
19668,204178-2,Poa confinis,Poa confinis,204178-2,Species,,,,,,,beach bluegrass:beach bluegrass,:WEP (Wiersema 2013)
19669,384339-1,Scaevola taccada,Scaevola taccada,384339-1,Species,,,,,,,"beach-cabbage:beach naupaka:beach scaevola:beach-cabbage:Cardwell cabbage:Cardwell cabbage:half-flower:half-flower:lettucetree, sea lettucetree:pipetree:scaevola, beach scaevola:sea lettucetree",:WEP (Wiersema 2013)
19670,384339-1,Scaevola taccada,Scaevola taccada,384339-1,Species,,,,,,,"naupaka, beach naupaka",:WEP (Wiersema 2013)
19671,114575-1,Cordia subcordata,Cordia subcordata,114575-1,Species,,,,,,,"beach cordial:cordial, beach cordial:faux-ébène:island-walnut:kou:marer:noyer d'Océanie:sea trumpet:sea trumpet:island-walnut",:WEP (Wiersema 2013)
19672,114575-1,Cordia subcordata,Cordia subcordata,114575-1,Species,,,,,,,mareer,:WEP (Wiersema 2013)
19673,423010-1,Sporobolus virginicus,Sporobolus virginicus,423010-1,Species,,,,,,,beach dropseed:marine couch:beach dropseed:seashore dropseed:jatopa:marine couch:seashore dropseed,:WEP (Wiersema 2013)
19674,423010-1,Sporobolus virginicus,Sporobolus virginicus,423010-1,Species,,,,,,,sand couch:sand couch,:WEP (Wiersema 2013)
19675,85637-2,Dudleya stolonifera,Dudleya stolonifera,85637-2,Species,,,,,,,"Beach dudleya, Laguna Beach dudleya:Beach liveforever, Laguna Beach liveforever:Laguna Beach dudleya:Laguna Beach dudleya:Laguna Beach liveforever:Laguna Beach liveforever",:WEP (Wiersema 2013)
19676,294786-2,Oenothera drummondii,Oenothera drummondii,294786-2,Species,,,,,,,beach evening-primrose,:WEP (Wiersema 2013)
19677,294786-2,Oenothera drummondii,Oenothera drummondii,294786-2,Species,,,,,,,coast evening-primrose:beach evening-primrose:coast evening-primrose:sommer natlys:beach evening-primrose:coast evening-primrose:sommarnattljus:sommer natlys,:WEP (Wiersema 2013)
19678,181506-2,Panicum amarum,Panicum amarum,181506-2,Species,,,,,,,bitter beach grass:bitter beach grass:bitter panic grass:coastal panic grass:bitter beach grass:bitter panic grass:coastal panic grass:bitter panic grass:coastal panic grass,:WEP (Wiersema 2013)
19679,424252-1,Thuarea involuta,Thuarea involuta,424252-1,Species,,,,,,,tropical beach grass:tropical beach grass:tropical beach grass,:WEP (Wiersema 2013)
19680,30143354-2,Hibiscus tiliaceus,Hibiscus tiliaceus,30143354-2,Species,,,,,,,"beach hibiscus:Hawaiian tree hibiscus:beach hibiscus:Hawaiian tree hibiscus:linden hibiscus:sea hibiscus:linden hibiscus:Linden-Roseneibisch:mahaut:mountain mahoe:Linden-Roseneibisch:strandhibiskus:tree hibiscus, Hawaiian tree hibiscus:黄槿 (huang jin)",:WEP (Wiersema 2013)
19681,30143354-2,Hibiscus tiliaceus,Hibiscus tiliaceus,30143354-2,Species,,,,,,,cottontree,:WEP (Wiersema 2013)
19682,30143354-2,Hibiscus tiliaceus,Hibiscus tiliaceus,30143354-2,Species,,,,,,,mountain mahoe,:WEP (Wiersema 2013)
19683,30143354-2,Hibiscus tiliaceus,Hibiscus tiliaceus,30143354-2,Species,,,,,,,sea hibiscus,:WEP (Wiersema 2013)
19684,269213-1,Ipomoea littoralis,Ipomoea littoralis,269213-1,Species,,,,,,,"white-flower beach morning-glory:flower beach morning-glory, white-flower beach morning-glory:white-flower beach morning-glory:white-flower beach morning-glory:white-flower beach morning-glory:ソコベニヒルガオ (sokobeni-hirugao)",:WEP (Wiersema 2013)
19685,30034170-2,Prunus maritima,Prunus maritima,30034170-2,Species,,,,,,,beach plum:beach plum:shore plum:shore plum:Strandpflaume,:WEP (Wiersema 2013)
19686,724988-1,Fragaria chiloensis,Fragaria chiloensis,724988-1,Species,,,,,,,beach strawberry:Chilean strawberry:Chileerdbeere:chilejordbær:chilère:Chiloe strawberry:fraisier du Chili:fresa chilena:frutilla:beach strawberry:Chilean strawberry:Chiloe strawberry,:WEP (Wiersema 2013)
19687,724988-1,Fragaria chiloensis,Fragaria chiloensis,724988-1,Species,,,,,,,moranguiero-do-Chile,:WEP (Wiersema 2013)
19688,77179954-1,Helianthus debilis subsp. debilis,Helianthus debilis,119090-2,Subspecies,,,,,,,beach sunflower:beach sunflower,:WEP (Wiersema 2013)
19689,782610-1,Cupaniopsis anacardioides,Cupaniopsis anacardioides,782610-1,Species,,,,,,,"beach-tamarind:carrotwood:cashew-leaf cupania:cupania, cashew-leaf cupania:green-leaf-tamarind:leaf cupania, cashew-leaf cupania:leaf-tamarind, green-leaf-tamarind:beach-tamarind:green-leaf-tamarind:tuckeroo",:WEP (Wiersema 2013)
19690,823569-1,Heritiera littoralis,Heritiera littoralis,823569-1,Species,,,,,,,"beach tulip-oak:dungon:dungun:glass mangrove, looking-glass mangrove:glass-tree, looking-glass-tree:looking-glass mangrove:looking-glass-tree:looking-glass mangrove:tulip mangrove:beach tulip-oak:looking-glass-tree:tulip mangrove:tulip-oak, beach tulip-oak:银叶树 (yin ye shu)",:WEP (Wiersema 2013)
19691,865973-1,Vitex rotundifolia,Vitex rotundifolia,865973-1,Species,,,,,,,beach vitex:round-leaf chastetree:round-leaf chastetree:round-leaf chastetree:beach vitex:单叶蔓荆 (dan ye man jing),:WEP (Wiersema 2013)
19692,833771-1,Elaeocarpus angustifolius,Elaeocarpus angustifolius,833771-1,Species,,,,,,,"bead, wooden beggar-bead",:WEP (Wiersema 2013)
19693,833771-1,Elaeocarpus angustifolius,Elaeocarpus angustifolius,833771-1,Species,,,,,,,"beggar-bead, wooden beggar-bead:blue marbletree:blue quandong:Brisbane quandong:brush quandong:blue-fig:Guinea-quandong, New Guinea-quandong:Indian oilfruit:marbletree, blue marbletree:New Guinea-quandong:oilfruit, Indian oilfruit:blue quandong:Brisbane quandong:brush quandong:New Guinea-quandong:wooden beggar-bead",:WEP (Wiersema 2013)
19694,833771-1,Elaeocarpus angustifolius,Elaeocarpus angustifolius,833771-1,Species,,,,,,,blue-fig,:WEP (Wiersema 2013)
19695,833771-1,Elaeocarpus angustifolius,Elaeocarpus angustifolius,833771-1,Species,,,,,,,rudraksh,:WEP (Wiersema 2013)
19696,486457-1,Clianthus puniceus,Clianthus puniceus,486457-1,Species,,,,,,,parrot's-beak:parrotbill:parrot's-beak:pragtnæb,:WEP (Wiersema 2013)
19697,486457-1,Clianthus puniceus,Clianthus puniceus,486457-1,Species,,,,,,,glory-pea:glory-pea,:WEP (Wiersema 2013)
19698,406281-1,Ischaemum rugosum,Ischaemum rugosum,406281-1,Species,,,,,,,"wrinkled duck-beak:capim-macho:capim-pelego:duck-beak, wrinkled duck-beak:murain grass:muraino grass:ribbed muraina grass:saramatta grass:wrinkled grass:mata-colono:murain grass:muraina grass, ribbed muraina grass:muraino grass:ribbed muraina grass:saramatta grass:wrinkled duck-beak:wrinkled grass",:WEP (Wiersema 2013)
19699,372185-1,Erodium botrys,Erodium botrys,372185-1,Species,,,,,,,"beak crowfoot, long-beak crowfoot:Mediterranean stork's-bill:broadleaf filaree:long-beak crowfoot:broadleaf filaree:long-beak crowfoot:Mediterranean stork's-bill:Mediterranean stork's-bill",:WEP (Wiersema 2013)
19700,372185-1,Erodium botrys,Erodium botrys,372185-1,Species,,,,,,,wild geranium:wild geranium,:WEP (Wiersema 2013)
19701,488407-1,Crotalaria longirostrata,Crotalaria longirostrata,488407-1,Species,,,,,,,"beak rattlepod, long-beak rattlepod:castanet-plant:chipilín:chipilín de comer:long-beak rattlepod:castanet-plant:long-beak rattlepod",:WEP (Wiersema 2013)
19702,220271-2,Rhynchospora corymbosa,Rhynchospora corymbosa,220271-2,Species,,,,,,,"beak sedge, golden beak sedge",:WEP (Wiersema 2013)
19703,220271-2,Rhynchospora corymbosa,Rhynchospora corymbosa,220271-2,Species,,,,,,,golden beak sedge:golden beak sedge,:WEP (Wiersema 2013)
19704,225654-2,Salix bebbiana,Salix bebbiana,225654-2,Species,,,,,,,beak willow:long-beak willow:Bebb's willow:beak willow:Bebb's willow:long-beak willow,:WEP (Wiersema 2013)
19705,225654-2,Salix bebbiana,Salix bebbiana,225654-2,Species,,,,,,,gray willow:gray willow,:WEP (Wiersema 2013)
19706,225654-2,Salix bebbiana,Salix bebbiana,225654-2,Species,,,,,,,long-beak willow,:WEP (Wiersema 2013)
19707,77110919-1,Crepis vesicaria subsp. taraxacifolia,Crepis vesicaria,200365-1,Subspecies,,,,,,,beaked hawk's-beard:beaked hawk's-beard:dandelion hawk's-beard:weedy hawk's-beard:blåsfibbla:dandelion hawk's-beard:beaked hawk's-beard:dandelion hawk's-beard:Löwenzahn-Pippau:Löwenzahn-Pippau,:WEP (Wiersema 2013)
19708,77110919-1,Crepis vesicaria subsp. taraxacifolia,Crepis vesicaria,200365-1,Subspecies,,,,,,,weedy hawk's-beard,:WEP (Wiersema 2013)
19709,77110919-1,Crepis vesicaria subsp. taraxacifolia,Crepis vesicaria,200365-1,Subspecies,,,,,,,toårig høgeskæg,:WEP (Wiersema 2013)
19711,438572-1,Iris ensata,Iris ensata,438572-1,Species,,,,,,,"beaked iris:cicada-flower, jade cicada-flower:jade cicada-flower:beaked iris:japansk iris:sword-leaf iris:iris du Japon:jade cicada-flower:Japanese water iris:japanische Sumpf-Schwertlilie:japansk iris:leaf iris, sword-leaf iris:japanische Sumpf-Schwertlilie:japanische Sumpf-Schwertlilie:Japanese water iris:玉蝉花 (yu chan hua):ハナショウブ (hana-shōbu)",:WEP (Wiersema 2013)
19712,438572-1,Iris ensata,Iris ensata,438572-1,Species,,,,,,,Japanese iris:Japanese iris,:WEP (Wiersema 2013)
19713,438572-1,Iris ensata,Iris ensata,438572-1,Species,,,,,,,Japanese water iris,:WEP (Wiersema 2013)
19714,438572-1,Iris ensata,Iris ensata,438572-1,Species,,,,,,,sword-leaf iris,:WEP (Wiersema 2013)
19715,478890-1,Astragalus nothoxys,Astragalus nothoxys,478890-1,Species,,,,,,,beaked milk-vetch:beaked milk-vetch:beaked milk-vetch,:WEP (Wiersema 2013)
19716,60457447-2,Coleataenia anceps,Coleataenia anceps,60457447-2,Species,,,,,,,beaked panic grass:beaked panicum:beaked panic grass:beaked panic grass:beaked panicum,:WEP (Wiersema 2013)
19717,820804-1,Solanum rostratum,Solanum rostratum,820804-1,Species,,,,,,,beaked-sandbur:bøffelburre:horned nightshade:Kansas thistle:Stachel-Nachtschatten:horned nightshade:pincushion nightshade:prickly nightshade:spiny nightshade:pincushion nightshade:prickly nightshade:beaked-sandbur:spiny nightshade:Stachel-Nachtschatten:Kansas thistle,:WEP (Wiersema 2013)
19718,820804-1,Solanum rostratum,Solanum rostratum,820804-1,Species,,,,,,,taggborre,:WEP (Wiersema 2013)
19719,106450-1,Berberis bealei,Berberis bealei,106450-1,Species,,,,,,,Beales Mahonie:kinesisk mahonia:læder mahonie:leatherleaf mahonia:kinesisk mahonia:leatherleaf mahonia:mahonia de Beal:Beales Mahonie:læder mahonie:阔叶十大功劳 (kuo ye shi da gong lao),:WEP (Wiersema 2013)
19720,60471746-2,Cochliasanthus caracalla,Cochliasanthus caracalla,60471746-2,Species,,,,,,,bertoni-bean:caracol:caracolillo:haricot caracolle:judía caracol:snäckböna:snailflower:sneglebønne,:WEP (Wiersema 2013)
19721,60471746-2,Cochliasanthus caracalla,Cochliasanthus caracalla,60471746-2,Species,,,,,,,bertoni-bean,:WEP (Wiersema 2013)
19722,60471746-2,Cochliasanthus caracalla,Cochliasanthus caracalla,60471746-2,Species,,,,,,,Schneckenbohne,:WEP (Wiersema 2013)
19723,77172986-1,Lablab purpureus subsp. purpureus,Lablab purpureus,501411-1,Subspecies,,,,,,,bonavist-bean:Lablab-Bohne:bonavist-bean:dolique:dolique d'Egypte:Faselbohne:Helmbohne,:WEP (Wiersema 2013)
19724,77172986-1,Lablab purpureus subsp. purpureus,Lablab purpureus,501411-1,Subspecies,,,,,,,Lablab-Bohne,:WEP (Wiersema 2013)
19725,77172986-1,Lablab purpureus subsp. purpureus,Lablab purpureus,501411-1,Subspecies,,,,,,,까치콩 (kkachikong),:WEP (Wiersema 2013)
19726,96601-2,Erythrina herbacea,Erythrina herbacea,96601-2,Species,,,,,,,"Cherokee-bean:cardinal, red-cardinal:Cherokee-bean:red-cardinal",:WEP (Wiersema 2013)
19727,96601-2,Erythrina herbacea,Erythrina herbacea,96601-2,Species,,,,,,,cardinal-spear:cardinal-spear,:WEP (Wiersema 2013)
19728,525554-1,Vigna umbellata,Vigna umbellata,525554-1,Species,,,,,,,"climbing mountain-bean:mambi-bean:Oriental-bean:rice-bean:climbing mountain-bean:feijão-arroz:frijol de arroz:frijol mambé:frijol rojo:haricot riz:mambi-bean:mountain-bean, climbing mountain-bean:Oriental-bean:Reisbohne:rice-bean:덩굴팥 (deonggulpat)",:WEP (Wiersema 2013)
19729,284993-2,Sesbania herbacea,Sesbania herbacea,284993-2,Species,,,,,,,"coffee-bean:coffee-bean:Colorado River-hemp:Colorado River-hemp:hemp sesbania:River-hemp, Colorado River-hemp:hemp sesbania:sesbania",:WEP (Wiersema 2013)
19730,525357-1,Vigna glabrescens,Vigna glabrescens,525357-1,Species,,,,,,,Creole-bean:Creole-bean,:WEP (Wiersema 2013)
19731,520179-1,Taralea oppositifolia,Taralea oppositifolia,520179-1,Species,,,,,,,English tonka-bean:English tonka:English tonka-bean:English tonka:English tonka-bean,:WEP (Wiersema 2013)
19732,520179-1,Taralea oppositifolia,Taralea oppositifolia,520179-1,Species,,,,,,,tonka,:WEP (Wiersema 2013)
19733,44366-2,Canavalia plagiosperma,Canavalia plagiosperma,44366-2,Species,,,,,,,giant-bean:oblique-seed jack-bean:giant-bean:oblique-seed jack-bean:oblique-seed jack-bean:poroto gigante:Riesenbohne,:WEP (Wiersema 2013)
19734,44366-2,Canavalia plagiosperma,Canavalia plagiosperma,44366-2,Species,,,,,,,"seed jack-bean, oblique-seed jack-bean",:WEP (Wiersema 2013)
19735,114706-2,Guilandina bonduc,Guilandina bonduc,114706-2,Species,,,,,,,grey nicker-bean:gray nicker:grey nicker:grey nicker-bean:gray nicker:grey nicker-bean:nickernut,:WEP (Wiersema 2013)
19736,114706-2,Guilandina bonduc,Guilandina bonduc,114706-2,Species,,,,,,,bonduc,:WEP (Wiersema 2013)
19737,114706-2,Guilandina bonduc,Guilandina bonduc,114706-2,Species,,,,,,,divi-divi,:WEP (Wiersema 2013)
19738,114706-2,Guilandina bonduc,Guilandina bonduc,114706-2,Species,,,,,,,grey nicker,:WEP (Wiersema 2013)
19739,114706-2,Guilandina bonduc,Guilandina bonduc,114706-2,Species,,,,,,,wait-a-while:wait-a-while,:WEP (Wiersema 2013)
19740,547242-1,Strychnos ignatii,Strychnos ignatii,547242-1,Species,,,,,,,"Ignatius-bean:fêves de Saint-Ignace:Ignatius-bean:Ignatius-beans, Saint Ignatius-beans:ignatiusböna:ignatiustræ:pepita de San Ignacio:Saint Ignatius-beans:吕宋果 (lu song guo)",:WEP (Wiersema 2013)
19741,547242-1,Strychnos ignatii,Strychnos ignatii,547242-1,Species,,,,,,,Saint Ignatius-beans,:WEP (Wiersema 2013)
19742,525549-1,Vigna trilobata,Vigna trilobata,525549-1,Species,,,,,,,"jungli-bean:three-lobe-leaf cowpea:jungli-bean:leaf cowpea, three-lobe-leaf cowpea:lobe-leaf cowpea, three-lobe-leaf cowpea:mungan:pillipesara:three-lobe-leaf cowpea",:WEP (Wiersema 2013)
19743,164240-3,Cassia brewsteri,Cassia brewsteri,164240-3,Species,,,,,,,Leichardt-bean:Brewster's cassia:cigar cassia:cigar cassia:Leichardt-bean,:WEP (Wiersema 2013)
19744,164240-3,Cassia brewsteri,Cassia brewsteri,164240-3,Species,,,,,,,beantree,:WEP (Wiersema 2013)
19745,164240-3,Cassia brewsteri,Cassia brewsteri,164240-3,Species,,,,,,,Brewster's cassia,:WEP (Wiersema 2013)
19746,1078643-2,Entada gigas,Entada gigas,1078643-2,Species,,,,,,,Mackay-bean:nicker-bean:Mackay-bean:nicker-bean,:WEP (Wiersema 2013)
19747,1078643-2,Entada gigas,Entada gigas,1078643-2,Species,,,,,,,sea-bean:sea-bean,:WEP (Wiersema 2013)
19748,493866-1,Entada phaseoloides,Entada phaseoloides,493866-1,Species,,,,,,,"matchbox-bean:St. Thomas-bean:elva-climber:elva-climber:gogovine:St. Thomas-bean:Thomas-bean, St. Thomas-bean",:WEP (Wiersema 2013)
19749,493866-1,Entada phaseoloides,Entada phaseoloides,493866-1,Species,,,,,,,matchbox-bean,:WEP (Wiersema 2013)
19750,513933-1,Phaseolus maculatus,Phaseolus maculatus,513933-1,Species,,,,,,,Metcalfe bean:prairie bean:Metcalfe bean:prairie bean,:WEP (Wiersema 2013)
19751,77208479-1,Vigna radiata var. radiata,Vigna radiata,525492-1,Variety,,,,,,,mung-bean:fagiolo mungo:fasola zlota:golden gram:golden gram:green gram:green gram:haricot doré:judía mung:mung-bean:Mungbohne:mungböna:绿豆 (lü dou):(sheu'it tzehuba) ְׁשעּוִעיתַזהוב:リョクトウ (ryokutō):녹두 (nogdu):녹두 (nogdu):фасоль золотистая  (fasol' zolotistaâ):вигна лучистая  (vigna lučistaâ),:WEP (Wiersema 2013)
19752,77208479-1,Vigna radiata var. radiata,Vigna radiata,525492-1,Variety,,,,,,,ヤエナリ (yaenari),:WEP (Wiersema 2013)
19753,524974-1,Vicia narbonensis,Vicia narbonensis,524974-1,Species,,,,,,,narbon-bean:ervilha-de-Narbona:französische Wicke:French vetch:haba loca:klotvicker:Mauswicke:narbon-bean:Narbonne vetch:vesce de Narbonne:French vetch:Narbonne vetch:französische Wicke:горошек нарбонский  (gorošek narbonskij),:WEP (Wiersema 2013)
19754,524974-1,Vicia narbonensis,Vicia narbonensis,524974-1,Species,,,,,,,narbonnevikke,:WEP (Wiersema 2013)
19755,524974-1,Vicia narbonensis,Vicia narbonensis,524974-1,Species,,,,,,,(bikyah tzarefatit) ִּבְקיָּהַצָ,:WEP (Wiersema 2013)
19756,149066-2,Macroptilium lathyroides,Macroptilium lathyroides,149066-2,Species,,,,,,,phasemy-bean:phasey-bean:frijolito de los arrozales:phasemy-bean:Phasemybohne:phasey-bean:pico de aura:大翼豆 (da yi dou):ナンバンアカバナアズキ (nanban-akabana-azuki),:WEP (Wiersema 2013)
19757,235082-2,Sesbania drummondii,Sesbania drummondii,235082-2,Species,,,,,,,poison-bean,:WEP (Wiersema 2013)
19759,977532-1,Dysoxylum mollissimum subsp. molle,Dysoxylum mollissimum,578234-1,Subspecies,,,,,,,red-bean:red-bean,:WEP (Wiersema 2013)
19760,977532-1,Dysoxylum mollissimum subsp. molle,Dysoxylum mollissimum,578234-1,Subspecies,,,,,,,pencil-cedar:pencil-cedar,:WEP (Wiersema 2013)
19761,977532-1,Dysoxylum mollissimum subsp. molle,Dysoxylum mollissimum,578234-1,Subspecies,,,,,,,miva-mahogany:miva-mahogany:onionwood,:WEP (Wiersema 2013)
19762,60472180-2,Vigna hosei,Vigna hosei,60472180-2,Species,,,,,,,Sarawak-bean:Sarawak-bean,:WEP (Wiersema 2013)
19763,483647-1,Canavalia gladiata,Canavalia gladiata,483647-1,Species,,,,,,,scimitar-bean:pois sabre:pois sabre rouge:poroto sable:scimitar-bean:sværdbønne:svärdböna,:WEP (Wiersema 2013)
19764,483647-1,Canavalia gladiata,Canavalia gladiata,483647-1,Species,,,,,,,dolic en sabre,:WEP (Wiersema 2013)
19765,515855-1,Prosopis pubescens,Prosopis pubescens,515855-1,Species,,,,,,,screw-bean,:WEP (Wiersema 2013)
19767,995543-1,Bobgunnia madagascariensis,Bobgunnia madagascariensis,995543-1,Species,,,,,,,snake-bean:ormböna:petit dim:snake-bean,:WEP (Wiersema 2013)
19768,77213950-1,Phaseolus acutifolius var. acutifolius,Phaseolus acutifolius,513665-1,Variety,,,,,,,tepary bean:escomite:feijão-tepari:tepary bean:Teparybohne,:WEP (Wiersema 2013)
19769,192528-2,Phaseolus polystachios,Phaseolus polystachios,192528-2,Species,,,,,,,thicket bean:beanvine:thicket bean,:WEP (Wiersema 2013)
19770,509198-1,Mucuna gigantea,Mucuna gigantea,509198-1,Species,,,,,,,velvet-bean:velvet-bean,:WEP (Wiersema 2013)
19771,96591-2,Erythrina flabelliformis,Erythrina flabelliformis,96591-2,Species,,,,,,,western coral-bean:western coral-bean:western coral-bean,:WEP (Wiersema 2013)
19772,662275-1,Orobanche crenata,Orobanche crenata,662275-1,Species,,,,,,,"bean broomrape:bean broomrape:carnation-scent broomrape:carnation-scent broomrape:prächtige Sommerwurz:praktsnyltrot:scent broomrape, carnation-scent broomrape:prächtige Sommerwurz",:WEP (Wiersema 2013)
19773,662275-1,Orobanche crenata,Orobanche crenata,662275-1,Species,,,,,,,bønnegyvelkvæler,:WEP (Wiersema 2013)
19774,873557-1,Zygophyllum fabago,Zygophyllum fabago,873557-1,Species,,,,,,,"bean-caper, Syrian bean-caper",:WEP (Wiersema 2013)
19775,873557-1,Zygophyllum fabago,Zygophyllum fabago,873557-1,Species,,,,,,,Syrian bean-caper:Syrian bean-caper:tvillingblad,:WEP (Wiersema 2013)
19776,98543-1,Hoya longifolia,Hoya longifolia,98543-1,Species,,,,,,,string-bean-plant,:WEP (Wiersema 2013)
19777,98543-1,Hoya longifolia,Hoya longifolia,98543-1,Species,,,,,,,langbladet voksblomst:langblättrige Porzellanblume:string-bean-plant:langblättrige Porzellanblume:string-bean-plant:langbladet voksblomst,:WEP (Wiersema 2013)
19778,356435-1,Spirostachys africana,Spirostachys africana,356435-1,Species,,,,,,,jumping-bean-tree,:WEP (Wiersema 2013)
19779,356435-1,Spirostachys africana,Spirostachys africana,356435-1,Species,,,,,,,Cape-sandalwood:jumping-bean-tree:muconite:Cape-sandalwood:tamboti:jumping-bean-tree,:WEP (Wiersema 2013)
19780,356262-1,Sebastiania pavoniana,Sebastiania pavoniana,356262-1,Species,,,,,,,"Mexican jumping-beans:bönor, hoppande bönor:hoppande bönor:Mexican jumping-beans:semillas brincadoras",:WEP (Wiersema 2013)
19781,356262-1,Sebastiania pavoniana,Sebastiania pavoniana,356262-1,Species,,,,,,,"jumping-beans, Mexican jumping-beans",:WEP (Wiersema 2013)
19782,494373-1,Erythrina caffra,Erythrina caffra,494373-1,Species,,,,,,,lucky beantree:Cape Kaffirboom:Cape Kaffirboom:Kaffirboom,:WEP (Wiersema 2013)
19783,494373-1,Erythrina caffra,Erythrina caffra,494373-1,Species,,,,,,,coraltree,:WEP (Wiersema 2013)
19784,494373-1,Erythrina caffra,Erythrina caffra,494373-1,Species,,,,,,,lucky beantree,:WEP (Wiersema 2013)
19785,162909-2,Mitrocereus militaris,Mitrocereus militaris,162909-2,Species,,,,,,,"bear cactus, teddy-bear cactus:teddy-bear cactus:military-cap:golden-fleece:military-cap:soldatpelarkaktus",:WEP (Wiersema 2013)
19786,162909-2,Mitrocereus militaris,Mitrocereus militaris,162909-2,Species,,,,,,,"fleece, golden-fleece",:WEP (Wiersema 2013)
19787,162909-2,Mitrocereus militaris,Mitrocereus militaris,162909-2,Species,,,,,,,teddy-bear cactus,:WEP (Wiersema 2013)
19788,538748-1,Nolina microcarpa,Nolina microcarpa,538748-1,Species,,,,,,,bear-grass:bear-grass,:WEP (Wiersema 2013)
19789,538748-1,Nolina microcarpa,Nolina microcarpa,538748-1,Species,,,,,,,björnnolina,:WEP (Wiersema 2013)
19790,538748-1,Nolina microcarpa,Nolina microcarpa,538748-1,Species,,,,,,,sacahuista,:WEP (Wiersema 2013)
19791,170267-2,Nolina interrata,Nolina interrata,170267-2,Species,,,,,,,Dehesa bear-grass,:WEP (Wiersema 2013)
