Plant_number,Latin_plant_name,German_plant_name,English_plant_name,Plant_genus,Plant_family,Global_spatial_distribution,Swiss_frequency,Swiss_appearance,Vegetation_type,Blooming_period,Toxic_plant_part,Human_toxicity,Animal_toxicity,Invasive_foreign,Garden_plant,Agricultural_plant
P259,Lathyrus cicera L.,Kicher-Platterbse,Red pea,Lathyrus,Fabaceae,Mediterranean,0.2,domestic,Weed and ruderal plant,May,Seed,weak toxic,very strong toxic,,,
P260,Lathyrus sativus L.,Saat-Platterbse,White pea,Lathyrus,Fabaceae,Western Asia,agriculture,alien,Agricultural plant,Jun.-Jul.,Seed,weak toxic,toxic,,,yes
P261,Lathyrus odoratus L.,Duftende Platterbse,Sweet pea,Lathyrus,Fabaceae,Southern Europe,0,alien,Ornamental garden plant,Jun.-Sep.,Seed,weak toxic,toxic,,yes,
P262,Pisum sativum L. s.str.,Garten-Erbse,Pea,Pisum,Fabaceae,Mediterranean,agriculture,domestic,Agricultural plant,May-Aug.,Young herb,weak toxic,,,,yes
P263,Melilotus altissimus Thuill.,Hoher Honigklee,Tall yellow sweetclover,Melilotus,Fabaceae,Europe and Asia,32,domestic,Weed and ruderal plant,Jun.-Aug.,Aerial part (or whole plant),weak toxic,,,,
P264,Melilotus officinalis Lam.,Echter Honigklee,Yellow sweetclover,Melilotus,Fabaceae,Europe and Asia,51,domestic,Weed and ruderal plant,Jun.-Oct.,Aerial part (or whole plant),weak toxic,strong toxic,,,
P265,Melilotus albus Medik.,Weisser Honigklee,Honey clover,Melilotus,Fabaceae,Europe and Asia,55,domestic,Weed and ruderal plant,Jun.-Aug.,Aerial part (or whole plant),weak toxic,strong toxic,,,
P266,Securigera varia (L.) Lassen,Bunte Kronwicke,Crown-vetch                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Securigera,Fabaceae,Europe and Western Asia,32,domestic,Xerophyte,Jun.-Aug.,"Whole plant, highest concentrations in seed",toxic,toxic,,,
P267,Coronilla coronata L.,Berg-Kronwicke,,Coronilla,Fabaceae,Southern and Central Europe,6,domestic,Forest plant,Jun.,Whole plant,toxic,,,,
P268,Coronilla minima L.,Kleine Kronwicke,,Coronilla,Fabaceae,Mediterranean,0.7,domestic,Forest plant,Jun.-Jul.,Whole plant,toxic,,,,
P269,Coronilla vaginalis Lam.,Scheiden-Kronwicke,,Coronilla,Fabaceae,Southern and Central Europe,32,domestic,Mountain plant,May-Jul.,Whole plant,toxic,,,,
P270,Gleditsia triacanthos L. ,Gleditschie,Honey locust tree,Gleditsia,Fabaceae,North America,occasionally introduced ,domestic,Ornamental garden plant,May,Leaf,toxic,,,yes,
P271,Pueraria lobata (Willd.) Ohwi,Kopoubohne,,Pueraria,Fabaceae,Eastern Asia,0.8,alien,Ornamental garden plant,Jul.-Aug.,,"estrogenic, skin-irritating",,yes (forbidden EU),yes,
P272,Caragana arborescens Lam.,Erbsenstrauch,Pea-tree,Caragana,Fabaceae,Siberia,0,domestic,Ornamental garden plant,May-Jun.,Seed (or whole plant),weak toxic,,,yes,
P273,Sophora japonica L.,Japanischer Schnurstrauch,Chinese pagoda-tree,Sophora,Fabaceae,Eastern Asia,0,alien,Ornamental garden plant,Aug.-Sep.,Fruit (or whole plant),strong toxic,,,yes,
P274,Erythrina crista-galli L.,Korallenstrauch,Cockspur coral tree,Erythrina,Fabaceae,South America,0,alien,Ornamental garden plant,Aug.-Sep.,"Whole plant, highest concentration in seed",strong toxic,,,yes,
P275,Trifolium pratense L.,Gewoehnlicher Rot-Klee,Red clover,Trifolium,Fabaceae,Europe and Siberia,90,domestic,Meadow plant,May-Oct.,Whole plant,estrogenic,toxic,,,
P276,Trifolium repens L.,Kriechender Klee,White clover,Trifolium,Fabaceae,Europe and Siberia,83,domestic,Meadow plant,May-Sep.,Whole plant,estrogenic,toxic,,,
P277,Oxytropis campestris (L.) DC.,Alpen-Spitzkiel,Field locoweed,Oxytropis,Fabaceae,Alps,39,domestic,Mountain plant,Jul.-Aug.,Whole plant,toxic (unknown strength),,,,
P278,Oxytropis fetida (Vill.) DC.,Druesiger Spitzkiel,,Oxytropis,Fabaceae,Alps,1,domestic,Mountain plant,Jul.-Aug.,Whole plant,toxic (unknown strength),,,,
P279,Oxytropis halleri W. D. J. Koch,Hallers Spitzkiel,Purple locoweed,Oxytropis,Fabaceae,Central and Southern Europe,10,domestic,Mountain plant,Apr.-Jul.,Whole plant,toxic (unknown strength),,,,
P280,Oxytropis helvetica Scheele,Schweizer Spitzkiel,,Oxytropis,Fabaceae,Alps,2,domestic,Mountain plant,Jul.-Aug.,Whole plant,toxic (unknown strength),,,,
P281,Oxytropis lapponica (Wahlenb.) J. Gay,Lapplaender Spitzkiel,,Oxytropis,Fabaceae,Europe and Asia,13,domestic,Mountain plant,Jul.-Aug.,Whole plant,toxic (unknown strength),,,,
P282,Oxytropis pilosa (L.) DC.,Zottiger Spitzkiel,,Oxytropis,Fabaceae,Eastern Europe and Western Asia,6,domestic,Xerophyte,May-Jul.,Whole plant,toxic (unknown strength),,,,
P283,Euonymus europaeus L.,Gemeines Pfaffenhuetchen,European spindle,Euonymus,Celastraceae,Europe,47,domestic,Forest plant,Jun.-Jul.,"Whole plant, highest concentrations in fruit",strong toxic,strong toxic,,,
P284,Euonymus japonicus Thunb.,Japanisches Pfaffenhuetchen,Japanese spindle,Euonymus,Celastraceae,Japan,occasionally introduced ,alien,Ornamental garden plant,May-Aug.,Whole plant,strong toxic,strong toxic,,yes,
P285,Euonymus latifolius (L.) Mill.,Breitblaettriges Pfaffenhuettchen,Broadleaf spindle,Euonymus,Celastraceae,Southern and Central Europe,12,domestic,Forest plant,May-Jun.,Whole plant,strong toxic,strong toxic,,,
P286,Hypericum coris L.,Quirblaettriges Johanniskraut,,Hypericum,Hypericaceae,Southern and Central Europe,2,domestic,Mountain plant,Jun.-Jul.,Whole plant,phototoxic,toxic,,,
P287,Hypericum pulchrum L.,Schoenes Johanniskraut,,Hypericum,Hypericaceae,Central Europe,6,domestic,Forest plant,Jun.-Jul.,Whole plant,phototoxic,toxic,,,
P288,Hypericum montanum L.,Berg-Johanneskraut,Mountain St. John'e wort,Hypericum,Hypericaceae,Europe and Siberia,54,domestic,Forest plant,Jun.-Jul.,Whole plant,phototoxic,toxic,,,
P289,Hypericum hirsutum L.,Behaartes Johanniskraut,,Hypericum,Hypericaceae,Europe and Siberia,28,domestic,Forest plant,Jun.-Aug.,Whole plant,phototoxic,toxic,,,
P290,Hypericum humifusum L.,Niederliegendes Johanniskraut,,Hypericum,Hypericaceae,Europe,26,domestic,Weed and ruderal plant,Jun.-Aug.,Whole plant,phototoxic,toxic,,,
P291,Hypericum perforatum L. s.str.,Echtes Johanniskraut,Common St. John's wort,Hypericum,Hypericaceae,Europe and Siberia,63,domestic,Xerophyte,Jun.-Sep.,Whole plant,phototoxic,toxic,,,
P292,Hypericum tetrapterum Fr.,Vierfluegeliges Johanniskraut,Square stemmed St. John's wort,Hypericum,Hypericaceae,Europe,38,domestic,Shore- and marsh plant,Jul.-Aug.,Whole plant,phototoxic,toxic,,,
P293,Hypericum maculatum Crantz s.l. (H. maculatum Crantz s.str. and H. maculatum subsp. obtusiusculum (Tourlet) Hayek),Geflecktes Johanniskraut,Imperforate St. John's wort,Hypericum,Hypericaceae,Europe and Siberia,73,domestic,Shore- and marsh plant,Jun.-Aug.,Whole plant,phototoxic,toxic,,,
P294,Mercurialis perennis L.,Wald-Bingelkraut,Dog's mercury,Mercurialis,Euphorbiaceae,Europe and Western Asia,50,domestic,Forest plant,Mar.-Apr.,Whole plant,toxic,strong toxic,,,
P295,Mercurialis ovata Sternb. & Hoppe,Eiblaettriges Bingelkraut,,Mercurialis,Euphorbiaceae,South-eastern Europe and Western Asia,0.2,domestic,Forest plant,Jun.,Whole plant,toxic,,,,
P296,Mercurialis annua L.,Einjaehriges Bingelkraut,Annal mercury,Mercurialis,Euphorbiaceae,Europe and Western Asia,20,domestic,Weed and ruderal plant,May-Oct.,Whole plant,toxic,,,,
P297,Euphorbia lathyris L.,Kreuzblaettrige Wolfsmilch,Caper spurge,Euphorbia,Euphorbiaceae,Mediterranean and Asia,16,alien,Weed and ruderal plant,Jun.-Aug.,"Latex, seed (or whole plant)",strong toxic,strong toxic,,,
P298,Euphorbia nutans Lag.,Nickende Wolfsmilch,,Euphorbia,Euphorbiaceae,North America,9,alien,Weed and ruderal plant,Jul.-Sep.,"Latex, seed (or whole plant)",toxic,,,,
P299,Euphorbia humifusa Willd.,Niederligende Wolfsmilch,,Euphorbia,Euphorbiaceae,Asia,6,alien,Weed and ruderal plant,Jun.-Sep.,"Latex, seed (or whole plant)",toxic,,,,
P300,Euphorbia chamaesyce L.,Zwerg-Wolfsmilch,,Euphorbia,Euphorbiaceae,Mediterranean and Western Asia,0.2,domestic,Weed and ruderal plant,Jun.-Sep.,"Latex, seed (or whole plant)",toxic,,,,
P301,Euphorbia maculata L.,Gefleckte Wolfsmilch,Spotted spurge,Euphorbia,Euphorbiaceae,North America,21,alien,Weed and ruderal plant,Jun.-Sep.,"Latex, seed (or whole plant)",toxic,,,,
P302,Euphorbia prostrata Aiton,Hingestreckte Wolfsmilch,,Euphorbia,Euphorbiaceae,South America,6,alien,Weed and ruderal plant,Jun.-Sep.,"Latex, seed (or whole plant)",toxic,,,,
P303,Euphorbia palustris L.,Sumpf-Wolfsmilch,,Euphorbia,Euphorbiaceae,Europe and Asia,3,domestic,Shore- and marsh plant,May-Jun.,"Latex, seed (or whole plant)",toxic,strong toxic,,,
P304,Euphorbia dulcis L.,Suesse Wolfsmilch,,Euphorbia,Euphorbiaceae,Europe,44,domestic,Forest plant,Apr.-Jun.,"Latex, seed (or whole plant)",toxic,,,,
P305,Euphorbia carniolica Jacq.,Krainer Wolfsmilch,,Euphorbia,Euphorbiaceae,South-eastern Europe,0.3,domestic,Forest plant,Jun.,"Latex, seed (or whole plant)",toxic,,,,
P306,Euphorbia verrucosa L.,Warzige Wolfsmilch,,Euphorbia,Euphorbiaceae,Southern and Central Europe,21,domestic,Xerophyte,May-Jun.,"Latex, seed (or whole plant)",toxic,,,,
P307,Euphorbia platyphyllos L.,Breiblaettrige Wolfsmilch,,Euphorbia,Euphorbiaceae,Southern Europe,20,domestic,Forest plant,Jun.-Aug.,"Latex, seed (or whole plant)",toxic,,,,
P308,Euphorbia stricta L.,Steife Wolfsmilch,,Euphorbia,Euphorbiaceae,Europe and Western Asia,30,domestic,Forest plant,Jun.-Jul.,"Latex, seed (or whole plant)",toxic,,,,
P309,Euphorbia helioscopia L.,Sonnenwend-Wolfsmilch,Sun spurge,Euphorbia,Euphorbiaceae,Europe and Asia,53,domestic,Weed and ruderal plant,Apr.-Sep.,"Latex, seed (or whole plant)",toxic,strong toxic,,,
P310,Euphorbia peplus L.,Garten-Wolfsmilch,Petty spurge,Euphorbia,Euphorbiaceae,Mediterranean and Western Asia,52,domestic,Weed and ruderal plant,Jun.-Oct.,"Latex, seed (or whole plant)",toxic,strong toxic,,,
P311,Euphorbia exigua L.,Kleine Wolfsmilch,,Euphorbia,Euphorbiaceae,Mediterranean and Western Asia,26,domestic,Weed and ruderal plant,May-Oct.,"Latex, seed (or whole plant)",toxic,,,,
P312,Euphorbia falcata L.,Sichelblaettrige Wolfsmilch,,Euphorbia,Euphorbiaceae,Mediterranean and Western Asia,3,domestic,Weed and ruderal plant,Jun.-Sep.,"Latex, seed (or whole plant)",toxic,,,,
P313,Euphorbia segetalis L.,Saat-Wolfsmilch,,Euphorbia,Euphorbiaceae,Mediterranean and Western Asia,0.7,domestic,Weed and ruderal plant,May-Jul.,"Latex, seed (or whole plant)",toxic,,,,
P314,Euphorbia amygdaloides L.,Mandelblaettrige Wolfsmilch,Wood spurge,Euphorbia,Euphorbiaceae,Europe and Western Asia,24,domestic,Forest plant,Apr.-Jun.,Latex (or whole plant),toxic,,,,
P315,Euphorbia seguieriana Neck. s.str.,Steppen-Wolfsmilch,,Euphorbia,Euphorbiaceae,Southern Europe and Western Asia,4,domestic,Pioneer plant,May-Jul.,"Latex, seed (or whole plant)",toxic,,,,
P316,Euphorbia myrsinites L.,Myrten-Wolfsmilch,Myrtle spurge,Euphorbia,Euphorbiaceae,Southern Europe,1.5,alien,Ornamental garden plant,May-Jun.,"Latex, seed (or whole plant)",toxic,,,yes,
P317,Euphorbia virgata Waldst. & Kit.,Rutenfoermige Wolfsmilch,,Euphorbia,Euphorbiaceae,South-eastern Europe and Asia,9,alien,Weed and ruderal plant,May-Jul.,"Latex, seed (or whole plant)",toxic,,,,
P318,Euphorbia esula L.,Scharfe Wolfsmilch,Leafy spurge,Euphorbia,Euphorbiaceae,Europe and Siberia,rarely introduced,alien,Weed and ruderal plant,May-Jul.,"Latex, seed (or whole plant)",toxic,strong toxic,,,
P319,Euphorbia cyparissias L.,Zypressenblaettrige Wolfsmilch,Cypress spurge,Euphorbia,Euphorbiaceae,Europe,83,domestic,Xerophyte,Apr.-Jun.,"Latex, seed (or whole plant)",toxic,strong toxic,,,
P320,Euphorbia marginata Pursh,Weissrand-Wolfsmilch,Whitemargined spurge,Euphorbia,Euphorbiaceae,North America,rarely introduced,alien,Ornamental garden plant,,"Latex, seed (or whole plant)",toxic,strong toxic,,yes,
P321,Ricinus communis L.,Rizinus,Castor bean,Ricinus,Euphorbiaceae,Africa,rarely introduced,alien,Ornamental garden plant,Aug.-Oct.,Seed,very strong toxic,very strong toxic,,yes,
P322,Linum usitatissimum L.,Flachs,Flax,Linum,Linaceae,global,agriculture,domestic,Agricultural plant,Jun.-Jul.,Seed,toxic,very strong toxic,,,yes
P323,Linum alpinum Jacq.,Alpen-Lein,Alpine flax,Linum,Linaceae,Southern and Central Europe,10,domestic,Mountain plant,Jun.-Jul.,Seed,weak toxic,,,,
P324,Linum austriacum L.,Oesterreicher Lein,Asian flax,Linum,Linaceae,Mediterranean,6,domestic,Xerophyte,Jun.-Jul.,Seed,weak toxic,,,,
P325,Linum carharticum L.,Purgier-Lein,Fairy flax,Linum,Linaceae,Europe and Western Asia,87,domestic,Shore- and marsh plant,May-Aug.,Seed,weak toxic,,,,
P326,Linum tenuifolim L.,Feinblaettriger Lein,,Linum,Linaceae,Mediterranean,12,domestic,Xerophyte,Jun.-Jul.,Seed,weak toxic,,,,
P327,Oxalis acetosella L.,Wald-Sauerklee,Common wood-sorrel,Oxalis,Oxalidaceae,"Europe, Asia and North America",68,domestic,Forest plant,Apr.-Jun.,Aerial part (or whole plant),toxic,toxic,,,
P328,Oxalis corniculata L.,Gehoernter Sauerklee,Creeping wood-sorrel,Oxalis,Oxalidaceae,Southern Europe and Asia,26,domestic,Weed and ruderal plant,Apr.-Oct.,Aerial part (or whole plant),toxic,toxic,,,
P329,Oxalis stricta L.,Aufrechter Sauerklee,Common xellow wood-sorrel,Oxalis,Oxalidaceae,Eastern Asia,45,alien,Weed and ruderal plant,Jun.-Sep.,Aerial part (or whole plant),toxic,toxic,,,
P330,Abutilon thopphrasti Medik.,Chinesische Samtpappel,Velvetleaf,Abutilon,Malvaceae,Asia,3,alien,Weed and ruderal plant,Jul.-Sep.,,nontoxic,,yes,,
P331,Gossypium hirsutum L.,Baumwolle,Upland cotton,Gossypium,Malvaceae,Central America,0,alien,Agricultural plant,,"Root bark, seed (or whole plant)",toxic (unknown strength),,,,
P332,Theobroma cacao L.,Kakaobaum,Cacao tree,Theobroma,Malvaceae,Central and South America,0,alien,Agricultural plant,,,stimulating,,,,
P333,Daphne mezereum L.,Echter Seidelbast,February daphne,Daphne,Thymelaeaceae,Europe and Western Asia,83,domestic,Forest plant,Feb.-Apr.,"Whole plant, highest concentrations in fruit, bark",very strong toxic,very strong toxic,,,
P334,Daphne alpina L.,Alpen-Seidelbast,Mountain daphne,Daphne,Thymelaeaceae,Southern and Central Europe,9,domestic,Pioneer plant,May-Jun.,"Whole plant, highest concentrations in fruit, bark",very strong toxic,,,,
P335,Daphne cneorum L.,Flaumiger Seidelbast,Rose daphne,Daphne,Thymelaeaceae,Southern and Central Europe,2,domestic,Xerophyte,May,"Whole plant, highest concentrations in fruit, bark",very strong toxic,,,,
P336,Daphne striata Tratt.,Gestreifter Seidelbast,Striped daphne,Daphne,Thymelaeaceae,Alps,24,domestic,Mountain plant,Jun.-Jul.,"Whole plant, highest concentrations in fruit, bark",very strong toxic,,,,
P337,Daphne laureola L.,Lorbeer-Seidelbast,Laurel-leaved daphne,Daphne,Thymelaeaceae,South-western Europe,13,domestic,Forest plant,Mar.-Apr.,"Whole plant, highest concentrations in fruit, bark",very strong toxic,,,,
P338,Thymelaea passerina (L.) Coss. & Germ.,Spatzenzunge,Yitran,Thymelaea,Thymelaeaceae,Mediterranean and Western Asia,2,domestic,Weed and ruderal plant,Jul.-Sep.,,strong toxic,,,,
P339,Sisymbrium officinale (L.) Scop.,Weg-Rauke,Hedge mustard,Sisymbrium,Brassicaceae,Europe and Asia,49,domestic,Weed and ruderal plant,May-Aug.,Whole plant,toxic,,,,
P340,Sisymbrium austriacum Jacq.,Oesterreicher Rauke,,Sisymbrium,Brassicaceae,Western Europe,6,domestic,Pioneer plant,May-Jun.,Whole plant,toxic,,,,
P341,Sisymbrium irio L.,Schlaffe Ranke,,Sisymbrium,Brassicaceae,Mediterranean,3,alien,Weed and ruderal plant,May-Jul.,Whole plant,toxic,,,,
P342,Sisymbrium strictissimum L.,Steife Rauke,,Sisymbrium,Brassicaceae,Eastern Europe,3,domestic,Weed and ruderal plant,Jul.,Whole plant,toxic,,,,
P343,Bunias orientalis L.,Glattes Zackenschoetchen,Turkish warty-cabbage,Bunia,Brassicaceae,Eastern Europe and Western Asia,17,alien,Weed and ruderal plant,May-Aug.,Whole plant,skin-irritating,,yes,,
P344,Erysimum cheiri (L.) Crantz,Goldlack,,Erysimum,Brassicaceae,Mediterranean,7,domestic,Weed and ruderal plant,Apr.-May,Whole plant,strong toxic,,,,
P345,Erysimum rhaeticum (Hornem.) DC.,Schweizer Schoeterich,Swiss wallflower,Erysimum,Brassicaceae,Southern and Central Europe,10,domestic,Mountain plant,Jun.-Jul.,Whole plant,toxic,,,,
P346,Erysimum ochroleucum (Schleich.) DC.,Blassgelber Schoeterich,,Erysimum,Brassicaceae,Alps,0.8,domestic,Mountain plant,Jun.,Whole plant,toxic,,,,
P347,Erysimum hieraciifolium auct.,Habichtskraut-Ruten-Schoeterich,European wallflower,Erysimum,Brassicaceae,Europe and Asia,2,domestic,Weed and ruderal plant,Jun.-Jul.,Whole plant,toxic,,,,
P348,Erysimum virgatum Roth,Gewoehnlicher Ruten-Schoeterich,,Erysimum,Brassicaceae,Alps,4,domestic,Weed and ruderal plant,Jun.-Jul.,Whole plant,toxic,,,,
P349,Erysimum repandum L.,Brachen-Schoeterich,,Erysimum,Brassicaceae,South-eastern Europe,0.5,alien,Weed and ruderal plant,Apr.-Jun.,Whole plant,toxic,,,,
P350,Erysimum cheiranthoides L.,Acker-Schoeterich,Wormseed wallflower,Erysimum,Brassicaceae,global,23,domestic,Weed and ruderal plant,Jun.-Aug.,Whole plant,toxic,,,,
P351,Hesperis matronalis L.,Gemeine Nachtviole,Dame's violet,Hesperis,Brassicaceae,Southern Europe and Western Asia,27,domestic,Forest plant,May-Jun.,"Whole plant, highest concentrations in seed",weak toxic,,,,
P352,Armoracia rusticana P. Gaertn. & al.,Meerrettich,Horseradish,Armoracia,Brassicaceae,Eastern Europe,occasionally introduced ,domestic,Weed and ruderal plant,May,"Whole plant, highest concentrations in seed",skin-irritating,weak toxic,,yes,
P353,Berteroa incana (L.) DC.,Graukresse,Hoary Alyssum,Berteroa,Brassicaceae,Eastern Europe and Asia,8,domestic,Weed and ruderal plant,Jun.-Oct.,"Whole plant, highest concentrations in seed",toxic,toxic,,,
P354,Iberis amara L.,Bitterer Bauernsenf,Rocket cadytuft,Iberis,Brassicaceae,Western Europe,1.5,domestic,Weed and ruderal plant,Jun.-Oct.,"Whole plant, highest concentrations in seed",toxic,,,yes,
P355,Iberis sempervirens L.,Immergruener Bauernsenf,,Iberis,Brassicaceae,Mediterranean,rarely introduced,domestic,Ornamental garden plant,May-Jun.,"Whole plant, highest concentrations in seed",toxic,,,yes,
P356,Iberis umbellata L.,Doldiger Bauernsenf,,Iberis,Brassicaceae,Southern Europe,occasionally introduced,alien,Ornamental garden plant,Jun.-Sep.,"Whole plant, highest concentrations in seed",toxic,,,yes,
P357,Brassica oleraceae convar. fruticosa var. gemmifera DC.,Rosenkohl,Brussels sprouts,Brassica,Brassicaceae,global,agriculture,domestic,Agricultural plant,Apr.-May,"Fruit, leaf (or whole plant)",nontoxic,toxic,,,yes
P358,Brassica oleraceae convar. acephala var. sabellica L.,Gruenkohl,Kale,Brassica,Brassicaceae,global,agriculture,domestic,Agricultural plant,Apr.-May,"Fruit, leaf (or whole plant)",nontoxic,toxic,,,yes
P359,Brassica oleraceae convar. caulocarpha var. gongylodes L.,Kohlrabi,Kohlrabi,Brassica,Brassicaceae,global,agriculture,domestic,Agricultural plant,Apr.-May,"Fruit, leaf (or whole plant)",nontoxic,toxic,,,yes
P360,Brassica oleraceae convar. capitata var. sabauda L.,Wirsing,Savoy,Brassica,Brassicaceae,global,agriculture,domestic,Agricultural plant,Apr.-May,"Fruit, leaf (or whole plant)",nontoxic,toxic,,,yes
P361,Brassica oleraceae convar. capitata var. capitata L.f. alba,Weiss-Kohl,White cabbage,Brassica,Brassicaceae,global,agriculture,domestic,Agricultural plant,Apr.-May,"Fruit, leaf (or whole plant)",nontoxic,toxic,,,yes
P362,Brassica oleraceae convar. capitata var. capitata L.f. rubra,Rot-Kohl,Red cabbage,Brassica,Brassicaceae,global,agriculture,domestic,Agricultural plant,Apr.-May,"Fruit, leaf (or whole plant)",nontoxic,toxic,,,yes
P363,Brassica oleraceae convar. boytrytis var. italica Plenck,Brokkoli,Broccoli,Brassica,Brassicaceae,global,agriculture,domestic,Agricultural plant,Apr.-May,"Fruit, leaf (or whole plant)",nontoxic,toxic,,,yes
P364,Brassica oleraceae convar. boytrytis var. botrytis L.,Blumenkohl,Cauliflower,Brassica,Brassicaceae,global,agriculture,domestic,Agricultural plant,Apr.-May,"Fruit, leaf (or whole plant)",nontoxic,toxic,,,yes
P365,Brassica napus L.,Raps,Rapeseed,Brassica,Brassicaceae,Mediterranean,agriculture,domestic,Agricultural plant,Apr.-May,"Fruit, leaf (or whole plant)",skin-irritating,very strong toxic,,,yes
P366,Brassica nigra (L.) W. D. J. Koch,Schwarzer Senf,Black moustard,Brassica,Brassicaceae,Mediterranean,2,domestic,Weed and ruderal plant,Jun.-Sep.,"Fruit, leaf (or whole plant)",toxic,strong toxic,,,
P367,Brassica rapa L.,Rueben-Kohl,,Brassica,Brassicaceae,Mediterranean,agriculture,domestic,Agricultural plant,Apr.-May,"Fruit, leaf (or whole plant)",skin-irritating,toxic,,,yes
P368,Raphanus sativus L.,Radieschen,Radish,Raphanus,Brassicaceae,Mediterranean,agriculture,domestic,Agricultural plant,May-Aug.,"Fruit, leaf (or whole plant)",skin-irritating,,,,yes
P369,Nasturtium officinale R. Br.,Echte Brunnenkresse,Water-cress,Nasturtium,Brassicaceae,global,agriculture,domestic,Fresh water plant,Jun.-Sep.,Herb,weak toxic,,,,yes
P370,Lepidium sativum L.,Garten-Kresse,Garden cress,Lepidium,Brassicaceae,Western Asia,agriculture,alien,Agricultural plant,Jun.-Jul.,Root (or whole plant),skin-irritating,,,,yes
P371,Isatis tinctoria L.,Faerber-Waid,Dyer's woad,Isatis,Brassicaceae,Mediterranean and Western Asia,1,domestic,Weed and ruderal plant,Apr.-Jun.,Leaf,weak toxic,,,,
P372,Aesculus hippocastanum L.,Rosskastanie,Horse-chestnut,Aesculus,Sapindaceae,South-eastern Europe,occasionally introduced ,domestic,Ornamental garden plant,Apr.-May,"Fruit, seed",weak toxic,strong toxic,,yes,
P373,Acer pseudoplatanus L.,Berg-Ahorn,Sycamore maple,Acer,Sapindaceae,Europe and Western Asia,65,domestic,Forest plant,Apr.-May,Leaf (or whole plant),weak toxic,toxic (horse),,,
P374,Acer negundo L.,Eschen-Ahorn,Boxelder maple,Acer,Sapindaceae,North America,occasionally introduced ,alien,Ornamental garden plant,Apr.-May,Leaf (or whole plant),weak toxic,toxic (horse),,yes,
P375,Acer velutinum Boiss.,Samt-Ahorn,Velvet maple,Acer,Sapindaceae,Asia,0,alien,Ornamental garden plant,May,Leaf (or whole plant),weak toxic,toxic (horse),,yes,
P376,Acer campestre L.,Feld-Ahorn,,Acer,Sapindaceae,Europe and Western Asia,49,domestic,Forest plant,May,,nontoxic,,,,
P377,Acer opalus Mill.,Schneeballblaettriger Ahorn,,Acer,Sapindaceae,Mediterranean,10,domestic,Forest plant,Apr.,,nontoxic,,,,
P378,Acer platanoides L.,Spitz-Ahorn,,Acer,Sapindaceae,Europe and Western Asia,50,domestic,Forest plant,Apr.,,nontoxic,,,,
P379,Ailanthus altissima (Mill.) Swingle,Goetterbaum,Tree of heaven,Ailanthus,Simaroubaceae,Asia,16,alien,Ornamental garden plant,Jun.-Jul.,Whole plant,toxic,,yes,yes,
P380,Ruta graveolens L.,Wein-Raute,Common rue,Ruta,Rutaceae,South-eastern Europe,5,alien,Ornamental garden plant,Jun.-Jul.,Whole plant,toxic,,,yes,
P381,Dictamnus albus L.,Weisser Diptam,Dittany,Dictamnus,Rutaceae,South-eastern Europe and Asia,2,domestic,Xerophyte,May-Jun.,Whole plant,weak toxic,,,,
P382,Skimmia japonica Thunb.,Japanische Skimmie,Japanese Skimmia,Skimmia,Rutaceae,Eastern Asia,0,alien,Ornamental garden plant,Mar.-May,Whole plant,weak toxic,,,yes,
P383,Punica granatum L.,Granatapfelbaum,Pomergranate,Punica,Lythraceae,Western Asia and Northern Africa,rarely introduced,alien,Ornamental garden plant,Jun.,"Fruit, root cortex, tree bark",toxic,,,yes,
P384,Ludwigia grandiflora (Michx.) Greuter & Burdet,Grossbluetiges Heusenkraut,Water primerose,Ludwigia,Onagraceae,South America,0.2,alien,Fresh water plant,Jun.-Sep.,,unknown,,yes (forbidden CH and EU),,
P385,Ludwigia peploides (Kunth) P. H. Raven,Flutendes Heusenkraut,Floating primrose-willow,Ludwigia,Onagraceae,North America,rarely introduced,alien,Fresh water plant,,,unknown,,yes (forbidden CH and EU),yes,
P386,Parthenocissus quinquefolia (L.) Planch.,Selbstkletternde Jungfernrebe,Virginia creeper,Parthenocissus,Vitaceae,North America,occasionally introduced ,alien,Ornamental garden plant,Jun.-Aug.,"Fruit, leaf (or whole part)",skin-irritating,weak toxic,,yes,
P387,Parthenocissus inserta (A. Kern.) Fritsch,Gewoehnliche Jungfernrebe,,Parthenocissus,Vitaceae,North America,occasionally introduced ,alien,Ornamental garden plant,Jun.-Aug.,"Fruit, leaf (or whole part)",skin-irritating,weak toxic,yes,yes,
P388,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,Dreispitzige Weinrebe,Japanese creeper,Parthenocissus,Vitaceae,Asia,occasionally introduced ,alien,Ornamental garden plant,Jun.-Aug.,"Fruit, leaf (or whole part)",skin-irritating,weak toxic,,yes,
P389,Vitis vinifera L.,Europaeische Weinrebe,Common grape vine,Vitis,Vitaceae,Southern Europe and Western Asia,agriculture,domestic,Agricultural plant,Jun.,Whole plant,skin-irritating,strong toxic (dog),,,yes
P390,Ampelopsis brevipedunculata (Maxim.) Trautv.,Scheinrebe,Amur ampeopsis,Ampelopsis,Vitaceae,Asia,0,alien,Ornamental garden plant,Jul.-Aug.,"Whole plant, highest concentrations in fruit",skin-irritating,weak toxic,,yes,
P391,Cissus alata Jacq.,Zimmerrebe,Grape Ivy,Cissus,Vitaceae,South America,0,alien,Ornamental garden plant,Jun.-Aug.,,skin-irritating,weak toxic,,yes,
