Latin name provided,latinNameNoAuthor
Lolium as 'rye',Lolium as 'rye'
Lolium as 'rye-grass',Lolium as 'rye-grass'
Lolium as 'ryegrass',Lolium as 'ryegrass'
Lolium cuncatum,Lolium cuncatum
Lolium italicum,Lolium italicum
Lolium linicolum,Lolium linicolum
Lolium maximum,Lolium maximum
Lolium multiflorum,Lolium multiflorum
Lolium multiflorum as 'Italian ryegrass',Lolium multiflorum as 'Italian ryegrass'
Lolium multiflorum hybrids,Lolium multiflorum hybrids
Lolium perenne,Lolium perenne
Lolium perenne as 'perennial ryegrass',Lolium perenne as 'perennial ryegrass'
Lolium persicum,Lolium persicum
Lolium remotum,Lolium remotum
Lolium rigidium,Lolium rigidium
Lolium rigidum,Lolium rigidum
Lolium temulentum,Lolium temulentum
Lolium tumulentum,Lolium tumulentum
Lolium xhybridum,Lolium xhybridum
Lollium perenne,Lollium perenne
Lomandra,Lomandra
Lomandra leucocephala,Lomandra leucocephala
Lomandra leucocephala subsp. leucocephala,Lomandra leucocephala subsp. leucocephala
Lomandra longifolia,Lomandra longifolia
Lomandra multiflora,Lomandra multiflora
Lomandraceae,Lomandraceae
Lomatia,Lomatia
Lomatia longifolia,Lomatia longifolia
Lomatia silaifolia,Lomatia silaifolia
Lomaticum canbyi,Lomaticum canbyi
Lomatium,Lomatium
Lomatium ambiguum,Lomatium ambiguum
Lomatium californicum,Lomatium californicum
Lomatium columbianum,Lomatium columbianum
Lomatium cous,Lomatium cous
Lomatium dissectum,Lomatium dissectum
Lomatium farinosum,Lomatium farinosum
Lomatium foeniculaceum,Lomatium foeniculaceum
Lomatium geyeri,Lomatium geyeri
Lomatium gormanii,Lomatium gormanii
Lomatium grayi,Lomatium grayi
Lomatium leptocarpum,Lomatium leptocarpum
Lomatium macrocarpum,Lomatium macrocarpum
Lomatium nudicaule,Lomatium nudicaule
Lomatium nuttalii,Lomatium nuttalii
Lomatium parryi,Lomatium parryi
Lomatium piperi,Lomatium piperi
Lomatium salmoniflorum,Lomatium salmoniflorum
Lomatium triternatum,Lomatium triternatum
Lomatium utriculatum,Lomatium utriculatum
Lonchocarpus,Lonchocarpus
Lonchocarpus araripensis,Lonchocarpus araripensis
Lonchocarpus capassa,Lonchocarpus capassa
Lonchocarpus chrysophyllus,Lonchocarpus chrysophyllus
Lonchocarpus costaricensis,Lonchocarpus costaricensis
Lonchocarpus cyanescens,Lonchocarpus cyanescens
Lonchocarpus densiflorus,Lonchocarpus densiflorus
Lonchocarpus denudatus,Lonchocarpus denudatus
Lonchocarpus floribundus,Lonchocarpus floribundus
Lonchocarpus guaricensis,Lonchocarpus guaricensis
Lonchocarpus maculatus,Lonchocarpus maculatus
Lonchocarpus martynii,Lonchocarpus martynii
Lonchocarpus negrensis,Lonchocarpus negrensis
Lonchocarpus nicou,Lonchocarpus nicou
Lonchocarpus punctatus,Lonchocarpus punctatus
Lonchocarpus rariflorus,Lonchocarpus rariflorus
Lonchocarpus sericeus,Lonchocarpus sericeus
Lonchocarpus spiciflorus,Lonchocarpus spiciflorus
Lonchocarpus spruceanus,Lonchocarpus spruceanus
Lonchocarpus urucu,Lonchocarpus urucu
Lonchocarpus utilis,Lonchocarpus utilis
Lonchocarpus violaceus,Lonchocarpus violaceus
Lonicera,Lonicera
Lonicera alpigena,Lonicera alpigena
Lonicera as 'honeysuckle',Lonicera as 'honeysuckle'
Lonicera caerulea,Lonicera caerulea
Lonicera caprifolium,Lonicera caprifolium
Lonicera confusa,Lonicera confusa
Lonicera etrusca,Lonicera etrusca
Lonicera fragrantissima,Lonicera fragrantissima
Lonicera henryi,Lonicera henryi
Lonicera hildebrandiana,Lonicera hildebrandiana
Lonicera involucrata,Lonicera involucrata
Lonicera japonica,Lonicera japonica
Lonicera japonica halliana,Lonicera japonica halliana
Lonicera japonicum,Lonicera japonicum
Lonicera ledebourii,Lonicera ledebourii
Lonicera maackii,Lonicera maackii
Lonicera maakii,Lonicera maakii
Lonicera marilandica,Lonicera marilandica
Lonicera nigra,Lonicera nigra
Lonicera nitida,Lonicera nitida
Lonicera orientalis,Lonicera orientalis
Lonicera periclumenum,Lonicera periclumenum
Lonicera periclymemum,Lonicera periclymemum
Lonicera periclymenum,Lonicera periclymenum
Lonicera periclymenum L.,
Lonicera pericyclaemenum,Lonicera pericyclaemenum
Lonicera pileata,Lonicera pileata
Lonicera pyrenaicum,Lonicera pyrenaicum
Lonicera sempervirens,Lonicera sempervirens
Lonicera tartarica,Lonicera tartarica
Lonicera tatarica,Lonicera tatarica
Lonicera xylosteum,Lonicera xylosteum
Lophanthus anisatus,Lophanthus anisatus
Lophanthus rugosus,Lophanthus rugosus
Lophaterum,Lophaterum
Lophaterum gracile,Lophaterum gracile
Lophatherum,Lophatherum
Lophatherum gracile,Lophatherum gracile
Lophira alata,Lophira alata
Lophocereus,Lophocereus
Lophocereus schottii,Lophocereus schottii
Lophocoleaceae,Lophocoleaceae
Lopholaena coriifolia,Lopholaena coriifolia
Lophopetalum,Lophopetalum
Lophopetalum javanicum,Lophopetalum javanicum
Lophopetalum pallidum,Lophopetalum pallidum
Lophopetalum toxicum,Lophopetalum toxicum
Lophophora,Lophophora
Lophophora diffusa,Lophophora diffusa
Lophophora echinata var. diffusa,Lophophora echinata var. diffusa
Lophophora lewinii,Lophophora lewinii
Lophophora williamsii,Lophophora williamsii
Lophophora williamsii as 'peyote',Lophophora williamsii as 'peyote'
Lophostylis angustifolia,Lophostylis angustifolia
Lophyrotoma interrupta,Lophyrotoma interrupta
Loranthaceae,Loranthaceae
Loranthaceae as ‘Loranthacées’,Loranthaceae as ‘Loranthacées’
Loranthacee,Loranthacee
Loranthus,Loranthus
Loranthus europaeus,Loranthus europaeus
Loreya,Loreya
Loroglossum hircinum,Loroglossum hircinum
Lotodes erianthum,Lotodes erianthum
Lotodes patens,Lotodes patens
Lotononis,Lotononis
Lotononis bainesii,Lotononis bainesii
Lotononis calycina var.hirsutissima,Lotononis calycina var.hirsutissima
Lotononis carnosa,Lotononis carnosa
Lotononis fruticoides,Lotononis fruticoides
Lotononis involucrata,Lotononis involucrata
Lotononis laxa,Lotononis laxa
Lotononis leobordea,Lotononis leobordea
Lotononis platycarpa,Lotononis platycarpa
Lotononis sp.,Lotononis sp.
Lotonotis,Lotonotis
Lotonus serpentinicola,Lotonus serpentinicola
Lotus,Lotus
Lotus alpinus,Lotus alpinus
Lotus anfractuosus,Lotus anfractuosus
Lotus angustissimus,Lotus angustissimus
Lotus arabicus,Lotus arabicus
Lotus argyraeus,Lotus argyraeus
Lotus as 'lotier',Lotus as 'lotier'
Lotus australis,Lotus australis
Lotus australis var.,Lotus australis var.
Lotus australis var. anfractuosus,Lotus australis var. anfractuosus
Lotus australis var. behrii,Lotus australis var. behrii
Lotus australis var. gilvrayii,Lotus australis var. gilvrayii
Lotus australis var. parviflorus,Lotus australis var. parviflorus
Lotus australis var. pubescens,Lotus australis var. pubescens
Lotus berthelotii,Lotus berthelotii
Lotus coccineus,Lotus coccineus
Lotus corniculatus,Lotus corniculatus
Lotus corniculatus as 'trefoil',Lotus corniculatus as 'trefoil'
Lotus corniculatus var. alpinus,Lotus corniculatus var. alpinus
Lotus corniculatus var. major,Lotus corniculatus var. major
Lotus creticus,Lotus creticus
Lotus cruentus,Lotus cruentus
Lotus glaber,Lotus glaber
Lotus grandiflorus,Lotus grandiflorus
Lotus greenei,Lotus greenei
Lotus hispidus,Lotus hispidus
Lotus incanus,Lotus incanus
Lotus japonicus,Lotus japonicus
Lotus krylovii,Lotus krylovii
Lotus major,Lotus major
Lotus mearnsii,Lotus mearnsii
Lotus nevadensis,Lotus nevadensis
Lotus ornithopodioides,Lotus ornithopodioides
Lotus parviflorus,Lotus parviflorus
Lotus pedunculatus,Lotus pedunculatus
Lotus preslii,Lotus preslii
Lotus strigosus var. tomentellus,Lotus strigosus var. tomentellus
Lotus suaveolens,Lotus suaveolens
Lotus subbiflorus,Lotus subbiflorus
Lotus tenius,Lotus tenius
Lotus tenuis,Lotus tenuis
Lotus tetragonobulus,Lotus tetragonobulus
Lotus tetragonolobus,Lotus tetragonolobus
Lotus uliginosus,Lotus uliginosus
Lotus uliginous,Lotus uliginous
Loudonia aurea,Loudonia aurea
Loudonia roei,Loudonia roei
Lovoa klaineana,Lovoa klaineana
Lovoa trichilioides,Lovoa trichilioides
Lovoa trichilioides as 'african walnut',Lovoa trichilioides as 'african walnut'
Loxococcus rupicola,Loxococcus rupicola
Loxopterigium huasango,Loxopterigium huasango
Loxopterygium,Loxopterygium
Loxopterygium gardneri,Loxopterygium gardneri
Loyus,Loyus
Lucilia nitens,Lucilia nitens
Luculia,Luculia
Lucuma,Lucuma
Lucuma bonplandia,Lucuma bonplandia
Lucuma mammosa,Lucuma mammosa
Lucuma nervosa,Lucuma nervosa
Lucuma procera,Lucuma procera
Lucuma salicifolia,Lucuma salicifolia
Ludwigia,Ludwigia
Ludwigia adscendens,Ludwigia adscendens
Ludwigia leptocarpa,Ludwigia leptocarpa
Ludwigia octavali,Ludwigia octavali
Ludwigia octovalis var. sessiflora,Ludwigia octovalis var. sessiflora
Ludwigia octovalvis,Ludwigia octovalvis
Ludwigia octovalvis ssp. octovalvis,Ludwigia octovalvis ssp. octovalvis
Ludwigia octovalvis ssp. sessiliflora,Ludwigia octovalvis ssp. sessiliflora
Ludwigia peploides,Ludwigia peploides
Ludwigia peploides ssp. montevidensis,Ludwigia peploides ssp. montevidensis
Luehea,Luehea
Luffa,Luffa
Luffa acutangula,Luffa acutangula
Luffa acutangula var. amara,Luffa acutangula var. amara
Luffa aegyptiaca,Luffa aegyptiaca
Luffa aegyptiaca var. echinata,Luffa aegyptiaca var. echinata
Luffa aegyptiaca var. paramara,Luffa aegyptiaca var. paramara
Luffa aegyptica,Luffa aegyptica
Luffa cylindrica,Luffa cylindrica
Luffa echinata,Luffa echinata
Luffa operculata,Luffa operculata
Luffa purgans,Luffa purgans
Luhea divaricata,
Luisia,Luisia
Luisia tenuifolia,Luisia tenuifolia
Lunaria,Lunaria
Lunaria annua,Lunaria annua
Lunasia,Lunasia
Lunasia amara,Lunasia amara
Lunasia costulata,Lunasia costulata
Lundia longa,Lundia longa
Lupinis,Lupinis
Lupinus,Lupinus
Lupinus agardhianus,Lupinus agardhianus
Lupinus albicaulis,Lupinus albicaulis
Lupinus albifrons,Lupinus albifrons
Lupinus albus,Lupinus albus
Lupinus alpestris,Lupinus alpestris
Lupinus andersonii,Lupinus andersonii
Lupinus angustifolius,Lupinus angustifolius
Lupinus arboreus,Lupinus arboreus
Lupinus arbustus,Lupinus arbustus
Lupinus arbustus subsp. calcaratus,Lupinus arbustus subsp. calcaratus
Lupinus arbustus subsp. silvicola,Lupinus arbustus subsp. silvicola
Lupinus arbustus var.calcaratus,Lupinus arbustus var.calcaratus
Lupinus arcticus,Lupinus arcticus
Lupinus arcticus var. subalpinus,Lupinus arcticus var. subalpinus
Lupinus argenteus,Lupinus argenteus
Lupinus argenteus var. argenteus,Lupinus argenteus var. argenteus
Lupinus argenteus var. holosericeus,Lupinus argenteus var. holosericeus
Lupinus argenteus var. montigenus,Lupinus argenteus var. montigenus
Lupinus argenteus var. utahensis,Lupinus argenteus var. utahensis
Lupinus argentus,Lupinus argentus
Lupinus arizonicus,Lupinus arizonicus
Lupinus as 'lupin',Lupinus as 'lupin'
Lupinus as 'lupine',Lupinus as 'lupine'
Lupinus as 'lupinen',Lupinus as 'lupinen'
Lupinus atlanticus,Lupinus atlanticus
Lupinus augustifolius,Lupinus augustifolius
Lupinus bakeri,Lupinus bakeri
Lupinus bakeri subsp. amplus,Lupinus bakeri subsp. amplus
Lupinus barbiger,Lupinus barbiger
Lupinus bicolor,Lupinus bicolor
Lupinus bilineatus,Lupinus bilineatus
Lupinus bingenensis,Lupinus bingenensis
Lupinus burkei,Lupinus burkei
Lupinus campestris,Lupinus campestris
Lupinus candatus,Lupinus candatus
Lupinus caudatus,Lupinus caudatus
Lupinus chamissonis,Lupinus chamissonis
Lupinus coeruleus,Lupinus coeruleus
Lupinus comatus,Lupinus comatus
Lupinus comptus,Lupinus comptus
Lupinus concinnus,Lupinus concinnus
Lupinus consentinii,Lupinus consentinii
Lupinus corymbosus,Lupinus corymbosus
Lupinus cosentini,Lupinus cosentini
Lupinus cosentinii,Lupinus cosentinii
Lupinus cumulicola,Lupinus cumulicola
Lupinus cyaneus,Lupinus cyaneus
Lupinus densiflorus,Lupinus densiflorus
Lupinus diffusus,Lupinus diffusus
Lupinus digitatus,Lupinus digitatus
Lupinus digitatus (varius),Lupinus digitatus (varius)
Lupinus ehrenbergii,Lupinus ehrenbergii
Lupinus elegans,Lupinus elegans
Lupinus erectus,Lupinus erectus
Lupinus evermanii,Lupinus evermanii
Lupinus evermannii,Lupinus evermannii
Lupinus excubitus,Lupinus excubitus
Lupinus flavus,Lupinus flavus
Lupinus formosus,Lupinus formosus
Lupinus geophyllus,Lupinus geophyllus
Lupinus gibertianus,Lupinus gibertianus
Lupinus giganteus,Lupinus giganteus
Lupinus graecus,Lupinus graecus
Lupinus greenei,Lupinus greenei
Lupinus hartwegii,Lupinus hartwegii
Lupinus hirsutissimus,Lupinus hirsutissimus
Lupinus hirsutus,Lupinus hirsutus
Lupinus hispanicus,Lupinus hispanicus
Lupinus holosericeus,Lupinus holosericeus
Lupinus huachucanus,Lupinus huachucanus
Lupinus humicola,Lupinus humicola
Lupinus jugoslavicus,Lupinus jugoslavicus
Lupinus kingii,Lupinus kingii
Lupinus latifolius,Lupinus latifolius
Lupinus laxiflorus,Lupinus laxiflorus
Lupinus laxiflorus var. argophyllus,Lupinus laxiflorus var. argophyllus
Lupinus laxiflorus var. silvicola,Lupinus laxiflorus var. silvicola
Lupinus lepidus,Lupinus lepidus
Lupinus leptocarpus,Lupinus leptocarpus
Lupinus leucopais,Lupinus leucopais
Lupinus leucophyllus,Lupinus leucophyllus
Lupinus leucopsis,Lupinus leucopsis
Lupinus leucopsis var. mollis,Lupinus leucopsis var. mollis
Lupinus linearis,Lupinus linearis
Lupinus linifolius,Lupinus linifolius
Lupinus littoralis,Lupinus littoralis
Lupinus longifolius,Lupinus longifolius
Lupinus luteus,Lupinus luteus
Lupinus luteus as 'lupin jaune',Lupinus luteus as 'lupin jaune'
Lupinus luteus cv. Cardiga,Lupinus luteus cv. Cardiga
Lupinus macounii,Lupinus macounii
Lupinus macrostachys,Lupinus macrostachys
Lupinus micranthus,Lupinus micranthus
Lupinus mollis,Lupinus mollis
Lupinus montigenus,Lupinus montigenus
Lupinus multiflorus,Lupinus multiflorus
Lupinus mutabilis,Lupinus mutabilis
Lupinus myrianthus,Lupinus myrianthus
Lupinus nanus,Lupinus nanus
Lupinus nootkatensis,Lupinus nootkatensis
Lupinus nuttallii,Lupinus nuttallii
Lupinus onustus,Lupinus onustus
Lupinus ornatus,Lupinus ornatus
Lupinus palaestinus,Lupinus palaestinus
Lupinus palmeri,Lupinus palmeri
Lupinus parviflorus var. myrianthus,Lupinus parviflorus var. myrianthus
Lupinus perennis,Lupinus perennis
Lupinus pilosus,Lupinus pilosus
Lupinus plattensis,Lupinus plattensis
Lupinus polycarpus,Lupinus polycarpus
Lupinus polyphyllus,Lupinus polyphyllus
Lupinus polyphyllus var. polyphyllus,Lupinus polyphyllus var. polyphyllus
Lupinus princei,Lupinus princei
Lupinus pringlei,Lupinus pringlei
Lupinus pubescens,Lupinus pubescens
Lupinus pusillus,Lupinus pusillus
Lupinus pusillus ssp. intermontanus,Lupinus pusillus ssp. intermontanus
Lupinus reticulatus,Lupinus reticulatus
Lupinus rivularis,Lupinus rivularis
Lupinus rothmaleri,Lupinus rothmaleri
Lupinus ruber,Lupinus ruber
Lupinus 'Russell hybrid',Lupinus 'Russell hybrid'
Lupinus 'Russell strain mix',Lupinus 'Russell strain mix'
Lupinus sereceus,Lupinus sereceus
Lupinus sericcus,Lupinus sericcus
Lupinus sericeus,Lupinus sericeus
Lupinus sericeus var. caudatus,Lupinus sericeus var. caudatus
Lupinus somaliensis,Lupinus somaliensis
Lupinus sparsiflorus,Lupinus sparsiflorus
Lupinus spathulatus,Lupinus spathulatus
Lupinus subcarnosus,Lupinus subcarnosus
Lupinus succulentus,Lupinus succulentus
Lupinus sulphureus,Lupinus sulphureus
Lupinus tassilicus,Lupinus tassilicus
Lupinus termis,Lupinus termis
Lupinus texensis,Lupinus texensis
Lupinus truncatus,Lupinus truncatus
Lupinus varius,Lupinus varius
Lupinus varius ssp. Orientalis,Lupinus varius ssp. Orientalis
Lupinus varius ssp. Varius,Lupinus varius ssp. Varius
Lupinus westianus,Lupinus westianus
Lupinus wyethii,Lupinus wyethii
Lupinus x alpestris,Lupinus x alpestris
Lupista nebularis,Lupista nebularis
Luvanga scandens,Luvanga scandens
Luvunga,Luvunga
Luvunga eleutherandra,Luvunga eleutherandra
Luvunga scandens,Luvunga scandens
Luzula,Luzula
Lycesteria formosa,Lycesteria formosa
Lychnis,Lychnis
Lychnis diurna,Lychnis diurna
Lychnis fulgens,Lychnis fulgens
Lychnis githago,Lychnis githago
Lychnis githargo,Lychnis githargo
Lychnis lithago,Lychnis lithago
Lychnis vespertina,Lychnis vespertina
Lychnophora,Lychnophora
Lychnophora passerina,Lychnophora passerina
Lycium,Lycium
Lycium australe,Lycium australe
Lycium barbaricum,Lycium barbaricum
Lycium barbarum,Lycium barbarum
Lycium barbatum,
Lycium carolinianum,Lycium carolinianum
Lycium chinense,Lycium chinense
Lycium europaeum,Lycium europaeum
Lycium ferocissimum,Lycium ferocissimum
Lycium halimifolium,Lycium halimifolium
Lycium halimiifolium,Lycium halimiifolium
Lycium halmifolium,Lycium halmifolium
Lycium hamilifolium,Lycium hamilifolium
Lycium horridum,Lycium horridum
Lycium pallidum,Lycium pallidum
Lycium ruthenicum,Lycium ruthenicum
Lycium turcomanicum,Lycium turcomanicum
Lycoperdaceae,Lycoperdaceae
Lycoperdales,Lycoperdales
Lycoperdon,Lycoperdon
Lycoperdon esculentum,Lycoperdon esculentum
Lycoperdon gemmatum,Lycoperdon gemmatum
Lycoperdon giganteum,Lycoperdon giganteum
Lycoperdon marginatum,Lycoperdon marginatum
Lycoperdon mixtecorum,Lycoperdon mixtecorum
Lycoperdon perlatum,Lycoperdon perlatum
Lycoperdon purpureum,Lycoperdon purpureum
Lycoperdon pyriforme,Lycoperdon pyriforme
Lycoperdon subincarnatum,Lycoperdon subincarnatum
Lycoperdon substellatum,Lycoperdon substellatum
Lycoperdon umbrinum,Lycoperdon umbrinum
Lycoperscion esculentum,Lycoperscion esculentum
Lycoperscion lycopersicum,Lycoperscion lycopersicum
Lycoperscium esculentum,Lycoperscium esculentum
Lycopersicon,Lycopersicon
Lycopersicon cheesmannii,Lycopersicon cheesmannii
Lycopersicon chilense,Lycopersicon chilense
Lycopersicon esculentum,Lycopersicon esculentum
Lycopersicon esculentum as 'tomato',Lycopersicon esculentum as 'tomato'
Lycopersicon esculentum baccis luteo,Lycopersicon esculentum baccis luteo
Lycopersicon esculentum mut. Exilis,Lycopersicon esculentum mut. Exilis
Lycopersicon esculentum mut. Prunoidea,Lycopersicon esculentum mut. Prunoidea
Lycopersicon esculentum ssp. Galeni,Lycopersicon esculentum ssp. Galeni
Lycopersicon esculentum var. cerasiforme,Lycopersicon esculentum var. cerasiforme
Lycopersicon esculentum var. esculentum,Lycopersicon esculentum var. esculentum
Lycopersicon esculentum var. grandifolium,Lycopersicon esculentum var. grandifolium
Lycopersicon esculentum var. pruniforme,Lycopersicon esculentum var. pruniforme
Lycopersicon esculentum var. pyriforme,Lycopersicon esculentum var. pyriforme
Lycopersicon esculentum var. succenturiatum,Lycopersicon esculentum var. succenturiatum
Lycopersicon esculentum var. validum,Lycopersicon esculentum var. validum
Lycopersicon esculentum var. vulgare,Lycopersicon esculentum var. vulgare
Lycopersicon esculentum x L. hirsutum,Lycopersicon esculentum x L. hirsutum
Lycopersicon glandulosum,Lycopersicon glandulosum
Lycopersicon hirsutum,Lycopersicon hirsutum
Lycopersicon humboldtii,Lycopersicon humboldtii
Lycopersicon lycopersicum,Lycopersicon lycopersicum
Lycopersicon mexicanum,Lycopersicon mexicanum
Lycopersicon peruvianum chutatum,Lycopersicon peruvianum chutatum
Lycopersicon peruvianum putatum,Lycopersicon peruvianum putatum
Lycopersicon peruvianum var. dentatum,Lycopersicon peruvianum var. dentatum
Lycopersicon peruvianum var. humifusum,Lycopersicon peruvianum var. humifusum
Lycopersicon peruvianum var. typicum,Lycopersicon peruvianum var. typicum
Lycopersicon pimpinelifolium,Lycopersicon pimpinelifolium
Lycopersicon pimpinellifolium,Lycopersicon pimpinellifolium
Lycopersicon pimpinellifolium fructo-luteo,Lycopersicon pimpinellifolium fructo-luteo
Lycopersicon pimpinellifolium var. ribesiodes,Lycopersicon pimpinellifolium var. ribesiodes
Lycopersicon 'Taibyo Shinko No. 1',Lycopersicon 'Taibyo Shinko No. 1'
Lycopersicum,Lycopersicum
Lycopersicum esculentum,Lycopersicum esculentum
Lycopodiaceae,Lycopodiaceae
Lycopodiales,Lycopodiales
Lycopodiella,Lycopodiella
Lycopodium,Lycopodium
Lycopodium alpinum,Lycopodium alpinum
Lycopodium annotinum,Lycopodium annotinum
Lycopodium carolinianum,Lycopodium carolinianum
Lycopodium cernuum,Lycopodium cernuum
Lycopodium clavatum,Lycopodium clavatum
Lycopodium complanatum,Lycopodium complanatum
Lycopodium gnidoides,Lycopodium gnidoides
Lycopodium saururus,Lycopodium saururus
Lycopodium selago,Lycopodium selago
Lycopodium serratum,Lycopodium serratum
Lycopodium solago,Lycopodium solago
Lycopodium squarrosum,Lycopodium squarrosum
Lycopsis,Lycopsis
Lycopsis arvensis,Lycopsis arvensis
Lycopus,Lycopus
Lycopus europaeus,Lycopus europaeus
Lycopus virginicus,Lycopus virginicus
Lycoris,Lycoris
Lycoris africana,Lycoris africana
Lycoris aurea,Lycoris aurea
Lycoris guangxiensis,Lycoris guangxiensis
Lycoris incarnata,Lycoris incarnata
Lycoris longituba,Lycoris longituba
Lycoris radiata,Lycoris radiata
Lycoris sanguinea,Lycoris sanguinea
Lycoris squamigera,Lycoris squamigera
Lycorus,Lycorus
Lycospersicon esculentum,Lycospersicon esculentum
Lygodesmia,Lygodesmia
Lygodesmia juncea,Lygodesmia juncea
Lymphoricarpos,Lymphoricarpos
Lymphoricarpos racemosus,Lymphoricarpos racemosus
Lyngbia majuscula,Lyngbia majuscula
Lyngbya,Lyngbya
Lyngbya birgei,Lyngbya birgei
Lyngbya major,Lyngbya major
Lyngbya majuscula,Lyngbya majuscula
Lyngbya majusculata,Lyngbya majusculata
Lyngbya wollei,Lyngbya wollei
Lyonia,Lyonia
Lyonia elliptica,Lyonia elliptica
Lyonia ligustrina,Lyonia ligustrina
Lyonia lucida,Lyonia lucida
Lyonia mariana,Lyonia mariana
Lyonia ovalifolia,Lyonia ovalifolia
Lyonsia eucalyptifolia,Lyonsia eucalyptifolia
Lyonsia reticulata,Lyonsia reticulata
Lyonsia straminea,Lyonsia straminea
Lyophyllum,Lyophyllum
Lyophyllum aggregatum,Lyophyllum aggregatum
Lyophyllum connatum,Lyophyllum connatum
Lyophyllum decastes,Lyophyllum decastes
Lyophyllum georgii,Lyophyllum georgii
Lyophyllum leucophaeatum,Lyophyllum leucophaeatum
Lyophyllum multiceps,Lyophyllum multiceps
Lyophyllum semitale,Lyophyllum semitale
Lyophyllum shimeji,
Lyophyllum sp.,Lyophyllum sp.
Lyophyllum ulmarium,Lyophyllum ulmarium
Lypocodium serratum,Lypocodium serratum
Lyrolepis diae,Lyrolepis diae
Lysianthus virgatus,Lysianthus virgatus
Lysichiton,Lysichiton
Lysichiton americanum,Lysichiton americanum
Lysichiton americanus,Lysichiton americanus
Lysichiton camtschatcense,Lysichiton camtschatcense
Lysichitum,Lysichitum
Lysichitum americanum,Lysichitum americanum
Lysichitum camtschatcense,Lysichitum camtschatcense
Lysichitum kamtschatcensis,Lysichitum kamtschatcensis
Lysidice,Lysidice
Lysiloma bahamensis,Lysiloma bahamensis
Lysiloma l. sabicu,Lysiloma l. sabicu
Lysiloma latisiliqua,Lysiloma latisiliqua
Lysiloma sabicu,Lysiloma sabicu
Lysimachia,Lysimachia
Lysimachia candida,Lysimachia candida
Lysiphyllum carronii,Lysiphyllum carronii
Lysurus archeri,Lysurus archeri
Lysurus australiensis,Lysurus australiensis
Lysurus cruciatus,Lysurus cruciatus
Lysurus mokusin,Lysurus mokusin
Lythraceae,Lythraceae
Lythrum,Lythrum
Lythrum flexuosum,Lythrum flexuosum
Lythrum hyssopifolia,Lythrum hyssopifolia
Lythrum hyssopifolium,Lythrum hyssopifolium
Lythrum junceum,Lythrum junceum
Lythrum salicaria,Lythrum salicaria
Lytthraceae,Lytthraceae
M,M
Maackia,Maackia
Maackia amurensis,Maackia amurensis
Maba,Maba
Maba ebenus,Maba ebenus
Mabea,Mabea
Mabea excelsea,Mabea excelsea
Macadamia,Macadamia
Macadamia claudiensis,Macadamia claudiensis
Macadamia grandis,Macadamia grandis
Macadamia integrifolia,Macadamia integrifolia
Macadamia intergrifolia,Macadamia intergrifolia
Macadamia jansenii,Macadamia jansenii
Macadamia lowii,Macadamia lowii
Macadamia minor,Macadamia minor
Macadamia praealata,Macadamia praealata
Macadamia praealta,Macadamia praealta
Macadamia ternifolia,Macadamia ternifolia
Macadamia ternifolia var. integrifolia,Macadamia ternifolia var. integrifolia
Macadamia tetraphylla,Macadamia tetraphylla
Macadamia whelani,Macadamia whelani
Macadamia whelanii,Macadamia whelanii
Macademia ternifolia,Macademia ternifolia
Macaranga,Macaranga
Macaranga fimbriata,Macaranga fimbriata
Macaranga pleiostemona,Macaranga pleiostemona
Macaranga polyadenia,Macaranga polyadenia
Macaranga tanarius,Macaranga tanarius
Machaeranthera,Machaeranthera
Machaeranthera glabriuscula,Machaeranthera glabriuscula
Machaeranthera orcuttii,Machaeranthera orcuttii
Machaeranthera ramosa,Machaeranthera ramosa
Machaerium,Machaerium
Machaerium acutifolium,Machaerium acutifolium
Machaerium kuhlmannii,Machaerium kuhlmannii
Machaerium mucronulatum,Machaerium mucronulatum
Machaerium nictitans,Machaerium nictitans
Machaerium pedicellatum,Machaerium pedicellatum
Machaerium schomburghkii,Machaerium schomburghkii
Machaerium scleroxylon,Machaerium scleroxylon
Machaerium scleroxylum,Machaerium scleroxylum
Machaerium villosum,Machaerium villosum
Machaerium violaceum,Machaerium violaceum
Machaonia brasiliensis,Machaonia brasiliensis
Macherium,Macherium
Machitus obovatifolia,Machitus obovatifolia
Machylus,Machylus
Mackinlaya,Mackinlaya
Mackinlaya celebica,Mackinlaya celebica
Macleaya,Macleaya
Macleaya cordata,Macleaya cordata
Macleya cordata,Macleya cordata
Maclura,Maclura
Maclura africana,Maclura africana
Maclura aurantiaca,Maclura aurantiaca
Maclura aurantica,Maclura aurantica
Maclura cochinchinensis,Maclura cochinchinensis
Maclura pomifera,Maclura pomifera
Macoubea guianensis,Macoubea guianensis
Macowanites,Macowanites
Macrantha,Macrantha
Macreightia,Macreightia
Macrocystis,Macrocystis
Macrocystis pyrifera,Macrocystis pyrifera
Macroleiota rhacodes,Macroleiota rhacodes
Macrolepiota,Macrolepiota
Macrolepiota bohemica,Macrolepiota bohemica
Macrolepiota dolichaula,Macrolepiota dolichaula
Macrolepiota excoriata,Macrolepiota excoriata
Macrolepiota molybdites,Macrolepiota molybdites
Macrolepiota permixta,Macrolepiota permixta
Macrolepiota procera,Macrolepiota procera
Macrolepiota rachodes,Macrolepiota rachodes
Macrolepiota rhacodes,Macrolepiota rhacodes
Macrolepiota rhacodes var hortensis,Macrolepiota rhacodes var hortensis
Macrolepiota rhacodes var. hortensis,Macrolepiota rhacodes var. hortensis
